Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Contamines,ND la Gorge,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Peule,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
139,Vincent BOUILLARD,M,0.0602510460251046,0.03347280334728033,0.04435146443514645,0.018410041841004185,0.03096234309623431,0.048535564853556486,0.023430962343096235,0.06610878661087866,0.0401673640167364,0.032635983263598324,0.019246861924686193,0.021757322175732216,0.042677824267782424,0.04184100418410042,0.027615062761506277,0.04184100418410042,0.015899581589958158,0.0301255230125523,0.06694560669456066,0.06359832635983263,0.032635983263598324,0.035146443514644354,0.045188284518828455,0.0794979079497908,0.03765690376569038,0 days 19:55:00
41,Baptiste CHASSAGNE,M,0.06050695012264922,0.03107113654946852,0.04660670482420278,0.017988552739165987,0.03025347506132461,0.047424366312346686,0.022076860179885527,0.07031888798037612,0.041700735895339326,0.03188879803761243,0.02044153720359771,0.02616516762060507,0.044153720359771054,0.04333605887162715,0.02698282910874898,0.04251839738348324,0.016353229762878167,0.029435813573180702,0.07113654946852004,0.06214227309893704,0.03188879803761243,0.03434178250204415,0.04333605887162715,0.0776778413736713,0.03025347506132461,0 days 20:23:00
59,Joaquin LOPEZ,M,0.06030969845150774,0.03178484107579462,0.04808475957620212,0.018744906275468622,0.029339853300733496,0.0488997555012225,0.022819885900570498,0.07008964955175224,0.04156479217603912,0.03015484922575387,0.019559902200488997,0.022819885900570498,0.044009779951100246,0.04156479217603912,0.02689486552567237,0.04156479217603912,0.016299918500407497,0.02852485737571312,0.07253463732681337,0.06601466992665037,0.030969845150774247,0.03504482477587612,0.04319478402607987,0.07742461287693561,0.03178484107579462,0 days 20:27:00
7,Hannes NAMBERGER,M,0.05925324675324675,0.03165584415584415,0.04383116883116883,0.017857142857142856,0.02922077922077922,0.04788961038961039,0.021915584415584416,0.06737012987012987,0.04220779220779221,0.032467532467532464,0.020292207792207792,0.021915584415584416,0.045454545454545456,0.04383116883116883,0.028409090909090908,0.04626623376623377,0.016233766233766232,0.028409090909090908,0.0698051948051948,0.06574675324675325,0.03165584415584415,0.03571428571428571,0.04301948051948052,0.07954545454545454,0.030032467532467532,0 days 20:32:00
42,Ludovic POMMERET,M,0.06041335453100159,0.030206677265500796,0.04848966613672496,0.01987281399046105,0.031001589825119236,0.04769475357710652,0.021462639109697933,0.07074721780604133,0.03815580286168521,0.03179650238473768,0.017488076311605722,0.02066772655007949,0.04213036565977742,0.0397456279809221,0.02702702702702703,0.04372019077901431,0.014308426073131956,0.02702702702702703,0.07154213036565978,0.06756756756756757,0.03418124006359301,0.03656597774244833,0.04531001589825119,0.08108108108108109,0.03179650238473768,0 days 20:58:00
62,Arthur JOYEUX-BOUILLON,M,0.056559308719560095,0.029065200314218383,0.04320502749410841,0.01728201099764336,0.02749410840534171,0.04556166535742341,0.021209740769835034,0.07069913589945012,0.04006284367635507,0.030636292223095052,0.018853102906520033,0.021209740769835034,0.04241948153967007,0.041633935585231735,0.02670856245090338,0.04320502749410841,0.015710919088766692,0.029850746268656716,0.06991358994501179,0.07541241162608013,0.03377847604084839,0.037706205813040065,0.04556166535742341,0.08248232521602514,0.03377847604084839,0 days 21:13:00
149,Cody LIND,M,0.05873261205564142,0.03168469860896445,0.04714064914992272,0.02009273570324575,0.03168469860896445,0.04482225656877898,0.020865533230293665,0.06800618238021638,0.04095826893353941,0.03323029366306028,0.02009273570324575,0.023956723338485315,0.04714064914992272,0.04482225656877898,0.027820710973724884,0.04250386398763524,0.015455950540958269,0.027820710973724884,0.07341576506955177,0.0633693972179289,0.03245749613601236,0.03323029366306028,0.04173106646058733,0.07573415765069552,0.03323029366306028,0 days 21:34:00
43,Manuel ANGUITA BAYO,M,0.05841660261337433,0.030745580322828592,0.042275172943889314,0.016910069177555727,0.027671022290545733,0.045349730976172176,0.021521906225980016,0.061491160645657184,0.03843197540353574,0.029208301306687164,0.019984627209838585,0.023059185242121444,0.0415065334358186,0.04073789392774789,0.026902382782475018,0.04304381245196003,0.016910069177555727,0.027671022290545733,0.07455803228285934,0.06917755572636433,0.033820138355111454,0.03843197540353574,0.05226748654880861,0.08531898539584935,0.034588777863182166,0 days 21:41:00
124,Gautier BONNECARRERE,M,0.05666156202143951,0.02986217457886677,0.0444104134762634,0.01761102603369066,0.028330781010719754,0.04670750382848392,0.0222052067381317,0.06738131699846861,0.04058192955589587,0.03139356814701378,0.01914241960183767,0.02450229709035222,0.0444104134762634,0.04747320061255743,0.028330781010719754,0.042879019908116385,0.01454823889739663,0.02986217457886677,0.07580398162327719,0.06891271056661562,0.03215926493108729,0.03522205206738132,0.0444104134762634,0.07886676875957122,0.028330781010719754,0 days 21:46:00
33,Yannick NOËL,M,0.05666156202143951,0.02986217457886677,0.0444104134762634,0.01761102603369066,0.028330781010719754,0.04670750382848392,0.022970903522205207,0.07044410413476264,0.043644716692189896,0.03445635528330781,0.020673813169984685,0.02450229709035222,0.04134762633996937,0.04134762633996937,0.027565084226646247,0.04211332312404288,0.016079632465543645,0.02986217457886677,0.06891271056661562,0.06584992343032159,0.03215926493108729,0.036753445635528334,0.0444104134762634,0.08116385911179173,0.03215926493108729,0 days 21:46:00
