Doss.,Prénom Nom,genre,Col  Voza,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit ,Courmayeur,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
3,Jim WALMSLEY,M,0.05857385398981324,0.031409168081494056,0.04753820033955857,0.0466893039049236,0.04584040747028863,0.021222410865874362,0.07215619694397284,0.04074702886247878,0.031409168081494056,0.021222410865874362,0.02461799660441426,0.044142614601018676,0.04584040747028863,0.02801358234295416,0.0466893039049236,0.05178268251273345,0.0730050933786078,0.06791171477079797,0.019524617996604415,0.03310696095076401,0.04074702886247878,0.07470288624787776,0.03310696095076401,0 days 19:38:00
26,Zach MILLER,M,0.057547956630525435,0.030859049207673062,0.04670558798999166,0.045871559633027525,0.045037531276063386,0.020850708924103418,0.07089241034195162,0.0408673894912427,0.0316930775646372,0.020850708924103418,0.02335279399499583,0.045871559633027525,0.0408673894912427,0.026688907422852376,0.04420350291909925,0.045871559633027525,0.07005838198498748,0.07589658048373644,0.020850708924103418,0.03919933277731443,0.04420350291909925,0.08006672226855713,0.0316930775646372,0 days 19:59:00
18,Germain GRANGIER,M,0.057803468208092484,0.0305532617671346,0.04706853839801817,0.04706853839801817,0.04789430222956235,0.02064409578860446,0.07018992568125516,0.042113955408753095,0.033856317093311314,0.02064409578860446,0.02477291494632535,0.04376548307184145,0.04046242774566474,0.027250206440957887,0.042939719240297276,0.04541701073492981,0.0685383980181668,0.07349298100743187,0.023121387283236993,0.037159372419488024,0.042939719240297276,0.07927332782824112,0.03303055326176713,0 days 20:11:00
9,Mathieu BLANCHARD,M,0.0549800796812749,0.02948207171314741,0.046215139442231074,0.04541832669322709,0.046215139442231074,0.0199203187250996,0.0701195219123506,0.04223107569721116,0.03187250996015936,0.020717131474103586,0.024701195219123506,0.04701195219123506,0.04302788844621514,0.027888446215139442,0.04223107569721116,0.046215139442231074,0.07091633466135458,0.07410358565737052,0.022310756972111555,0.036653386454183264,0.04541832669322709,0.07808764940239044,0.034262948207171316,0 days 20:55:00
39,Ludovic POMMERET,M,0.05947660586835844,0.030927835051546393,0.05154639175257732,0.05075337034099921,0.05154639175257732,0.01823949246629659,0.07057890563045202,0.04203013481363997,0.0317208564631245,0.0190325138778747,0.02141157811260904,0.04282315622521808,0.040444091990483745,0.025376685170499604,0.04203013481363997,0.04282315622521808,0.06740681998413957,0.07216494845360824,0.02141157811260904,0.03647898493259318,0.04520222045995242,0.08406026962727994,0.03251387787470262,0 days 21:01:00
7,Thibaut GARRIVIER,M,0.057435090479937057,0.02989771833202203,0.04799370574350905,0.045633359559402044,0.044846577498033044,0.01966955153422502,0.06923682140047208,0.03855232100708104,0.03147128245476003,0.020456333595594022,0.022816679779701022,0.044846577498033044,0.042486231313926044,0.02753737214791503,0.041699449252557044,0.045633359559402044,0.07002360346184107,0.07553107789142408,0.024390243902439025,0.03697875688434304,0.045633359559402044,0.08497246262785209,0.03225806451612903,0 days 21:11:00
29,Tyler GREEN,M,0.0578125,0.03046875,0.046875,0.046875,0.046875,0.01875,0.07109375,0.0421875,0.0328125,0.01875,0.025,0.04453125,0.0421875,0.028125,0.0453125,0.04296875,0.06875,0.08046875,0.021875,0.04140625,0.04609375,0.075,0.02578125,0 days 21:20:00
8,Hannes NAMBERGER,M,0.0546448087431694,0.02888368462138954,0.0468384074941452,0.047619047619047616,0.047619047619047616,0.01873536299765808,0.06791569086651054,0.03981264637002342,0.0312256049960968,0.0195160031225605,0.02419984387197502,0.04527712724434036,0.04137392661982826,0.02888368462138954,0.04996096799375488,0.04215456674473068,0.06791569086651054,0.08118657298985169,0.02263856362217018,0.039032006245121,0.0429352068696331,0.08040593286494926,0.0312256049960968,0 days 21:21:00
63,Arthur JOYEUX BOUILLON,M,0.05417956656346749,0.02786377708978328,0.04489164086687306,0.04643962848297214,0.04411764705882353,0.01780185758513932,0.06811145510835913,0.03869969040247678,0.030959752321981424,0.020123839009287926,0.021671826625386997,0.04256965944272446,0.04024767801857585,0.027089783281733747,0.043343653250773995,0.04256965944272446,0.07043343653250773,0.07972136222910217,0.023993808049535603,0.04102167182662539,0.05030959752321981,0.08823529411764706,0.03560371517027864,0 days 21:32:00
38,Baptiste CHASSAGNE,M,0.05778120184899846,0.029275808936825885,0.04699537750385208,0.04776579352850539,0.045454545454545456,0.017719568567026195,0.06933744221879815,0.03852080123266564,0.029275808936825885,0.01848998459167951,0.02465331278890601,0.04314329738058552,0.04314329738058552,0.026964560862865947,0.04776579352850539,0.04391371340523883,0.06856702619414484,0.07935285053929121,0.02465331278890601,0.039291217257318954,0.04468412942989214,0.08012326656394453,0.03312788906009245,0 days 21:38:00
79,Joaquin LOPEZ,M,0.057383320581484314,0.030604437643458302,0.047436878347360364,0.045906656465187455,0.046671767406273906,0.019892884468247895,0.06732976281560826,0.042081101759755164,0.03136954858454476,0.019892884468247895,0.026778882938026015,0.04361132364192808,0.041315990818668706,0.029074215761285386,0.041315990818668706,0.04361132364192808,0.07115531752104055,0.07498087222647284,0.022953328232593728,0.036725325172149964,0.045141545524101,0.08186687069625095,0.03289977046671767,0 days 21:47:00
