Doss.,Prénom Nom,genre,Col  Voza,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit ,Courmayeur,Bertone,Arnouvaz,Col Ferret,La Fouly,Champex,Plan l'Au,La Giète,Trient,Tseppes,Vallorcine,T.auxVents,La Flégère,Chamonix,Total
1,Kilian JORNET BURGADA,M,0.05798319327731093,0.031932773109243695,0.04285714285714286,0.04453781512605042,,,0.06890756302521009,0.037815126050420166,0.029411764705882353,0.018487394957983194,0.023529411764705882,0.043697478991596636,0.073109243697479,0.0453781512605042,0.05378151260504202,0.07142857142857142,0.021848739495798318,0.052100840336134456,0.025210084033613446,0.03697478991596639,0.03697478991596639,0.06050420168067227,0.0226890756302521,0.031932773109243695,0 days 19:50:00
41,Mathieu BLANCHARD,M,0.059414225941422594,0.03096234309623431,0.045188284518828455,0.04686192468619247,0.04769874476987448,0.019246861924686193,0.07029288702928871,0.04184100418410042,0.03096234309623431,0.0200836820083682,0.022594142259414227,0.04435146443514645,0.06778242677824267,0.04602510460251046,0.049372384937238493,0.06778242677824267,0.0200836820083682,0.05355648535564853,0.024267782426778243,0.03598326359832636,0.03682008368200837,0.06694560669456066,0.022594142259414227,0.029288702928870293,0 days 19:55:00
11,Thomas EVANS,M,0.05668016194331984,0.031578947368421054,0.04129554655870445,0.04291497975708502,,,0.06639676113360324,0.03805668016194332,0.031578947368421054,0.019433198380566803,0.025101214574898785,0.044534412955465584,0.07125506072874493,0.045344129554655874,0.048582995951417005,0.0728744939271255,0.024291497975708502,0.05668016194331984,0.027530364372469637,0.03724696356275304,0.044534412955465584,0.05748987854251012,0.021052631578947368,0.03076923076923077,0 days 20:35:00
3,Jim WALMSLEY,M,0.05420267085624509,0.029850746268656716,0.04006284367635507,0.04320502749410841,,,0.0636292223095051,0.03613511390416339,0.02749410840534171,0.01728201099764336,0.02199528672427337,0.0408483896307934,0.06598586017282011,0.0408483896307934,0.04320502749410841,0.06755695208169678,0.025923016496465043,0.06755695208169678,0.024351924587588374,0.03927729772191673,0.04241948153967007,0.07541241162608013,0.032992930086410056,0.036920659858601726,0 days 21:13:00
33,Zach MILLER,M,0.05357142857142857,0.029503105590062112,0.039596273291925464,0.04192546583850932,,,0.06288819875776397,0.037267080745341616,0.030279503105590064,0.018633540372670808,0.02406832298136646,0.04192546583850932,0.06909937888198758,0.043478260869565216,0.046583850931677016,0.06987577639751552,0.023291925465838508,0.05434782608695652,0.026397515527950312,0.03571428571428571,0.046583850931677016,0.07298136645962733,0.026397515527950312,0.042701863354037264,0 days 21:28:00
63,Beñat MARMISSOLLE,M,0.05663304887509697,0.02948021722265322,0.04499612102404965,0.04809930178432894,0.048875096974398756,0.018619084561675717,0.07292474786656322,0.04034134988363072,0.032583397982932506,0.018619084561675717,0.02482544608223429,0.04654771140418929,0.0682699767261443,0.04344453064391001,0.04344453064391001,0.06904577191621412,0.026377036462373934,0.05275407292474787,0.02482544608223429,0.03646237393328161,0.038789759503491075,0.06283941039565555,0.021722265321955005,0.02948021722265322,0 days 21:29:00
101,Arthur JOYEUX-BOUILLON,M,0.05555555555555555,0.03009259259259259,0.041666666666666664,0.046296296296296294,0.044753086419753084,0.018518518518518517,0.06790123456790123,0.037037037037037035,0.030864197530864196,0.018518518518518517,0.023148148148148147,0.0470679012345679,0.07484567901234568,0.04398148148148148,0.04552469135802469,0.06867283950617284,0.023919753086419752,0.05324074074074074,0.02546296296296296,0.038580246913580245,0.04552469135802469,0.06558641975308642,0.021604938271604937,0.031635802469135804,0 days 21:36:00
71,Jonas RUSSI,M,0.05508798775822494,0.028309104820198928,0.04361132364192808,0.04896710022953328,0.04437643458301454,0.018362662586074982,0.0703902065799541,0.04055087987758225,0.03136954858454476,0.018362662586074982,0.0252486610558531,0.04896710022953328,0.07115531752104055,0.04820198928844682,0.04284621270084162,0.06962509563886764,0.0252486610558531,0.05202754399387911,0.023718439173680182,0.03825554705432287,0.03978576893649579,0.06426931905126243,0.019892884468247895,0.03136954858454476,0 days 21:47:00
47,Robert HAJNAL,M,0.05572289156626506,0.0286144578313253,0.04216867469879518,0.04442771084337349,0.04442771084337349,0.018072289156626505,0.06701807228915663,0.038403614457831324,0.03237951807228916,0.01882530120481928,0.024849397590361446,0.045180722891566265,0.07530120481927711,0.050451807228915665,0.04442771084337349,0.07153614457831325,0.024849397590361446,0.053463855421686746,0.021837349397590362,0.039909638554216864,0.04141566265060241,0.06852409638554217,0.02033132530120482,0.02786144578313253,0 days 22:08:00
10,Thibaut GARRIVIER,M,0.05263157894736842,0.02857142857142857,0.041353383458646614,0.04360902255639098,0.0406015037593985,0.017293233082706767,0.06315789473684211,0.03759398496240601,0.027819548872180452,0.018796992481203006,0.02330827067669173,0.04586466165413534,0.07368421052631578,0.04360902255639098,0.04887218045112782,0.06992481203007518,0.02481203007518797,0.05338345864661654,0.02706766917293233,0.03759398496240601,0.05037593984962406,0.07067669172932331,0.02330827067669173,0.03609022556390978,0 days 22:10:00
77,Andrew SYMONDS,M,0.055762081784386616,0.031226765799256505,,,0.04684014869888476,0.019330855018587362,0.07286245353159851,0.04014869888475837,0.03197026022304833,0.019330855018587362,0.023048327137546468,0.04684014869888476,0.07063197026022305,0.04460966542750929,0.04535315985130112,0.07063197026022305,0.02379182156133829,0.0550185873605948,0.02379182156133829,0.03420074349442379,0.04014869888475837,0.06319702602230483,0.022304832713754646,0.03420074349442379,0 days 22:25:00
