Doss.,Prénom Nom,genre,Col de Voza,St-Gervais,Les Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur Sortie,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex-Lac,La Giète,Trient,Tseppes,Vallorcine,La Flégère,Chamonix,Total
10,Tom EVANS,M,0.06845178175961344,0.03323362765682073,0.04449365814374874,0.04693836463516351,0.049253645488797494,0.024274497397106617,0.07295291782910064,0.01977336132761943,0.03188184877333257,0.020391728263683167,0.024375161782047225,0.04489631568351117,0.041488107221950586,0.026805487647041906,0.04249475107135667,0.04770053783542811,0.07030688256780465,0.0732117691046622,0.0269205326584026,0.03421151025338664,0.04308435675458023,0.07929477408035894,0.03356438206448273,0 days 19:18:58
16,Ben DHIMAN,M,0.0660447291494748,0.03278459236051862,0.04321859658447207,0.04594598374756983,0.04777822845713806,0.02345552960264067,0.07092605284137796,0.019329482355903045,0.030784508440913606,0.02014070520441417,0.023847154426059836,0.043512315202036446,0.04040728981635593,0.026602514790830385,0.04607186315509742,0.04879925031819517,0.07235268612669063,0.07463250206302362,0.025749332139810063,0.038071527476677344,0.044057792634656,0.08412940403093837,0.03135795907520595,0 days 19:51:37
46,Josh WADE,M,0.06562387630348795,0.03216883799408071,0.04458827759798634,0.045929798356982826,0.0513926921693912,0.022999474455785134,0.06930268580754018,0.02223881835532321,0.03193372610848339,0.021699444029541118,0.025848477304787985,0.04544574447487069,0.04359250961192709,0.02882195115204824,0.042748872845960226,0.046552153348269856,0.06574834730174536,0.07076867756479407,0.02572400630653058,0.0369540563715321,0.045321273476613286,0.08461261859320111,0.02998368046911736,0 days 20:05:06
12,Ji DUO,M,0.06504354982511487,0.03202798161991633,0.04245250668678417,0.044743158905424865,0.04800768122899664,0.02270077498113984,0.07172347575612098,0.020204375557232014,0.03180851793429806,0.0212468280639188,0.02559495233523078,0.04647143542966875,0.045374117001577396,0.029901927165489336,0.04634798710650847,0.050133735683423636,0.06885673136273232,0.07420615869967766,0.026075029147520745,0.03558055003086208,0.044304231534188325,0.07666140868253206,0.030532885261641864,0 days 20:15:05
27,Thibaut GARRIVIER,M,0.06619324001365653,0.03165585524069648,0.044506657562307955,0.04696483441447593,0.04841242744964151,0.021645612837145785,0.0697985660635029,0.0198156367360874,0.03246159098668488,0.021358825537726188,0.024759303516558553,0.04566746329805394,0.04294981222260157,0.028419255718675315,0.04406964834414476,0.047470126322977126,0.07186070331171047,0.07181973369750769,0.025032434277910548,0.03688630932058723,0.044766131785592356,0.08307272106520996,0.030413110276544895,0 days 20:20:25
23,Ludovic POMMERET,M,0.06561517586049385,0.029260821667517534,0.045476529542950804,0.051696805223419406,0.048754601391837064,0.020917860117688154,0.07090845581320364,0.018177177096488164,0.033385280920009676,0.01831152430340973,0.02290619878012736,0.044710750463497866,0.04454953381519198,0.02783674127414891,0.042682107638982184,0.04485853239111159,0.07042480586828599,0.07450896095870167,0.027769567670688125,0.03617970282397829,0.0467528280087057,0.08212644759115457,0.03218959077840772,0 days 20:40:34
37,Yannick NOÃL,M,0.06359715646061118,0.030967673863441528,0.043510373115627596,0.046029464132628164,0.0487463895226916,0.024636973925429632,0.06892549557510452,0.020587963756742853,0.032431648224106775,0.02083855396262249,0.02454465121800029,0.042811358330805446,0.04043734585405099,0.02883106263436251,0.04579206288495272,0.048522177233220345,0.07218316825153981,0.07521662863850384,0.025863547038419435,0.037232429010432465,0.045844818717769485,0.08156051753471993,0.03088854011421638,0 days 21:03:41
25,Jiasheng SHEN,M,0.06238289285761082,0.03055595592185432,0.04228304878208572,0.04715732648488581,0.04918827552771918,0.024318976925798295,,,0.02978288499587259,0.019562625296453046,0.026297514380429512,0.04337058923728036,0.041405154679699685,0.028197434452757505,0.04458915866298038,0.046620107705813756,0.07276038732163681,0.07789672296544765,0.026978865027057482,0.038417694152177044,0.04740628152884603,0.08507711054914241,0.02848569818786934,0 days 21:11:59
32,Rod FARVARD,M,0.06411660408844388,0.0310805173133083,0.04273571130579892,0.04778108051731331,0.050075615352523986,0.025435440133500208,0.07445504797663746,0.018265018773466833,0.03087192323738006,0.0199468085106383,0.024262098456403838,0.04218815185648728,0.03939820609094702,0.026387150604922822,0.043361493533583644,0.04778108051731331,0.07492438464747601,0.07179547350855235,0.027599603671255735,0.03671255736337088,0.04621662494785148,0.08411556111806424,0.030493846474760118,0 days 21:18:24
20,Jiaju ZHAO,M,0.061755245028455336,0.030421816192845143,0.040423509187753136,0.04524203315665412,0.04908382929402112,0.02292054644666415,0.06735515126258351,0.01829736804406996,0.030734369098936017,0.020993136859103756,0.023610767447614832,0.04890150676546811,0.04344485394663159,0.02889812077565213,0.047312696159506167,0.05183169026007006,0.07008998919087867,0.07723963691770742,0.024105642882258714,0.03820959276960944,0.043132301040540715,0.08647297068514202,0.02952322658783388,0 days 21:19:47
74,Baptiste COATANTIEC,M,0.06370404482308696,0.03112287972983345,0.043940440555683476,0.04646045999948832,0.047944329316652594,0.02381866093586103,0.06715787857855553,0.018868165886356078,0.03011231355693709,0.020032235781717707,0.02430475605700105,0.042021644024867605,0.04203443600173971,0.02839818865607491,0.045117302427917214,0.04974799805561952,0.0734643231765037,0.07424463376570214,0.02879473993911019,0.03435924987847622,0.04661396372195359,0.08464451096272418,0.03309284416813774,0 days 21:42:54
