checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
St Paul,0,0,0,2024-10-19T07:30:00.000+04:00
Ecole  Bel,5881,406,10,2024-10-19T09:15:00.000+04:00
Ilet Savan,15383,606,485,2024-10-19T12:00:00.000+04:00
Ratinaud,22002,1218,767,2024-10-19T14:00:00.000+04:00
Possession,30110,1413,1414,2024-10-19T16:00:00.000+04:00
Chaloupe,37047,1771,1750,2024-10-19T18:00:00.000+04:00
Colorado,45055,2571,1890,2024-10-19T20:00:00.000+04:00
St Denis,49465,2599,2554,2024-10-19T21:30:00.000+04:00
