access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],996,2024-10-18T01:10:00.000+04:00,0,0,0,False,True,-21.06976,55.52097,Hell-Bourg,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Hell-Bourg,SIMPLE,[],2024-10-18T00:59:52.000+04:00,2024-10-18T00:59:52.000+04:00
[],1808,2024-10-18T06:10:00.000+04:00,15930,1304,36,False,False,-21.06616,55.45106,Plaine des Merles,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2024-10-18T02:49:52.000+04:00,2024-10-18T05:49:52.000+04:00
[],1632,2024-10-18T06:40:00.000+04:00,18080,1352,38,True,True,-21.05486,55.45454,Sentier Scout,MAS,[],Sen. Scout,SIMPLE,[],2024-10-18T03:01:52.000+04:00,2024-10-18T06:18:52.000+04:00
[],913,2024-10-18T08:55:00.000+04:00,26860,1697,39,True,True,-21.0199,55.42489,Aurère,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2024-10-18T03:54:52.000+04:00,2024-10-18T08:33:52.000+04:00
[],260,2024-10-18T10:25:00.000+04:00,33260,1771,50,True,True,-21.0031,55.39243,Deux Bras,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Deux Bras,SIMPLE,[],2024-10-18T04:27:52.000+04:00,2024-10-18T09:52:52.000+04:00
[],862,2024-10-18T12:40:00.000+04:00,37970,2513,51,False,True,-20.98055,55.3721,Dos d'Ane,MAS,[],Dos d'Ane,SIMPLE,[],2024-10-18T05:25:52.000+04:00,2024-10-18T12:09:52.000+04:00
[],465,2024-10-18T13:40:00.000+04:00,41400,2530,52,False,True,-20.96357,55.35869,Chemin Ratinaud,MAS,"['AID_STATION', 'DRINK_SUPPLY']",Ratinaud,SIMPLE,[],2024-10-18T05:42:52.000+04:00,2024-10-18T12:53:52.000+04:00
[],3,2024-10-18T15:55:00.000+04:00,49940,2719,54,True,True,-20.92695,55.33795,La possession,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2024-10-18T06:33:52.000+04:00,2024-10-18T15:05:52.000+04:00
[],10,2024-10-18T18:10:00.000+04:00,57250,3042,56,True,True,-20.89597,55.3771,Grande Chaloupe,MAS,"['AID_STATION', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2024-10-18T07:28:52.000+04:00,2024-10-18T17:25:52.000+04:00
[],682,2024-10-18T20:40:00.000+04:00,65850,3856,60,True,True,-20.90812,55.42366,Le Colorado,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2024-10-18T08:59:52.000+04:00,2024-10-18T20:54:52.000+04:00
[],53,2024-10-18T22:10:00.000+04:00,70393,3856,64,True,True,-20.88506,55.44212,St Denis La Redoute,MAS,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,[],2024-10-18T09:30:52.000+04:00,2024-10-18T21:59:52.000+04:00
