checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
P7,8200,521,56,
Peyreleau,22700,721,655,22-09:30
St André,35100,1409,899,22-12:00
La Roque,46000,1663,1623,
Pierrefich,49100,1954,1638,
La Salvage,55900,2182,1810,22-16:30
Mas de Bru,64400,2623,2233,22-18:15
MassebiauD,69100,2639,2622,22-19:00
Massebiau,69900,2656,2650,
Cade,73100,3142,2670,
la pouncho,77700,3470,2995,
Arrivée,80600,3483,3448,
