checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
P7,8200,521,56,
Peyreleau,22600,712,657,23-09:30
St Andrée,34800,1400,890,23-12:00
Roquesalte,42100,1643,1177,
Roque,45700,1654,1614,
Pierrefich,49200,2005,1676,
La Salvage,56400,2231,1859,23-16:30
Mas de Bru,64900,2672,2282,22-18:15
Massebiau,70400,2705,2699,23-19:00
Cade,73600,3191,2719,23-20:30
la pouncho,78200,3519,3044,
Arrivée,81000,3532,3497,
