access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],360,0,0,0,False,False,44.1146,3.08683,Millau,Templi,[],Départ,SIMPLE,[],2023-10-22T05:18:53.000+00:00,2023-10-22T05:18:53.000+00:00,
[],825,8240,521,4,False,False,44.13555,3.1159,P7,Templi,[],P7,SIMPLE,[],2023-10-22T05:57:53.000+00:00,2023-10-22T07:13:53.000+00:00,
[],426,22720,721,10,False,False,44.18847,3.20717,Peyreleau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Peyreleau,SIMPLE,"[{'pointId': 10, 'live': 'x4xs934', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T06:47:53.000+00:00,2023-10-22T09:41:53.000+00:00,2023-10-22T09:30:00.000+00:00
[],870,35080,1409,20,True,False,44.15273,3.2589,St André de Vezines,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St André,SIMPLE,"[{'pointId': 20, 'live': 'x8d9v0t', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T07:49:53.000+00:00,2023-10-22T12:42:53.000+00:00,2023-10-22T12:00:00.000+00:00
[],400,46030,1663,24,False,False,44.12335,3.22215,La Roque Ste Marguerite,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",La Roque,SIMPLE,[],2023-10-22T08:34:53.000+00:00,2023-10-22T14:55:53.000+00:00,
[],676,49100,1954,26,False,False,44.10825,3.21478,Pierrefiche,Templi,[],Pierrefich,SIMPLE,[],2023-10-22T08:55:53.000+00:00,2023-10-22T15:55:53.000+00:00,
[],732,55900,2182,30,True,False,44.09538,3.18938,La Salvage,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 30, 'live': 'x4xs90b', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T09:25:53.000+00:00,2023-10-22T16:35:53.000+00:00,2023-10-22T16:30:00.000+00:00
[],750,64400,2623,32,False,False,44.0866,3.14636,Mas de Bru (P88),Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2023-10-22T10:12:53.000+00:00,2023-10-22T18:52:53.000+00:00,2023-10-22T18:15:00.000+00:00
[],377,69120,2639,34,False,False,44.0995,3.12774,Massebiau déviation Ravin bas roubelier,Templi,[],MassebiauD,SIMPLE,[],2023-10-22T10:30:53.000+00:00,2023-10-22T19:44:53.000+00:00,2023-10-22T19:00:00.000+00:00
[],366,69890,2656,36,False,False,44.10195,3.12714,Massebiau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 36, 'live': 'x3yl8jb', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T10:34:53.000+00:00,2023-10-22T19:54:53.000+00:00,
[],832,73120,3142,46,True,False,44.12102,3.11861,Le Cade,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 46, 'live': 'x4xs8kr', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T11:04:53.000+00:00,2023-10-22T21:23:53.000+00:00,
[],835,77740,3470,52,False,False,44.11034,3.10253,la pouncho,Templi,[],la pouncho,SIMPLE,[],2023-10-22T11:34:53.000+00:00,2023-10-22T22:50:53.000+00:00,
[],395,80570,3483,58,False,False,44.11417,3.08963,Arrivée Millau,Templi,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 58, 'live': 'x8d2z5h', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2023-10-22T11:51:53.000+00:00,2023-10-22T23:24:53.000+00:00,
