checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Millau,0,0,0,0.00
Peyreleau,23200,715,635,4.42
Saint-André-de-Vézines,37100,1439,930,6.92
La Roque Ste Marguerite,48400,1693,1649,
La Salvage,56200,2187,1816,11.42
Mas de Bru,64700,2588,2202,13.17
Massebiau,70100,2623,2615,14.33
Le Cade,73300,3100,2628,
Ravin du CAF,75200,3132,2710,15.50
Arrivée Millau,80700,3443,3408,
