access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],360,0,0,0,False,False,44.1146,3.08683,Millau,Templi,[],Départ,SIMPLE,[],2022-10-23T05:18:49.000+00:00,2022-10-23T05:18:49.000+00:00,
[],825,8240,521,4,False,False,44.13555,3.1159,P7,Templi,[],P7,SIMPLE,[],2022-10-23T05:57:49.000+00:00,2022-10-23T07:12:49.000+00:00,
[],415,22590,712,10,False,False,44.18813,3.2087,Peyreleau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Peyreleau,SIMPLE,"[{'pointId': 10, 'live': 'x8d2z1q', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T06:46:49.000+00:00,2022-10-23T09:36:49.000+00:00,2022-10-23T09:30:00.000+00:00
[],870,34800,1400,20,False,False,44.15273,3.2589,St Andrée de Vezines,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St Andrée ,SIMPLE,"[{'pointId': 20, 'live': 'x3yl8qo', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T07:47:49.000+00:00,2022-10-23T12:34:49.000+00:00,2022-10-23T12:00:00.000+00:00
[],826,42070,1643,22,False,False,44.13743,3.2289,Arche de Roquesaltes,Templi,['EMERGENCY'],Roquesalte,SIMPLE,[],2022-10-23T08:19:49.000+00:00,2022-10-23T14:08:49.000+00:00,
[],400,45750,1654,24,False,False,44.12335,3.22215,La Roque Ste Marguerite,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Roque,SIMPLE,[],2022-10-23T08:32:49.000+00:00,2022-10-23T14:46:49.000+00:00,
[],689,49180,2005,26,False,False,44.10732,3.21693,Pierrefiche,Templi,[],Pierrefich,SIMPLE,[],2022-10-23T08:55:49.000+00:00,2022-10-23T15:54:49.000+00:00,
[],732,56370,2231,30,False,False,44.09538,3.18938,La Salvage,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 30, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T09:28:49.000+00:00,2022-10-23T17:31:49.000+00:00,2022-10-23T16:30:00.000+00:00
[],750,64870,2672,32,False,False,44.0866,3.14636,Mas de Bru (P88),Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2022-10-23T10:14:49.000+00:00,2022-10-23T19:46:49.000+00:00,2022-10-22T18:15:00.000+00:00
[],366,70360,2705,36,False,False,44.10195,3.12714,Massebiau,Templi,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 36, 'live': 'x8d2z3g', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T10:36:49.000+00:00,2022-10-23T20:48:49.000+00:00,2022-10-23T19:00:00.000+00:00
[],832,73590,3191,46,False,False,44.12102,3.11861,Le Cade,Templi,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 46, 'live': 'x4clca7', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T11:06:49.000+00:00,2022-10-23T22:16:49.000+00:00,2022-10-23T20:30:00.000+00:00
[],835,78210,3519,52,False,False,44.11034,3.10253,la pouncho,Templi,[],la pouncho,SIMPLE,[],2022-10-23T11:35:49.000+00:00,2022-10-23T23:43:49.000+00:00,
[],395,81040,3532,58,False,False,44.11417,3.08963,Arrivée Millau,Templi,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 58, 'live': 'x3yl9ag', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2022-10-23T11:47:49.000+00:00,2022-10-24T00:17:49.000+00:00,
