access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],1213,2023-10-20T20:20:00.000+00:00,0,0,0,False,True,-21.13619,55.47437,Cilaos (Stade),TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Cilaos,SIMPLE,[],2023-10-20T20:01:49.000+00:00,2023-10-20T20:01:49.000+00:00
[],1413,,8520,398,20,False,True,-21.13005,55.49693,Mare à Joseph,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Mare Josep,SIMPLE,[],2023-10-20T20:44:49.000+00:00,2023-10-20T21:55:49.000+00:00
[],2476,2023-10-21T02:30:00.000+00:00,13610,1511,21,False,False,-21.10994,55.49619,Caverne Dufour,TDB,[],Cav Dufour,SIMPLE,[],2023-10-20T21:41:49.000+00:00,2023-10-21T00:28:49.000+00:00
[],1508,,22330,1624,22,False,False,-21.06101,55.53594,Bélouve,TDB,[],Bélouve,SIMPLE,[],2023-10-20T22:19:49.000+00:00,2023-10-21T02:17:49.000+00:00
[],995,2023-10-21T06:15:00.000+00:00,26650,1821,24,False,True,-21.06966,55.52063,Hell-Bourg,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Hell-Bourg,SIMPLE,[],2023-10-20T22:46:49.000+00:00,2023-10-21T03:39:49.000+00:00
[],750,2023-10-21T07:15:00.000+00:00,30720,1947,26,False,True,-21.05716,55.50142,Parking Bras Marron,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Bras Marro,SIMPLE,[],2023-10-20T23:08:49.000+00:00,2023-10-21T04:45:49.000+00:00
[],1813,2023-10-21T11:50:00.000+00:00,40280,3267,27,False,False,-21.06619,55.45103,Plaine des Merles,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2023-10-21T00:45:49.000+00:00,2023-10-21T09:04:49.000+00:00
[],1429,,46020,3435,31,False,True,-21.07759,55.42322,La Nouvelle,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Nouvelle,SIMPLE,[],2023-10-21T01:18:49.000+00:00,2023-10-21T10:32:49.000+00:00
[],1626,2023-10-21T15:45:00.000+00:00,50930,3936,32,False,False,-21.10356,55.43411,Marla,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2023-10-21T02:01:49.000+00:00,2023-10-21T12:28:49.000+00:00
[],1280,2023-10-21T18:30:00.000+00:00,60210,5138,46,False,False,-21.0739,55.40094,Roche plate,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Roche plat,SIMPLE,[],2023-10-21T03:39:49.000+00:00,2023-10-21T16:34:49.000+00:00
[],978,,66530,6088,48,False,False,-21.04255,55.39243,Ilet des orangers,TDB,[],orangers,SIMPLE,[],2023-10-21T04:55:49.000+00:00,2023-10-21T19:52:49.000+00:00
[],453,,72400,6349,49,False,False,-21.02214,55.40437,Passerelle d'Oussy,TDB,['DRINK_SUPPLY'],Pass Oussy,SIMPLE,[],2023-10-21T05:36:49.000+00:00,2023-10-21T21:44:49.000+00:00
[],271,2023-10-21T23:25:00.000+00:00,75460,6455,50,False,True,-21.00336,55.39272,Deux Bras,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Deux Bras,SIMPLE,[],2023-10-21T05:56:49.000+00:00,2023-10-21T22:39:49.000+00:00
[],872,,81120,7758,51,False,True,-20.98057,55.37215,Dos d'Ane,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Dos d'Ane,SIMPLE,[],2023-10-21T07:30:49.000+00:00,2023-10-22T02:56:49.000+00:00
[],473,2023-10-22T03:10:00.000+00:00,84470,7813,52,False,True,-20.96356,55.35866,Chemin Ratinaud,TDB,['DRINK_SUPPLY'],Ratinaud,SIMPLE,[],2023-10-21T07:50:49.000+00:00,2023-10-22T03:51:49.000+00:00
[],13,2023-10-22T05:55:00.000+00:00,92960,8037,54,False,True,-20.92711,55.33786,La possession,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2023-10-21T08:46:49.000+00:00,2023-10-22T06:12:49.000+00:00
[],16,2023-10-22T08:35:00.000+00:00,100410,8379,56,False,True,-20.89597,55.37708,Grande Chaloupe,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2023-10-21T09:43:49.000+00:00,2023-10-22T08:34:49.000+00:00
[],663,2023-10-22T12:35:00.000+00:00,109700,9252,60,False,True,-20.90619,55.42533,Le Colorado,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2023-10-21T11:03:49.000+00:00,2023-10-22T11:49:49.000+00:00
[],58,2023-10-22T14:50:00.000+00:00,115000,9360,64,False,True,-20.88494,55.4427,St Denis La Redoute,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,[],2023-10-21T11:41:49.000+00:00,2023-10-22T13:28:49.000+00:00
