access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],1208,2024-10-18T21:10:00.000+04:00,0,0,0,True,True,-21.1363,55.47418,Cilaos (Stade),TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Cilaos,SIMPLE,[],2024-10-18T20:59:55.000+04:00,2024-10-18T20:59:55.000+04:00
[],1262,2024-10-18T22:50:00.000+04:00,6910,38,30,False,True,-21.11771,55.45017, Sentier Taïbit,TDB,"['AID_STATION', 'DRINK_SUPPLY']", Sentier T,SIMPLE,[],2024-10-18T21:30:55.000+04:00,2024-10-18T22:25:55.000+04:00
[],1612,2024-10-19T02:10:00.000+04:00,12940,966,32,True,False,-21.10349,55.43421,Marla,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2024-10-18T22:36:55.000+04:00,2024-10-19T01:32:55.000+04:00
[],1808,2024-10-19T05:25:00.000+04:00,19540,1432,36,False,False,-21.06616,55.45106,Plaine des Merles,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2024-10-18T23:31:55.000+04:00,2024-10-19T04:24:55.000+04:00
[],1629,2024-10-19T06:25:00.000+04:00,21640,1453,38,True,True,-21.05498,55.45461,Sentier Scout,TDB,[],Sen. Scout,SIMPLE,[],2024-10-18T23:43:55.000+04:00,2024-10-19T05:05:55.000+04:00
[],914,2024-10-19T10:10:00.000+04:00,30400,1789,39,True,True,-21.01978,55.42493,Aurère,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Aurère,SIMPLE,[],2024-10-19T00:46:55.000+04:00,2024-10-19T08:05:55.000+04:00
[],370,2024-10-19T11:40:00.000+04:00,34390,1883,41,True,False,-21.02211,55.40439,Passerelle d'Oussy,TDB,"['EMERGENCY', 'DRINK_SUPPLY']",Pass Oussy,SIMPLE,[],2024-10-19T01:12:55.000+04:00,2024-10-19T09:18:55.000+04:00
[],977,2024-10-19T15:10:00.000+04:00,39950,2713,43,True,False,-21.04246,55.39317,Ilet des orangers,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Ilet  Oran,SIMPLE,[],2024-10-19T02:27:55.000+04:00,2024-10-19T12:51:55.000+04:00
[],1950,2024-10-19T20:10:00.000+04:00,47980,3920,45,False,True,-21.05108,55.38097,Piton des orangers,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Pit Orange,SIMPLE,[],2024-10-19T04:21:55.000+04:00,2024-10-19T17:52:55.000+04:00
[],126,2024-10-19T23:40:00.000+04:00,65020,3942,49,True,True,-20.97251,55.32463,Ilet Savannah,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'AID_STATION_WITH_WARM_MEAL']",Ilet Savan,SIMPLE,[],2024-10-19T06:03:55.000+04:00,2024-10-19T22:40:55.000+04:00
[],465,2024-10-20T02:25:00.000+04:00,72120,4544,52,False,True,-20.96356,55.35866,Chemin Ratinaud,TDB,"['AID_STATION', 'DRINK_SUPPLY']",Ratinaud,SIMPLE,[],2024-10-19T07:23:55.000+04:00,2024-10-20T02:31:55.000+04:00
[],3,2024-10-20T05:10:00.000+04:00,80680,4711,54,True,True,-20.92696,55.33792,La possession,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2024-10-19T08:28:55.000+04:00,2024-10-20T05:38:55.000+04:00
[],10,2024-10-20T07:40:00.000+04:00,88060,5034,56,True,True,-20.89583,55.37733,Grande Chaloupe,TDB,"['AID_STATION', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2024-10-19T09:36:55.000+04:00,2024-10-20T08:36:55.000+04:00
[],682,2024-10-20T12:40:00.000+04:00,96910,5816,60,True,True,-20.90819,55.42366,Le Colorado,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2024-10-19T11:30:55.000+04:00,2024-10-20T13:25:55.000+04:00
[],49,2024-10-20T15:10:00.000+04:00,101204,5835,64,True,True,-20.88497,55.44222,St Denis La Redoute,TDB,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,[],2024-10-19T12:08:55.000+04:00,2024-10-20T14:58:55.000+04:00
