lat,lon,altitude_gpx,altitude,dist_2d_m,dist_3d_m,distance_cum_2d,distance_cum_3d,pente,distance_cum_2d_calib,distance
44.18794,3.20776,419.0,419.91237105919845,0.0,0.0,0.0,0.0,4.7784791396322355,0.0,0.0
44.18816,3.20753,421.0,421.3733174842197,30.573460348592675,30.608345955698926,30.573460348592675,30.608345955698926,4.821389265721282,30.68242668132614,30.717436623611604
44.18845,3.20722,424.0,423.3453538338092,40.62972581640552,40.67755581743317,71.20318616499819,71.2859017731321,7.051267282120963,71.45696018949114,71.53997060287037
44.1885,3.20713,425.0,424.87832066842464,9.077696182646491,9.20622372639648,80.28088234764468,80.49212549952858,12.09346003939753,80.56701002957168,80.77900606946083
44.18854,3.20698,426.0,425.98630292326607,12.760132535133936,12.808146118436778,93.04101488277861,93.30027161796536,7.1921993387338565,93.37262072882878,93.63280147638926
44.18855,3.20678,427.0,426.9457412113301,15.985185072670237,16.013952155421304,109.02619995544885,109.31422377338667,5.025829805471872,109.41477831869446,109.70382867726009
44.18853,3.20654,428.0,427.7578947237188,19.26455216522608,19.281663918199644,128.29075212067494,128.5958876915863,5.387302079094825,128.74799093573932,129.05421403497655
44.18851,3.2064,428.0,428.5967584996485,11.38190619331156,11.412777095339727,139.6726583139865,140.00866478692603,7.387046319207278,140.17046318088995,140.50766720859477
44.18847,3.20622,430.0,429.7086031191674,15.025243716883358,15.06632494039923,154.69790203086984,155.07498972732526,8.301020103092132,155.24925810485252,155.62768977293996
44.18842,3.2061,431.0,430.76259424658804,11.065956160258997,11.116037200255112,165.76385819112883,166.19102692758037,11.218433031750758,166.35465424499026,166.78334544602836
44.18838,3.20601,431.0,431.89715293434585,8.442559948758847,8.51845302295867,174.2064181398877,174.70947995053905,9.6536301117132,174.82730417329378,175.33215893770372
44.18827,3.20582,434.0,433.4572326277722,19.470653526394347,19.53305396999491,193.67707166628205,194.24253392053396,8.813031456814066,194.36735271374624,194.93483032208115
44.18818,3.20569,435.0,434.8828863606693,14.407966344126498,14.47832803674531,208.08503801040854,208.72086195727928,8.419153497210752,208.82667023751566,209.46476031334154
44.18809,3.20555,436.0,435.93244562647,14.991818319709402,15.028512607161177,223.07685633011795,223.74937456444047,5.381138283257389,223.87192063343363,224.54683577817633
44.18796,3.2054,437.0,436.69920407342886,18.76159252295084,18.777254126022463,241.8384488530688,242.52662869046293,4.675560867710388,242.70038101858117,243.39101358563974
44.18788,3.20533,437.0,437.30066209594656,10.501559175608715,10.518768790674244,252.34000802867752,253.04539748113717,5.463275319564512,253.23936861669432,253.94727213530504
44.18776,3.20526,438.0,438.06312251191,14.46365598747929,14.483738827045201,266.8036640161568,267.5291363081824,6.77100554774627,267.7545742662957,268.48263220136795
44.18766,3.20522,439.0,439.0632563425346,11.567843088381295,11.610997433320303,278.37150710453807,279.14013374150267,7.752426140647823,279.36364610093614,280.1350121865898
44.18751,3.20516,440.0,440.30509395756656,17.351767430722436,17.396148816102606,295.7232745352605,296.53628255760526,5.356508886222394,296.7772566610202,297.59316231096966
44.18722,3.20508,442.0,441.7534628620988,32.87136440209747,32.90325774355932,328.59463893735796,329.4395403011646,6.635922371351384,329.76577731530506,330.6136899772142
44.18713,3.20504,443.0,443.1834146259913,10.503474954840176,10.60036547360581,339.0981138921981,340.0399057747704,6.748629694801011,340.30668752064474,341.25183602711473
44.18689,3.20491,445.0,444.39437777711146,28.62913469252534,28.654734076520917,367.72724858472344,368.6946398512913,5.935197853555539,369.03785880900216,370.00869793778236
44.18684,3.20488,445.0,445.24183761503207,6.052489068469356,6.1115310766476085,373.7797376531928,374.8061709279389,9.763156451918091,375.1119194473946,376.14201101493677
44.18676,3.2048,446.0,446.0539911274208,10.946248568099621,10.976335957062735,384.72598622129243,385.7825068850017,7.156561357006024,386.0971813476475,387.1574675380871
44.18666,3.2047,447.0,447.00443186162,13.68281780415194,13.715788006922622,398.4088040254444,399.4982948919243,7.838716949702481,399.8287658422748,400.9221397440053
44.18659,3.2046,448.0,448.0,11.142786756720545,11.187173576194489,409.55159078216496,410.68546846811876,9.243564732168611,411.01126640945273,412.1491853289404
44.18653,3.2045,449.0,448.9954343077554,10.396549027952153,10.444095037468268,419.94813981011714,421.12956350558704,9.597173788684008,421.44486959508754,422.6305039819882
44.18649,3.20439,450.0,449.94157701095924,9.834167365331687,9.8795765994389,429.7823071754488,431.00914010502595,5.707833399073277,431.31408674350126,432.5452922067625
44.18639,3.20418,451.0,450.7040374269227,20.100187751703288,20.114643758705597,449.8824949271521,451.12378386373155,5.204325905789422,451.48591322113174,452.7316262137957
44.18635,3.20411,451.0,451.3590850849873,7.136924214156121,7.166922259446095,457.0194191413082,458.29070612317764,9.337976871738022,458.6482740214559,459.92409197491594
