checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
P7,8400,520,55,
Cresse,16900,603,535,21-07:15
Rozier,27400,1059,1023,21-09:40
Truel,38500,1726,1541,21-12:10
Champignon,51000,2353,1919,
St Andrée,60500,2648,2139,21-17:00
La Roque,71500,2902,2862,21-19:15
La Salvage,82000,3491,3120,21-21:15
Mas de Bru,90600,3939,3549,21-23:20
Massebiau,96100,3975,3969,
Cade,99300,4453,3978,22-01:30
la pouncho,102400,4534,4057,
Arrivée,105200,4547,4512,
