checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
P7,8300,523,56,
Cresse,17100,614,546,20-07:15
Rozier,27700,1055,1022,20-09:40
Truel,39000,1721,1536,20-12:10
St André,55700,2438,1929,20-16:30
La Roque,67100,2694,2654,20-19:15
La Salvage,76800,3212,2841,20-20:45
Mas de Bru,85300,3618,3228,20-22:50
MassebiauD,90000,3634,3617,20-00:00
Massebiau,90800,3654,3648,
Cade,94000,4137,3662,20-01:00
Arrivée,99900,4228,4193,
