checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Millau,0,0,0,0.00
La Cresse,17600,598,528,3.25
Le Rozier,28200,1058,1023,5.42
Le Truel,39500,1779,1596,8.50
La Roujarie,51500,2373,1871,11.17
Saint-André-de-Vézines,57400,2540,2031,12.25
La Roque Ste Marguerite,68700,2791,2747,15.00
La Salvage,76400,3276,2905,16.92
Mas de Bru,84800,3686,3299,19.00
Massebiau (déroutage),90400,3729,3725,20.33
Le Cade,93600,4205,3734,21.50
Arrivée Millau,99400,4311,4276,
