bib,name,status,category,sex,country,Départ,P7,Peyreleau,St André,La Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
36,Louis THERON,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:35.000+00:00,2023-10-22T07:06:07.000+00:00,2023-10-22T08:10:51.000+00:00,2023-10-22T09:11:15.000+00:00,,2023-10-22T10:12:51.000+00:00,2023-10-22T11:07:32.000+00:00,2023-10-22T11:32:06.000+00:00,2023-10-22T11:59:32.000+00:00,2023-10-22T12:35:01.000+00:00,2023-10-22T12:57:33.000+00:00,
37,Goulwen KERNEGUEZ,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:01.000+00:00,2023-10-22T07:06:09.000+00:00,2023-10-22T08:11:13.000+00:00,2023-10-22T09:09:02.000+00:00,,2023-10-22T10:09:47.000+00:00,2023-10-22T11:04:33.000+00:00,2023-10-22T11:28:12.000+00:00,2023-10-22T11:59:50.000+00:00,2023-10-22T12:35:45.000+00:00,2023-10-22T13:20:24.000+00:00,
23,Gautier AIRIAU,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:35.000+00:00,2023-10-22T07:10:19.000+00:00,2023-10-22T08:18:33.000+00:00,2023-10-22T09:15:51.000+00:00,,2023-10-22T10:15:01.000+00:00,2023-10-22T11:09:20.000+00:00,2023-10-22T11:33:48.000+00:00,2023-10-22T12:03:50.000+00:00,2023-10-22T12:38:17.000+00:00,2023-10-22T12:54:38.000+00:00,
60,Adrien TUFFERY,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:19.000+00:00,2023-10-22T07:06:07.000+00:00,2023-10-22T08:11:15.000+00:00,2023-10-22T09:07:30.000+00:00,,2023-10-22T10:04:23.000+00:00,2023-10-22T10:57:52.000+00:00,2023-10-22T11:23:50.000+00:00,2023-10-22T11:56:45.000+00:00,2023-10-22T12:35:56.000+00:00,2023-10-22T12:56:13.000+00:00,
31,Dylan RIBEIRO,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:42.000+00:00,2023-10-22T07:01:39.000+00:00,2023-10-22T08:06:23.000+00:00,2023-10-22T09:02:45.000+00:00,,2023-10-22T10:04:01.000+00:00,2023-10-22T11:01:19.000+00:00,2023-10-22T11:30:16.000+00:00,2023-10-22T12:04:27.000+00:00,2023-10-22T12:40:13.000+00:00,2023-10-22T12:59:56.000+00:00,
27,Harry JONES,FINISHER,S-M0H,MALE,GB,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:12.000+00:00,2023-10-22T06:59:28.000+00:00,2023-10-22T08:03:24.000+00:00,2023-10-22T09:00:57.000+00:00,2023-10-22T09:24:00.000+00:00,2023-10-22T10:03:34.000+00:00,2023-10-22T11:01:23.000+00:00,2023-10-22T11:28:34.000+00:00,2023-10-22T12:03:50.000+00:00,2023-10-22T12:43:08.000+00:00,2023-10-22T13:01:18.000+00:00,
61,Antoine LAINÉ,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:05:26.000+00:00,2023-10-22T07:15:00.000+00:00,2023-10-22T08:27:08.000+00:00,2023-10-22T09:27:00.000+00:00,2023-10-22T09:49:25.000+00:00,2023-10-22T10:25:29.000+00:00,2023-10-22T11:18:33.000+00:00,2023-10-22T11:42:38.000+00:00,2023-10-22T12:14:45.000+00:00,2023-10-22T12:50:32.000+00:00,2023-10-22T13:11:15.000+00:00,
111,Emmanuel GAULT,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:01:11.000+00:00,2023-10-22T07:06:07.000+00:00,2023-10-22T08:16:27.000+00:00,2023-10-22T09:16:40.000+00:00,,2023-10-22T10:17:02.000+00:00,2023-10-22T11:11:55.000+00:00,2023-10-22T11:36:40.000+00:00,2023-10-22T12:10:37.000+00:00,2023-10-22T12:49:42.000+00:00,2023-10-22T16:27:42.000+00:00,
35,Jan GUTERMANN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:02:41.000+00:00,2023-10-22T07:10:20.000+00:00,2023-10-22T08:18:50.000+00:00,2023-10-22T09:17:17.000+00:00,,2023-10-22T10:18:25.000+00:00,2023-10-22T11:16:39.000+00:00,2023-10-22T11:42:28.000+00:00,2023-10-22T12:13:32.000+00:00,2023-10-22T12:49:37.000+00:00,2023-10-22T13:43:04.000+00:00,
112,Patrick O'LEARY,FINISHER,S-M0H,MALE,IE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:00:33.000+00:00,2023-10-22T07:03:38.000+00:00,2023-10-22T08:11:19.000+00:00,2023-10-22T09:15:53.000+00:00,,2023-10-22T10:20:21.000+00:00,2023-10-22T11:17:33.000+00:00,2023-10-22T11:42:19.000+00:00,2023-10-22T12:14:15.000+00:00,2023-10-22T12:51:58.000+00:00,2023-10-22T13:10:24.000+00:00,
