bib,name,status,category,sex,country,Départ,P7,Peyreleau,St André,La Roque,Pierrefich,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée
98,Thomas DENOYELLE,FINISHER,M3-M4H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:08:42.000+00:00,2023-10-22T07:29:12.000+00:00,2023-10-22T08:53:17.000+00:00,2023-10-22T10:09:50.000+00:00,2023-10-22T10:40:03.000+00:00,2023-10-22T11:25:58.000+00:00,2023-10-22T12:33:39.000+00:00,2023-10-22T13:04:20.000+00:00,2023-10-22T13:46:25.000+00:00,2023-10-22T14:38:14.000+00:00,2023-10-22T15:02:42.000+00:00,
131,Benjamin FILLON,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:08:15.000+00:00,2023-10-22T07:24:35.000+00:00,2023-10-22T08:46:46.000+00:00,2023-10-22T10:04:12.000+00:00,2023-10-22T10:36:25.000+00:00,2023-10-22T11:25:20.000+00:00,2023-10-22T12:41:49.000+00:00,2023-10-22T13:12:35.000+00:00,2023-10-22T13:52:52.000+00:00,2023-10-22T14:41:46.000+00:00,2023-10-22T15:03:48.000+00:00,
20,Manon GRAS,FINISHER,S-M0F,FEMALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:24.000+00:00,2023-10-22T07:32:55.000+00:00,2023-10-22T08:58:09.000+00:00,2023-10-22T10:14:57.000+00:00,2023-10-22T10:42:50.000+00:00,2023-10-22T11:29:33.000+00:00,2023-10-22T12:33:17.000+00:00,2023-10-22T13:03:40.000+00:00,2023-10-22T13:50:19.000+00:00,2023-10-22T14:40:23.000+00:00,2023-10-22T15:03:52.000+00:00,
626,Tom LACOMBE,FINISHER,ES H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:34.000+00:00,2023-10-22T07:32:44.000+00:00,2023-10-22T08:57:06.000+00:00,2023-10-22T10:13:34.000+00:00,2023-10-22T10:42:58.000+00:00,2023-10-22T11:27:50.000+00:00,2023-10-22T12:43:06.000+00:00,2023-10-22T13:13:17.000+00:00,2023-10-22T13:55:34.000+00:00,2023-10-22T14:43:53.000+00:00,2023-10-22T16:44:28.000+00:00,
198,Yann BENGHAFFAR,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:10:02.000+00:00,2023-10-22T07:29:04.000+00:00,2023-10-22T08:52:23.000+00:00,2023-10-22T10:06:58.000+00:00,2023-10-22T10:36:40.000+00:00,,2023-10-22T12:34:33.000+00:00,2023-10-22T13:05:23.000+00:00,2023-10-22T13:50:14.000+00:00,2023-10-22T14:43:52.000+00:00,2023-10-22T15:04:26.000+00:00,
723,Martin LACROIX,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:12.000+00:00,2023-10-22T07:24:39.000+00:00,2023-10-22T08:43:28.000+00:00,2023-10-22T09:55:29.000+00:00,2023-10-22T10:25:44.000+00:00,2023-10-22T11:14:01.000+00:00,2023-10-22T12:38:15.000+00:00,2023-10-22T13:14:20.000+00:00,2023-10-22T13:53:00.000+00:00,2023-10-22T14:42:57.000+00:00,2023-10-22T15:05:25.000+00:00,
869,Steven REGNIE,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:24.000+00:00,2023-10-22T07:33:01.000+00:00,2023-10-22T08:54:46.000+00:00,2023-10-22T10:08:12.000+00:00,2023-10-22T10:37:01.000+00:00,2023-10-22T11:26:47.000+00:00,2023-10-22T12:41:33.000+00:00,2023-10-22T13:12:34.000+00:00,2023-10-22T13:54:21.000+00:00,2023-10-22T14:44:31.000+00:00,2023-10-22T15:06:09.000+00:00,
628,Kevin NOBLET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:10:04.000+00:00,2023-10-22T07:29:31.000+00:00,2023-10-22T08:52:54.000+00:00,2023-10-22T10:09:51.000+00:00,2023-10-22T10:40:11.000+00:00,2023-10-22T11:27:12.000+00:00,2023-10-22T12:38:42.000+00:00,2023-10-22T13:11:21.000+00:00,2023-10-22T13:54:55.000+00:00,2023-10-22T14:43:58.000+00:00,2023-10-22T15:06:45.000+00:00,
321,Aurélien CHERON,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:15:27.000+00:00,2023-10-22T07:35:49.000+00:00,2023-10-22T09:02:36.000+00:00,2023-10-22T10:15:57.000+00:00,2023-10-22T10:46:46.000+00:00,2023-10-22T11:34:20.000+00:00,2023-10-22T12:41:47.000+00:00,2023-10-22T13:13:25.000+00:00,2023-10-22T13:55:38.000+00:00,2023-10-22T14:44:15.000+00:00,2023-10-22T15:07:14.000+00:00,
150,Edouard DESCLAUX,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:07:52.000+00:00,2023-10-22T07:26:37.000+00:00,2023-10-22T08:56:32.000+00:00,2023-10-22T10:16:57.000+00:00,2023-10-22T10:47:45.000+00:00,2023-10-22T11:36:20.000+00:00,2023-10-22T12:46:45.000+00:00,2023-10-22T13:18:19.000+00:00,2023-10-22T13:58:09.000+00:00,2023-10-22T14:45:11.000+00:00,2023-10-22T17:17:39.000+00:00,
217,David HAUTIER,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:58.000+00:00,2023-10-22T07:30:22.000+00:00,2023-10-22T08:55:34.000+00:00,2023-10-22T10:10:07.000+00:00,2023-10-22T10:39:57.000+00:00,2023-10-22T11:27:47.000+00:00,2023-10-22T12:42:56.000+00:00,2023-10-22T13:13:07.000+00:00,2023-10-22T13:56:25.000+00:00,2023-10-22T14:47:34.000+00:00,2023-10-22T15:07:22.000+00:00,
362,Quentin GILLIOT,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:10.000+00:00,2023-10-22T07:29:22.000+00:00,2023-10-22T08:53:40.000+00:00,2023-10-22T10:11:10.000+00:00,2023-10-22T10:45:10.000+00:00,2023-10-22T11:34:30.000+00:00,2023-10-22T12:48:48.000+00:00,2023-10-22T13:20:11.000+00:00,2023-10-22T14:01:36.000+00:00,2023-10-22T14:47:14.000+00:00,2023-10-22T15:07:27.000+00:00,
226,Arthur GAUDAIRE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:03.000+00:00,2023-10-22T07:26:42.000+00:00,2023-10-22T09:00:07.000+00:00,2023-10-22T10:19:35.000+00:00,2023-10-22T10:49:59.000+00:00,2023-10-22T11:33:56.000+00:00,2023-10-22T12:46:58.000+00:00,2023-10-22T13:16:34.000+00:00,2023-10-22T13:54:29.000+00:00,2023-10-22T14:43:45.000+00:00,2023-10-22T15:07:58.000+00:00,
99,Jordy DAME,FINISHER,S-M0H,MALE,BE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:06:06.000+00:00,2023-10-22T07:19:50.000+00:00,2023-10-22T08:43:26.000+00:00,2023-10-22T10:02:41.000+00:00,2023-10-22T10:31:12.000+00:00,2023-10-22T11:21:57.000+00:00,2023-10-22T12:35:21.000+00:00,2023-10-22T13:11:42.000+00:00,2023-10-22T13:56:34.000+00:00,2023-10-22T14:47:08.000+00:00,2023-10-22T15:10:02.000+00:00,
155,Aymeric HEDREUL,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:45.000+00:00,2023-10-22T07:36:05.000+00:00,2023-10-22T09:03:00.000+00:00,2023-10-22T10:23:02.000+00:00,2023-10-22T10:54:00.000+00:00,2023-10-22T11:43:10.000+00:00,2023-10-22T12:51:15.000+00:00,2023-10-22T13:25:16.000+00:00,2023-10-22T14:03:17.000+00:00,2023-10-22T14:49:08.000+00:00,2023-10-22T15:10:39.000+00:00,
2539,Erwan LE BRONNEC,FINISHER,M3-M4H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:10.000+00:00,2023-10-22T07:33:16.000+00:00,2023-10-22T08:58:33.000+00:00,2023-10-22T10:11:29.000+00:00,2023-10-22T10:41:07.000+00:00,2023-10-22T11:26:43.000+00:00,2023-10-22T12:43:03.000+00:00,2023-10-22T13:14:26.000+00:00,2023-10-22T13:58:59.000+00:00,2023-10-22T14:49:42.000+00:00,2023-10-22T15:10:54.000+00:00,
90,David LABBE,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:07:45.000+00:00,2023-10-22T07:24:41.000+00:00,2023-10-22T08:43:58.000+00:00,2023-10-22T09:59:51.000+00:00,2023-10-22T10:28:42.000+00:00,2023-10-22T11:21:39.000+00:00,2023-10-22T12:36:55.000+00:00,2023-10-22T13:10:45.000+00:00,2023-10-22T13:52:03.000+00:00,2023-10-22T14:43:44.000+00:00,2023-10-22T15:11:56.000+00:00,
659,Jules FABRE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:08.000+00:00,2023-10-22T07:31:07.000+00:00,2023-10-22T08:57:29.000+00:00,2023-10-22T10:11:24.000+00:00,2023-10-22T10:43:12.000+00:00,2023-10-22T11:32:32.000+00:00,2023-10-22T12:44:07.000+00:00,2023-10-22T13:16:09.000+00:00,2023-10-22T14:04:29.000+00:00,2023-10-22T14:51:19.000+00:00,2023-10-22T15:12:02.000+00:00,
130,Loïc SERVAJEAN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:01.000+00:00,2023-10-22T07:35:43.000+00:00,2023-10-22T09:00:55.000+00:00,2023-10-22T10:16:40.000+00:00,2023-10-22T10:47:00.000+00:00,2023-10-22T11:35:10.000+00:00,2023-10-22T12:47:41.000+00:00,2023-10-22T13:20:51.000+00:00,2023-10-22T14:02:59.000+00:00,2023-10-22T14:50:18.000+00:00,2023-10-22T15:12:26.000+00:00,
2347,Lukas KROIß,FINISHER,S-M0H,MALE,DE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:36.000+00:00,2023-10-22T07:35:49.000+00:00,2023-10-22T09:00:02.000+00:00,2023-10-22T10:15:56.000+00:00,2023-10-22T10:45:07.000+00:00,2023-10-22T11:33:56.000+00:00,2023-10-22T12:45:34.000+00:00,2023-10-22T13:16:18.000+00:00,2023-10-22T13:56:36.000+00:00,2023-10-22T14:49:41.000+00:00,2023-10-22T15:12:46.000+00:00,
134,Alan RAOULT,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:07:02.000+00:00,2023-10-22T07:21:00.000+00:00,2023-10-22T08:39:01.000+00:00,2023-10-22T09:50:26.000+00:00,2023-10-22T10:20:54.000+00:00,2023-10-22T11:10:57.000+00:00,2023-10-22T12:25:19.000+00:00,2023-10-22T12:56:17.000+00:00,2023-10-22T13:43:48.000+00:00,2023-10-22T14:51:59.000+00:00,2023-10-22T15:13:27.000+00:00,
2634,Pierre-Yves SANLAVILLE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:19.000+00:00,2023-10-22T07:30:14.000+00:00,2023-10-22T08:51:01.000+00:00,2023-10-22T10:08:43.000+00:00,2023-10-22T10:36:23.000+00:00,2023-10-22T11:28:22.000+00:00,2023-10-22T12:43:25.000+00:00,2023-10-22T13:17:08.000+00:00,2023-10-22T13:58:57.000+00:00,2023-10-22T14:49:23.000+00:00,2023-10-22T18:29:44.000+00:00,
213,Camille JACOB,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:35.000+00:00,2023-10-22T07:14:48.000+00:00,2023-10-22T08:37:48.000+00:00,2023-10-22T10:08:25.000+00:00,2023-10-22T10:41:18.000+00:00,2023-10-22T11:41:33.000+00:00,2023-10-22T12:59:02.000+00:00,2023-10-22T13:29:35.000+00:00,2023-10-22T14:04:38.000+00:00,2023-10-22T14:51:53.000+00:00,2023-10-22T15:14:17.000+00:00,
712,Roman NIEL,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:15:43.000+00:00,2023-10-22T07:41:54.000+00:00,2023-10-22T09:08:51.000+00:00,2023-10-22T10:28:54.000+00:00,2023-10-22T11:00:38.000+00:00,2023-10-22T11:48:05.000+00:00,2023-10-22T12:58:32.000+00:00,2023-10-22T13:28:53.000+00:00,2023-10-22T14:07:18.000+00:00,2023-10-22T14:55:16.000+00:00,2023-10-22T15:14:41.000+00:00,
645,Cédric FARCY,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:14:09.000+00:00,2023-10-22T07:36:34.000+00:00,2023-10-22T09:03:33.000+00:00,2023-10-22T10:22:58.000+00:00,2023-10-22T10:53:53.000+00:00,2023-10-22T11:41:28.000+00:00,2023-10-22T12:56:32.000+00:00,2023-10-22T13:28:49.000+00:00,2023-10-22T14:07:55.000+00:00,2023-10-22T14:55:27.000+00:00,2023-10-22T15:15:05.000+00:00,
871,Thibault BAROCHE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:35.000+00:00,2023-10-22T07:30:52.000+00:00,2023-10-22T08:56:34.000+00:00,2023-10-22T10:11:41.000+00:00,2023-10-22T10:41:11.000+00:00,2023-10-22T11:29:58.000+00:00,2023-10-22T12:46:29.000+00:00,2023-10-22T13:22:38.000+00:00,2023-10-22T14:03:04.000+00:00,2023-10-22T14:52:20.000+00:00,2023-10-22T16:15:55.000+00:00,
221,Kenan LE JUNTER,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:00.000+00:00,2023-10-22T07:31:14.000+00:00,2023-10-22T08:53:19.000+00:00,2023-10-22T10:10:02.000+00:00,2023-10-22T10:38:57.000+00:00,2023-10-22T11:34:49.000+00:00,2023-10-22T12:46:52.000+00:00,2023-10-22T13:20:06.000+00:00,2023-10-22T14:06:28.000+00:00,2023-10-22T14:56:12.000+00:00,2023-10-22T15:15:43.000+00:00,
222,Mathieu MARTIN,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:19.000+00:00,2023-10-22T07:28:20.000+00:00,2023-10-22T08:51:17.000+00:00,2023-10-22T10:07:07.000+00:00,2023-10-22T10:36:20.000+00:00,2023-10-22T11:27:46.000+00:00,2023-10-22T12:43:14.000+00:00,2023-10-22T13:13:35.000+00:00,2023-10-22T13:58:10.000+00:00,2023-10-22T14:49:59.000+00:00,2023-10-22T15:16:00.000+00:00,
236,Yoann BOURIEL,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:10:57.000+00:00,2023-10-22T07:33:12.000+00:00,2023-10-22T08:59:45.000+00:00,2023-10-22T10:15:58.000+00:00,2023-10-22T10:46:28.000+00:00,2023-10-22T11:35:41.000+00:00,2023-10-22T12:53:37.000+00:00,2023-10-22T13:27:45.000+00:00,2023-10-22T14:07:38.000+00:00,2023-10-22T14:55:57.000+00:00,2023-10-22T15:34:39.000+00:00,
377,Gaëtan BESSE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:03.000+00:00,2023-10-22T07:33:13.000+00:00,2023-10-22T08:59:23.000+00:00,2023-10-22T10:17:36.000+00:00,2023-10-22T10:47:42.000+00:00,2023-10-22T11:40:16.000+00:00,2023-10-22T12:51:33.000+00:00,2023-10-22T13:24:29.000+00:00,2023-10-22T14:06:13.000+00:00,2023-10-22T14:53:45.000+00:00,2023-10-22T15:22:15.000+00:00,
164,Pierre ALIPHAT,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:34.000+00:00,2023-10-22T07:30:03.000+00:00,2023-10-22T08:57:10.000+00:00,2023-10-22T10:19:47.000+00:00,2023-10-22T10:51:29.000+00:00,2023-10-22T11:46:15.000+00:00,2023-10-22T12:56:16.000+00:00,2023-10-22T13:28:28.000+00:00,2023-10-22T14:09:19.000+00:00,2023-10-22T14:56:19.000+00:00,2023-10-22T15:17:30.000+00:00,
2599,Rafael PEREZ,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:50.000+00:00,2023-10-22T07:38:53.000+00:00,2023-10-22T09:05:27.000+00:00,2023-10-22T10:22:01.000+00:00,2023-10-22T10:52:47.000+00:00,2023-10-22T11:37:29.000+00:00,2023-10-22T12:52:51.000+00:00,2023-10-22T13:25:13.000+00:00,2023-10-22T14:05:47.000+00:00,2023-10-22T14:56:09.000+00:00,2023-10-22T15:18:04.000+00:00,
225,Mathieu LEURS,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:20.000+00:00,2023-10-22T07:41:19.000+00:00,2023-10-22T09:08:13.000+00:00,2023-10-22T10:25:32.000+00:00,2023-10-22T10:53:35.000+00:00,2023-10-22T11:42:53.000+00:00,2023-10-22T12:52:52.000+00:00,2023-10-22T13:25:12.000+00:00,2023-10-22T14:05:47.000+00:00,2023-10-22T14:56:10.000+00:00,2023-10-22T16:40:24.000+00:00,
2613,Thibault PRADEILLES,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:42.000+00:00,2023-10-22T07:41:18.000+00:00,2023-10-22T09:05:40.000+00:00,2023-10-22T10:27:32.000+00:00,2023-10-22T10:57:38.000+00:00,2023-10-22T11:47:33.000+00:00,2023-10-22T13:00:07.000+00:00,2023-10-22T13:35:32.000+00:00,2023-10-22T14:12:35.000+00:00,2023-10-22T14:58:23.000+00:00,2023-10-22T15:24:43.000+00:00,
144,Hicham TOUATI,FINISHER,S-M0H,MALE,BE,2023-10-22T05:18:53.000+00:00,2023-10-22T06:10:03.000+00:00,2023-10-22T07:30:20.000+00:00,2023-10-22T08:58:45.000+00:00,2023-10-22T10:22:53.000+00:00,2023-10-22T10:57:59.000+00:00,2023-10-22T11:45:15.000+00:00,2023-10-22T12:58:39.000+00:00,2023-10-22T13:30:35.000+00:00,2023-10-22T14:12:46.000+00:00,2023-10-22T15:01:09.000+00:00,2023-10-22T15:20:21.000+00:00,
178,Lucie GUIGUE,FINISHER,S-M0F,FEMALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:14:06.000+00:00,2023-10-22T07:38:15.000+00:00,2023-10-22T09:04:52.000+00:00,2023-10-22T10:23:00.000+00:00,2023-10-22T10:52:47.000+00:00,2023-10-22T11:37:17.000+00:00,2023-10-22T12:50:44.000+00:00,2023-10-22T13:23:24.000+00:00,2023-10-22T14:05:50.000+00:00,2023-10-22T14:56:56.000+00:00,2023-10-22T15:20:42.000+00:00,
653,Jeremy POINTARD,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:07:46.000+00:00,2023-10-22T07:24:20.000+00:00,2023-10-22T08:44:47.000+00:00,2023-10-22T09:58:42.000+00:00,2023-10-22T10:29:45.000+00:00,2023-10-22T11:17:57.000+00:00,2023-10-22T13:05:51.000+00:00,2023-10-22T13:35:37.000+00:00,2023-10-22T14:14:23.000+00:00,2023-10-22T15:00:31.000+00:00,2023-10-22T15:21:19.000+00:00,
627,Matéo KAUP,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:31.000+00:00,2023-10-22T07:33:27.000+00:00,2023-10-22T09:00:32.000+00:00,2023-10-22T10:23:06.000+00:00,2023-10-22T10:53:32.000+00:00,2023-10-22T11:42:27.000+00:00,2023-10-22T12:55:47.000+00:00,2023-10-22T13:28:42.000+00:00,2023-10-22T14:10:27.000+00:00,2023-10-22T14:57:53.000+00:00,2023-10-22T15:21:58.000+00:00,
141,Victor FAIVRE PIERRET,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:06:34.000+00:00,2023-10-22T07:16:32.000+00:00,2023-10-22T08:40:54.000+00:00,2023-10-22T09:58:23.000+00:00,2023-10-22T10:35:28.000+00:00,2023-10-22T11:34:17.000+00:00,2023-10-22T12:51:50.000+00:00,2023-10-22T13:23:39.000+00:00,2023-10-22T14:09:06.000+00:00,2023-10-22T15:02:14.000+00:00,2023-10-22T15:22:02.000+00:00,
126,Thierry BELZUZ,FINISHER,M3-M4H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:15.000+00:00,2023-10-22T07:35:43.000+00:00,2023-10-22T09:04:30.000+00:00,2023-10-22T10:23:49.000+00:00,2023-10-22T10:54:19.000+00:00,2023-10-22T11:42:10.000+00:00,2023-10-22T12:51:34.000+00:00,2023-10-22T13:23:37.000+00:00,2023-10-22T14:05:24.000+00:00,2023-10-22T14:55:51.000+00:00,2023-10-22T15:22:06.000+00:00,
860,David GAUTIER,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:13:29.000+00:00,2023-10-22T07:35:44.000+00:00,2023-10-22T09:04:03.000+00:00,2023-10-22T10:27:14.000+00:00,2023-10-22T11:00:21.000+00:00,2023-10-22T11:46:21.000+00:00,2023-10-22T12:58:37.000+00:00,2023-10-22T13:32:08.000+00:00,2023-10-22T14:08:29.000+00:00,2023-10-22T14:58:29.000+00:00,2023-10-22T15:27:20.000+00:00,
352,Yann DELAQUEZE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:49.000+00:00,2023-10-22T07:35:46.000+00:00,2023-10-22T09:01:44.000+00:00,2023-10-22T10:19:37.000+00:00,2023-10-22T10:51:07.000+00:00,2023-10-22T11:39:31.000+00:00,2023-10-22T12:52:28.000+00:00,2023-10-22T13:26:28.000+00:00,2023-10-22T14:10:21.000+00:00,2023-10-22T14:59:13.000+00:00,2023-10-22T15:22:39.000+00:00,
316,Emmanuel DELCOUR,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:19.000+00:00,2023-10-22T07:32:03.000+00:00,2023-10-22T08:58:47.000+00:00,2023-10-22T10:13:58.000+00:00,2023-10-22T10:46:48.000+00:00,2023-10-22T11:34:09.000+00:00,2023-10-22T12:50:27.000+00:00,2023-10-22T13:25:14.000+00:00,2023-10-22T14:04:30.000+00:00,2023-10-22T14:52:04.000+00:00,2023-10-22T15:22:45.000+00:00,
388,Jeremy CROCHER,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:14:00.000+00:00,2023-10-22T07:36:33.000+00:00,2023-10-22T09:04:44.000+00:00,2023-10-22T10:27:14.000+00:00,2023-10-22T10:56:52.000+00:00,2023-10-22T11:44:05.000+00:00,2023-10-22T12:58:27.000+00:00,2023-10-22T13:29:05.000+00:00,2023-10-22T14:13:39.000+00:00,2023-10-22T15:02:32.000+00:00,2023-10-22T15:27:59.000+00:00,
345,Boris LABESQUE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:10:06.000+00:00,2023-10-22T07:29:52.000+00:00,2023-10-22T09:02:15.000+00:00,2023-10-22T10:31:38.000+00:00,2023-10-22T11:02:10.000+00:00,2023-10-22T11:50:34.000+00:00,2023-10-22T13:03:40.000+00:00,2023-10-22T13:35:55.000+00:00,2023-10-22T14:15:46.000+00:00,2023-10-22T15:03:23.000+00:00,2023-10-22T15:23:15.000+00:00,
662,Thomas BROSSARD,FINISHER,ES H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:21.000+00:00,2023-10-22T07:29:20.000+00:00,2023-10-22T08:58:16.000+00:00,2023-10-22T10:17:14.000+00:00,2023-10-22T10:51:17.000+00:00,2023-10-22T11:37:44.000+00:00,2023-10-22T12:51:12.000+00:00,2023-10-22T13:22:19.000+00:00,2023-10-22T14:05:02.000+00:00,2023-10-22T15:00:31.000+00:00,2023-10-22T15:24:29.000+00:00,
200,Anthony GAILLARD,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:04:09.000+00:00,2023-10-22T07:13:27.000+00:00,2023-10-22T08:32:10.000+00:00,2023-10-22T09:46:56.000+00:00,2023-10-22T10:15:54.000+00:00,2023-10-22T11:05:01.000+00:00,2023-10-22T12:32:06.000+00:00,2023-10-22T13:06:51.000+00:00,2023-10-22T14:01:12.000+00:00,2023-10-22T14:56:17.000+00:00,2023-10-22T15:24:36.000+00:00,
467,Jules CAILLOT,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:14:26.000+00:00,2023-10-22T07:36:01.000+00:00,2023-10-22T09:05:01.000+00:00,2023-10-22T10:23:33.000+00:00,2023-10-22T10:53:52.000+00:00,2023-10-22T11:43:22.000+00:00,2023-10-22T13:01:21.000+00:00,2023-10-22T13:32:49.000+00:00,2023-10-22T14:13:58.000+00:00,2023-10-22T15:03:55.000+00:00,2023-10-22T15:24:38.000+00:00,
244,Romain DESHAYES DE CAMBRONNE,FINISHER,S-M0H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:09:08.000+00:00,2023-10-22T07:29:18.000+00:00,2023-10-22T08:54:03.000+00:00,2023-10-22T10:16:48.000+00:00,2023-10-22T10:48:05.000+00:00,2023-10-22T11:43:21.000+00:00,2023-10-22T12:59:43.000+00:00,2023-10-22T13:32:24.000+00:00,2023-10-22T14:14:31.000+00:00,2023-10-22T15:01:58.000+00:00,2023-10-22T15:24:41.000+00:00,
173,Carlotta FINN,FINISHER,S-M0F,FEMALE,GB,2023-10-22T05:18:53.000+00:00,2023-10-22T06:12:40.000+00:00,2023-10-22T07:35:27.000+00:00,2023-10-22T09:01:52.000+00:00,2023-10-22T10:17:13.000+00:00,2023-10-22T10:49:13.000+00:00,2023-10-22T11:38:29.000+00:00,2023-10-22T12:48:46.000+00:00,2023-10-22T13:20:11.000+00:00,2023-10-22T14:06:51.000+00:00,2023-10-22T14:58:56.000+00:00,2023-10-22T15:26:40.000+00:00,
313,Pierre NEVOUX,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:11:36.000+00:00,2023-10-22T07:30:04.000+00:00,2023-10-22T08:56:59.000+00:00,2023-10-22T10:17:30.000+00:00,2023-10-22T10:51:02.000+00:00,2023-10-22T11:37:21.000+00:00,2023-10-22T12:54:36.000+00:00,2023-10-22T13:23:25.000+00:00,2023-10-22T14:10:00.000+00:00,2023-10-22T15:04:20.000+00:00,2023-10-22T15:27:59.000+00:00,
1735,Sébastien RAULD,FINISHER,S-M0H,MALE,FR,2023-10-22T05:30:28.000+00:00,2023-10-22T06:23:37.000+00:00,2023-10-22T07:51:35.000+00:00,2023-10-22T09:20:08.000+00:00,2023-10-22T10:36:52.000+00:00,2023-10-22T11:07:03.000+00:00,2023-10-22T11:56:27.000+00:00,2023-10-22T13:06:09.000+00:00,2023-10-22T13:38:16.000+00:00,2023-10-22T14:16:47.000+00:00,2023-10-22T15:04:47.000+00:00,2023-10-22T16:27:15.000+00:00,
355,Alexandre BONNEVILLE,FINISHER,M1-M2H,MALE,FR,2023-10-22T05:18:53.000+00:00,2023-10-22T06:15:06.000+00:00,2023-10-22T07:38:07.000+00:00,2023-10-22T09:03:24.000+00:00,2023-10-22T10:23:02.000+00:00,2023-10-22T10:54:37.000+00:00,2023-10-22T11:43:15.000+00:00,2023-10-22T12:57:37.000+00:00,2023-10-22T13:28:58.000+00:00,2023-10-22T14:12:38.000+00:00,2023-10-22T15:04:48.000+00:00,2023-10-22T15:28:18.000+00:00,
