checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Roscanvel,15219,283,229,15.219,283,229,15.219,283.0,229.0,0.0,18.595177081279978,15.046980747749524,0.18703532056718006,0.012289593308836328,2024
Le Ped Ret,88537,2003,1998,88.537,2003,1998,15.016000000000005,390.0,386.0,73.521,25.972296217368132,25.70591369206179,0.2755635316622952,0.018351327361633932,2024
Camaret,36359,647,611,36.359,647,611,2.0799999999999983,54.0,27.0,34.279,25.96153846153848,12.98076923076924,0.04023113179639896,0.019341890286730282,2024
Arrivée,90821,2087,2001,90.821,2087,2001,2.283999999999992,84.0,3.0,88.537,36.777583187390675,1.3134851138353811,0.07202161437276908,0.03153310611767484,2024
Plage de G,50619,893,892,50.619,893,892,9.351999999999997,124.0,176.0,41.267,13.259195893926437,18.819503849443976,-0.026308004811958847,-0.0028130886240332396,2024
Pointe des,19619,317,255,19.619,317,255,4.4,34.0,26.0,15.219,7.727272727272727,5.909090909090908,0.054430354783363236,0.012370535178037097,2024
Fort du Pe,34279,593,584,34.279,593,584,14.660000000000004,276.0,329.0,19.619,18.826739427012274,22.442019099590716,0.18246001538249154,0.012446112918314564,2024
Port de Mo,73521,1613,1612,73.521,1613,1612,9.922000000000004,334.0,422.0,63.599,33.66256803063897,42.53174763152588,0.21456603624746087,0.021625280815103887,2024
