checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Départ,0,0,0,
Col  Voza,14555,950,323,
St-Gervais,23050,1090,1319,2025-08-29T22:00:00.000+02:00
Contamines,32698,1585,1462,2025-08-30T00:00:00.000+02:00
La Balme,41335,2211,1509,2025-08-30T02:00:00.000+02:00
Bonhomme,47157,2974,1590,
Chapieux,52443,2974,2467,2025-08-30T05:15:00.000+02:00
Col Seigne,63240,4034,2597,
Lac Combal,68094,4042,3122,2025-08-30T10:00:00.000+02:00
Mt-Favre,72094,4521,3186,
Checrouit ,76687,4540,3637,
Courmayeur,81613,4558,4419,
Courmayeur,81613,4558,4419,2025-08-30T13:15:00.000+02:00
Bertone,87045,5415,4419,
Bonatti,94639,5689,4694,
Arnouvaz,99908,5799,5060,2025-08-30T18:15:00.000+02:00
Col Ferret,104505,6553,5103,
La Fouly,114483,6618,6083,2025-08-30T22:30:00.000+02:00
Champex,128290,7130,6694,2025-08-31T02:30:00.000+02:00
La Giète,139774,7926,7130,
Trient,144872,7991,7738,2025-08-31T08:00:00.000+02:00
Tseppes,148875,8727,7738,
Vallorcine,157018,8803,8563,
Vallorcine,157018,8803,8563,2025-08-31T11:15:00.000+02:00
La Flégère,168299,9730,9000,2025-08-31T14:45:00.000+02:00
Chamonix,174670,9730,9731,2025-08-31T16:30:00.000+02:00
