checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,allure_ref_norm
Saint Paul,0,0,0,0,0,
Ecole  Bel,6000.0,412,15,1.75,6.0,412,15,6.0,412.0,15.0,0.0,68.66666666666667,2.5,0.09110444721638147,0.01518407453606358
Ilet Savan,15300.0,618,499,4.5,15.3,618,499,9.3,206.0,484.0,6.0,22.1505376344086,52.04301075268817,0.11531315444191875,0.012399263918485887
Ratinaud,22100.0,1236,798,6.5,22.1,1236,798,6.800000000000001,618.0,299.0,15.3,90.88235294117646,43.970588235294116,0.1589589319851097,0.023376313527222015
Possession,29900.0,1409,1412,8.5,29.9,1409,1412,7.799999999999997,173.0,614.0,22.1,22.179487179487186,78.71794871794874,0.15661965201647735,0.02007944256621505
Chaloupe,36800.0,1765,1763,10.5,36.8,1765,1763,6.899999999999999,356.0,351.0,29.9,51.59420289855073,50.86956521739131,0.15273276156692436,0.022135182835786145
Colorado,45800.0,2597,1922,12.5,45.8,2597,1922,9.0,832.0,159.0,36.8,92.44444444444444,17.666666666666668,0.21736375031758626,0.02415152781306514
La Vigie,49800.0,2611,2268,,49.8,2611,2268,4.0,14.0,346.0,45.8,3.5,86.5,0.05718066249675753,0.014295165624189383
St Denis,52800.0,2631,2588,14.0,52.8,2631,2588,3.0,20.0,320.0,49.8,6.666666666666667,106.66666666666667,0.05072663995884469,0.01690887998628156
