lat,lon,altitude_gpx,altitude,dist_2d_m,dist_3d_m,distance_cum_2d,distance_cum_3d,pente,distance_cum_2d_calib,distance
44.11377,3.08704,360.0,359.6410487456373,0.0,0.0,0.0,0.0,-5.976254980581518,0.0,0.0
44.11376,3.08697,359.0,359.30052826532193,5.6978907597119,5.708056876654653,5.6978907597119,5.708056876654653,-4.643436703357571,5.707086891651861,5.717269416236786
44.11376,3.0869,359.0,359.1169798087061,5.588339039700628,5.5913525428618955,11.286229799412528,11.299409419516548,0.03161807751857757,11.304445251887325,11.31764614328813
44.11377,3.08679,359.0,359.3050939575666,8.851793324450131,8.853791955528514,20.13802312386266,20.153201375045064,2.362749802548232,20.17052496102782,20.185727709205057
44.11381,3.0866,360.0,359.69960556530265,15.80700702623358,15.811929374242608,35.94503015009624,35.965130749287674,2.561301788595472,36.00304376492077,36.02317680554887
44.11389,3.08662,360.0,359.94144318033466,9.037750651345618,9.040985691170102,44.982780801441855,45.006116440457774,1.459348237145459,45.055380927474694,45.07875422913181
44.11399,3.08664,360.0,359.9954343077553,11.23354134893271,11.233671095417609,56.216322150374566,56.23978753587538,0.19933436216338737,56.30705269216199,56.330555949708824
44.11415,3.08668,360.0,359.9998661693754,18.075499203180865,18.075499746496348,74.29182135355543,74.31528728237173,0.014487786214136109,74.41172491437096,74.43522871611016
44.11427,3.0867,360.0,360.0,13.43857877394673,13.438578774613118,87.73040012750216,87.75386605698485,0.0004927715380295706,87.8719929324086,87.89549673481527
44.11439,3.08674,360.0,360.0,13.720178225737616,13.720178225737616,101.45057835323978,101.47404428272246,0.0,101.61431489071754,101.6378186931242
44.11453,3.08679,360.0,360.0,16.070891929129235,16.070891929129235,117.52147028236901,117.54493621185169,0.0,117.71114449552461,117.73464829793127
44.11467,3.08685,360.0,360.0,16.28754137738031,16.28754137738031,133.80901165974933,133.832477589232,0.0,134.02497321076387,134.04847701317055
44.11484,3.08695,360.0,360.0,20.519751547879917,20.519751547879917,154.32876320762924,154.35222913711192,0.0,154.57784268781572,154.6013464902224
44.1153,3.08721,360.0,360.0,55.200628149076536,55.200628149076536,209.5293913567058,209.55285728618844,0.0,209.86756209557643,209.89106589798308
44.11535,3.08724,360.0,360.0,6.053636278098937,6.053636278098937,215.58302763480472,215.60649356428738,0.0,215.93096866241513,215.95447246482178
44.11544,3.0873,360.0,360.0,11.094764627492198,11.094764627492198,226.67779226229692,226.70125819177957,0.0,227.04363972645726,227.0671435288639
44.11564,3.08742,360.0,360.0,24.214531323292164,24.214531323292164,250.89232358558908,250.91578951507174,0.0,251.29725218245343,251.32075598486009
44.11589,3.08757,360.0,360.0,30.268146115434952,30.268146115434952,281.16046970102406,281.1839356305067,0.0,281.61424968465485,281.6377534870615
44.11619,3.08775,360.0,360.0,36.321748883460906,36.321748883460906,317.48221858448494,317.5056845139676,0.0,317.9946201895382,318.01812399194483
44.11641,3.08789,360.0,360.0,26.89498246062177,26.89498246062177,344.3772010451067,344.40066697458934,0.0,344.93300990692586,344.9565137093325
44.11663,3.08803,360.0,360.0,26.89496516970549,26.89496516970549,371.27216621481216,371.2956321442948,0.0,371.8713823054905,371.8948861078971
44.11691,3.08821,360.0,360.0,34.29049904061059,34.29049904061059,405.56266525542276,405.5861311849054,0.0,406.21722462430046,406.2407284267071
44.1171,3.08834,360.0,360.0,23.53826345992587,23.53826345992587,429.10092871534863,429.1243946448313,0.0,429.79347775190223,429.8169815543089
44.11728,3.08849,360.0,360.0,23.323549709229805,23.323549709229805,452.4244784245784,452.44794435406106,0.0,453.1546705907531,453.1781743931597
44.11736,3.08858,360.0,360.0,11.4345837525722,11.4345837525722,463.85906217715063,463.8825281066333,0.0,464.60770923221344,464.63121303462003
44.11743,3.08864,360.0,360.0,9.139280697237645,9.139280697237645,472.9983428743883,473.02180880387095,0.0,473.7617403054538,473.7852441078604
44.11754,3.08877,360.0,360.0,16.040717437121657,16.040717437121657,489.03906031150996,489.0625262409926,0.0,489.82834671801993,489.8518505204266
44.11765,3.0889,360.0,360.0,16.040704938919166,16.040704938919166,505.07976525042915,505.1032311799118,0.0,505.89494061221205,505.9184444146187
44.11784,3.08912,360.0,360.0,27.47328445138368,27.47328445138368,532.5530497018128,532.5765156312955,0.0,533.412565673006,533.4360694754126
44.11805,3.08939,360.0,360.0,31.777654328680242,31.777654328680242,564.330704030493,564.3541699599757,0.0,565.2415076648361,565.2650114672429
44.11819,3.08957,360.0,360.0,21.185074021481697,21.185074021481697,585.5157780519747,585.5392439814574,0.0,586.4607734151655,586.4842772175721
44.11836,3.08982,360.0,360.0,27.48824521360692,27.48824521360692,613.0040232655816,613.0274891950643,0.0,613.9933833841603,614.016887186567
44.11851,3.09003,360.0,360.0,23.647797850278156,23.647797850278156,636.6518211158598,636.6752870453424,0.00034094194896113384,637.6793476855503,637.7028514879569
44.1186,3.09018,360.0,360.00013383062463,15.605402010193682,15.605402010767541,652.2572231260534,652.28068905611,0.0165678209078334,653.3099360922394,653.3334398952209
44.11868,3.09028,360.0,360.0045656922447,11.952188514723831,11.952189336389115,664.2094116407773,664.2328783924991,0.1795997628288944,665.2814148859784,665.3049195119512
44.11882,3.09045,360.0,360.05869065029,20.651874398838302,20.65194532475031,684.8612860396156,684.8848237172493,1.0050887445500065,685.9666204541544,685.9901961205103
44.11888,3.09053,360.0,360.304960126942,9.235479959287192,9.238762835657477,694.0967659989028,694.1235865529068,2.779020799440013,695.2170060506003,695.243869891737
