bib,name,status,category,sex,country,Départ,Cresse,Rozier,Truel,Champignon,St Andrée,La Roque,La Salvage,Mas de Bru,Massebiau,Cade,la pouncho,Arrivée,P7
3782,Isabelle TRICHET,FINISHER,M1-M2F,FEMALE,FR,2022-10-21T04:16:00.000+00:00,2022-10-21T06:34:42.000+00:00,2022-10-21T08:23:36.000+00:00,2022-10-21T10:39:38.000+00:00,2022-10-21T13:06:14.000+00:00,2022-10-21T14:32:27.000+00:00,2022-10-21T16:48:33.000+00:00,2022-10-21T18:55:01.000+00:00,2022-10-21T20:59:30.000+00:00,2022-10-21T22:00:51.000+00:00,2022-10-21T22:58:54.000+00:00,2022-10-21T23:46:39.000+00:00,2022-10-22T01:43:19.000+00:00,2022-10-21T05:44:39.000+00:00
3467,Fabrice BANCHEREAU,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:16:01.000+00:00,2022-10-21T06:34:44.000+00:00,2022-10-21T08:22:43.000+00:00,2022-10-21T10:39:33.000+00:00,2022-10-21T13:06:09.000+00:00,2022-10-21T14:32:29.000+00:00,2022-10-21T16:48:38.000+00:00,2022-10-21T19:14:16.000+00:00,2022-10-21T20:59:30.000+00:00,2022-10-21T22:00:56.000+00:00,2022-10-21T22:58:59.000+00:00,2022-10-21T23:46:40.000+00:00,2022-10-22T00:52:46.000+00:00,2022-10-21T05:44:39.000+00:00
4094,Yohann DUPAS,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:16:02.000+00:00,2022-10-21T06:34:42.000+00:00,2022-10-21T08:25:16.000+00:00,2022-10-21T10:39:25.000+00:00,2022-10-21T13:06:14.000+00:00,2022-10-21T14:32:30.000+00:00,2022-10-21T16:48:35.000+00:00,2022-10-21T19:17:57.000+00:00,2022-10-21T20:59:33.000+00:00,2022-10-21T22:00:56.000+00:00,2022-10-21T22:58:57.000+00:00,2022-10-21T23:46:44.000+00:00,2022-10-22T00:45:55.000+00:00,2022-10-21T05:44:37.000+00:00
3822,Anthony BRIOT,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:27.000+00:00,2022-10-21T06:25:47.000+00:00,2022-10-21T08:10:24.000+00:00,2022-10-21T10:32:06.000+00:00,2022-10-21T13:11:25.000+00:00,2022-10-21T14:45:49.000+00:00,2022-10-21T17:00:01.000+00:00,2022-10-21T19:23:38.000+00:00,2022-10-21T21:15:46.000+00:00,2022-10-21T22:13:32.000+00:00,2022-10-21T23:19:03.000+00:00,2022-10-21T23:56:07.000+00:00,2022-10-22T00:35:52.000+00:00,2022-10-21T05:37:22.000+00:00
4119,Stefan LEGUERN,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:39.000+00:00,2022-10-21T06:22:35.000+00:00,2022-10-21T08:05:35.000+00:00,2022-10-21T10:19:38.000+00:00,2022-10-21T12:55:25.000+00:00,2022-10-21T14:32:32.000+00:00,2022-10-21T16:39:19.000+00:00,2022-10-21T18:55:05.000+00:00,2022-10-21T21:15:45.000+00:00,2022-10-21T22:13:30.000+00:00,2022-10-21T23:19:07.000+00:00,2022-10-21T23:56:08.000+00:00,2022-10-22T00:35:53.000+00:00,2022-10-21T05:32:59.000+00:00
3303,Guillaume WANTE,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:01:45.000+00:00,2022-10-21T06:07:44.000+00:00,2022-10-21T08:02:51.000+00:00,2022-10-21T10:13:39.000+00:00,2022-10-21T12:42:47.000+00:00,2022-10-21T14:14:53.000+00:00,2022-10-21T16:13:21.000+00:00,2022-10-21T18:29:45.000+00:00,2022-10-21T20:31:36.000+00:00,2022-10-21T21:34:44.000+00:00,2022-10-21T22:39:42.000+00:00,2022-10-21T23:24:55.000+00:00,2022-10-22T00:48:17.000+00:00,2022-10-21T05:17:56.000+00:00
3520,Cyril GUYOT,FINISHER,SE H,MALE,FR,2022-10-21T04:01:58.000+00:00,2022-10-21T06:16:42.000+00:00,2022-10-21T08:01:43.000+00:00,2022-10-21T10:26:33.000+00:00,2022-10-21T13:00:20.000+00:00,2022-10-21T14:25:54.000+00:00,2022-10-21T16:45:39.000+00:00,2022-10-21T18:48:51.000+00:00,2022-10-21T20:54:30.000+00:00,2022-10-21T21:59:36.000+00:00,2022-10-21T23:10:53.000+00:00,2022-10-21T23:48:08.000+00:00,2022-10-22T00:43:25.000+00:00,2022-10-21T05:25:34.000+00:00
3603,Patrick CHATAIN,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:15:43.000+00:00,2022-10-21T06:32:25.000+00:00,2022-10-21T08:20:44.000+00:00,2022-10-21T10:31:14.000+00:00,2022-10-21T13:01:05.000+00:00,2022-10-21T14:30:28.000+00:00,2022-10-21T16:45:18.000+00:00,2022-10-21T19:17:15.000+00:00,2022-10-21T21:01:04.000+00:00,2022-10-21T22:00:59.000+00:00,2022-10-21T23:03:30.000+00:00,2022-10-21T23:48:11.000+00:00,2022-10-22T00:42:28.000+00:00,2022-10-21T05:41:12.000+00:00
4198,Remy SANCHEZ,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:44.000+00:00,2022-10-21T06:11:13.000+00:00,2022-10-21T07:58:29.000+00:00,2022-10-21T10:08:38.000+00:00,2022-10-21T12:45:10.000+00:00,2022-10-21T14:10:30.000+00:00,2022-10-21T16:35:59.000+00:00,2022-10-21T18:50:00.000+00:00,2022-10-21T20:54:31.000+00:00,2022-10-21T22:02:00.000+00:00,2022-10-21T23:06:14.000+00:00,2022-10-21T23:53:16.000+00:00,2022-10-22T00:49:57.000+00:00,2022-10-21T05:27:10.000+00:00
3813,Loic TELLIER,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:32.000+00:00,2022-10-21T06:32:17.000+00:00,2022-10-21T08:23:03.000+00:00,2022-10-21T10:52:21.000+00:00,2022-10-21T13:24:38.000+00:00,2022-10-21T14:50:18.000+00:00,2022-10-21T16:59:17.000+00:00,2022-10-21T19:04:00.000+00:00,2022-10-21T21:15:56.000+00:00,2022-10-21T22:07:21.000+00:00,2022-10-21T23:15:00.000+00:00,2022-10-22T00:00:21.000+00:00,2022-10-22T18:14:08.000+00:00,2022-10-21T05:41:06.000+00:00
4199,Denis DUFOURNEL,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:44.000+00:00,2022-10-21T06:17:12.000+00:00,2022-10-21T07:55:58.000+00:00,2022-10-21T10:08:36.000+00:00,2022-10-21T12:45:24.000+00:00,2022-10-21T14:10:43.000+00:00,2022-10-21T16:37:39.000+00:00,2022-10-21T18:51:05.000+00:00,2022-10-21T20:54:44.000+00:00,2022-10-21T22:02:00.000+00:00,2022-10-21T23:06:53.000+00:00,2022-10-21T23:53:25.000+00:00,2022-10-22T00:43:32.000+00:00,2022-10-21T05:32:55.000+00:00
3908,Matthieu FAUCHEUX,FINISHER,SE H,MALE,FR,2022-10-21T04:15:30.000+00:00,2022-10-21T06:25:33.000+00:00,2022-10-21T08:12:36.000+00:00,2022-10-21T10:31:36.000+00:00,2022-10-21T13:18:09.000+00:00,2022-10-21T14:51:46.000+00:00,2022-10-21T17:09:15.000+00:00,2022-10-21T19:19:12.000+00:00,2022-10-21T21:15:05.000+00:00,2022-10-21T22:11:17.000+00:00,2022-10-21T23:17:07.000+00:00,2022-10-21T23:58:24.000+00:00,2022-10-22T00:47:44.000+00:00,2022-10-21T05:36:47.000+00:00
3934,Safet MUSTAFOSKI,FINISHER,M5-M6H,MALE,FR,2022-10-21T04:15:25.000+00:00,2022-10-21T06:33:58.000+00:00,2022-10-21T08:23:42.000+00:00,2022-10-21T10:49:20.000+00:00,2022-10-21T13:36:52.000+00:00,2022-10-21T15:18:21.000+00:00,2022-10-21T17:20:59.000+00:00,2022-10-21T19:50:28.000+00:00,,2022-10-21T22:19:46.000+00:00,2022-10-21T23:21:46.000+00:00,2022-10-22T00:02:14.000+00:00,2022-10-22T00:44:48.000+00:00,2022-10-21T05:41:50.000+00:00
5284,Stephane CHAZEL,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:15:55.000+00:00,2022-10-21T06:39:13.000+00:00,2022-10-21T08:24:56.000+00:00,2022-10-21T10:39:42.000+00:00,2022-10-21T13:10:04.000+00:00,2022-10-21T14:46:07.000+00:00,2022-10-21T16:52:02.000+00:00,2022-10-21T19:09:18.000+00:00,2022-10-21T21:10:14.000+00:00,2022-10-21T22:03:22.000+00:00,2022-10-21T23:12:31.000+00:00,2022-10-21T23:59:18.000+00:00,2022-10-23T10:38:22.000+00:00,2022-10-21T05:45:25.000+00:00
3607,Jean-Francois ROQUES,FINISHER,M3-M4H,MALE,FR,2022-10-21T04:15:33.000+00:00,2022-10-21T06:26:00.000+00:00,2022-10-21T08:14:12.000+00:00,2022-10-21T10:31:01.000+00:00,2022-10-21T13:12:19.000+00:00,2022-10-21T14:45:20.000+00:00,2022-10-21T16:59:54.000+00:00,2022-10-21T19:18:15.000+00:00,2022-10-21T21:15:51.000+00:00,2022-10-21T22:08:59.000+00:00,2022-10-21T23:14:31.000+00:00,2022-10-22T00:02:23.000+00:00,2022-10-22T00:46:09.000+00:00,2022-10-21T05:37:50.000+00:00
4133,Régis PLET,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:41.000+00:00,2022-10-21T06:19:54.000+00:00,2022-10-21T08:06:10.000+00:00,2022-10-21T10:39:36.000+00:00,2022-10-21T13:06:32.000+00:00,2022-10-21T14:28:15.000+00:00,2022-10-21T16:51:33.000+00:00,2022-10-21T19:10:36.000+00:00,2022-10-21T20:54:36.000+00:00,2022-10-21T21:59:10.000+00:00,2022-10-21T23:07:09.000+00:00,2022-10-21T23:59:20.000+00:00,2022-10-22T00:47:22.000+00:00,2022-10-21T05:34:22.000+00:00
3487,Damien BERRUET,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:02:01.000+00:00,2022-10-21T06:04:28.000+00:00,2022-10-21T08:02:23.000+00:00,2022-10-21T10:23:56.000+00:00,2022-10-21T13:06:22.000+00:00,2022-10-21T14:38:41.000+00:00,2022-10-21T16:59:54.000+00:00,2022-10-21T19:34:34.000+00:00,2022-10-21T21:15:59.000+00:00,2022-10-21T22:13:40.000+00:00,2022-10-21T23:22:09.000+00:00,2022-10-22T00:03:37.000+00:00,2022-10-22T00:48:04.000+00:00,2022-10-21T05:18:39.000+00:00
4234,Alexandre AZNAR,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:32.000+00:00,2022-10-21T06:24:56.000+00:00,2022-10-21T08:12:14.000+00:00,2022-10-21T10:24:03.000+00:00,2022-10-21T13:03:41.000+00:00,2022-10-21T14:34:45.000+00:00,2022-10-21T17:08:34.000+00:00,2022-10-21T19:14:41.000+00:00,2022-10-21T21:05:50.000+00:00,2022-10-21T22:01:21.000+00:00,2022-10-21T23:21:45.000+00:00,2022-10-22T00:03:53.000+00:00,2022-10-22T00:52:51.000+00:00,2022-10-21T05:35:12.000+00:00
4125,Mathieu VERBREGUE,FINISHER,M1-M2H,MALE,FR,2022-10-21T04:15:28.000+00:00,2022-10-21T06:29:32.000+00:00,2022-10-21T08:16:53.000+00:00,2022-10-21T10:38:55.000+00:00,2022-10-21T13:20:31.000+00:00,2022-10-21T14:48:20.000+00:00,2022-10-21T17:04:11.000+00:00,2022-10-21T19:21:49.000+00:00,2022-10-21T21:08:39.000+00:00,2022-10-21T22:07:34.000+00:00,2022-10-21T23:14:19.000+00:00,2022-10-21T23:58:51.000+00:00,2022-10-22T00:48:58.000+00:00,2022-10-21T05:38:18.000+00:00
