checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m
Départ,0,0,0
Roscanvel,15219,283,229
Pointe des,19619,317,255
Fort du Pe,34279,593,584
Camaret,36359,647,611
Pointe du ,38099,702,657
Pointe de ,41267,769,716
Plage de G,50619,893,892
Pointe de ,53298,989,938
Cap de la ,63599,1279,1190
Port de Mo,73521,1613,1612
Le Ped Ret,88537,2003,1998
Arrivée,90821,2087,2001
