access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff
[],7,0,0,0,True,True,-21.01589,55.26093,Saint Paul,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Paul,SIMPLE,[],2025-10-18T06:38:00.000+04:00,2025-10-18T06:38:00.000+04:00,
[],406,5890,406,42,True,True,-21.01816,55.30249,Ecole  Bellemène,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Ecole  Bel,SIMPLE,[],2025-10-18T07:08:00.000+04:00,2025-10-18T07:43:00.000+04:00,2025-10-18T08:15:00.000+04:00
[],125,15380,604,49,True,True,-20.97239,55.32465,Ilet Savannah,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'AID_STATION_WITH_WARM_MEAL']",Ilet Savan,SIMPLE,[],2025-10-18T07:47:00.000+04:00,2025-10-18T09:15:00.000+04:00,2025-10-18T11:00:00.000+04:00
[],445,22280,1215,52,False,True,-20.96243,55.35695,Chemin Ratinaud,MTR,"['AID_STATION', 'DRINK_SUPPLY']",Ratinaud,SIMPLE,[],2025-10-18T08:36:00.000+04:00,2025-10-18T11:04:00.000+04:00,2025-10-18T13:00:00.000+04:00
[],4,30080,1368,54,True,True,-20.92716,55.33788,La possession,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Possession,SIMPLE,[],2025-10-18T09:12:00.000+04:00,2025-10-18T12:22:00.000+04:00,2025-10-18T15:00:00.000+04:00
[],10,37050,1703,56,True,True,-20.89583,55.37733,Grande Chaloupe,MTR,"['AID_STATION', 'DRINK_SUPPLY']",Chaloupe,SIMPLE,[],2025-10-18T09:54:00.000+04:00,2025-10-18T13:48:00.000+04:00,2025-10-18T17:00:00.000+04:00
[],684,50480,2865,60,True,True,-20.90835,55.42361,Le Colorado,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Colorado,SIMPLE,[],2025-10-18T11:43:00.000+04:00,2025-10-18T17:49:00.000+04:00,2025-10-18T19:00:00.000+04:00
[],347,58990,3139,62,False,True,-20.88485,55.43387,La Vigie,MTR,[],La Vigie,SIMPLE,[],2025-10-18T12:35:00.000+04:00,2025-10-18T19:35:00.000+04:00,
[],50,63330,3347,64,True,True,-20.8844,55.44357,St Denis La Redoute,MTR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",St Denis,SIMPLE,"[{'pointId': 64, 'live': 'x4xs96j', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-10-18T13:09:00.000+04:00,2025-10-18T20:37:00.000+04:00,2025-10-18T20:30:00.000+04:00
