year,bib,race_name,distance,elevationGain,gender,indexCategory,rank,time,race_year,countryCode
2025,7122,le grand raid de la réunion - la mascareignes,74100.0,4000,MALE,100K,171,13:29:27,2022,FR
2025,7124,mauritius by UTMB - le morne,21500.0,741,FEMALE,20K,207,04:24:46,2024,MU
2025,7126,grand raid des pyrénées - tour du bastan,51400.0,3046,MALE,50K,378,10:41:27,2025,FR
2025,7126,tiken trail - 28 kms,27700.0,630,MALE,20K,159,03:16:36,2025,FR
2025,7126,grand raid des pyrénées - tour du néouvielle,41000.0,2400,MALE,50K,444,08:01:27,2024,FR
2025,7126,la 6000d trail de légende - la 6 découverte,11000.0,600,MALE,,78,01:17:39,2024,FR
2025,7126,l'ultra marin raid golfe du morbihan - arvor 56 km,59400.0,600,MALE,50K,583,06:42:10,2024,FR
2025,7126,tiken trail - 28 kms,27700.0,630,MALE,20K,192,03:22:22,2024,FR
2025,7126,l'ultra marin raid golfe du morbihan - ronde des douaniers 34 km,33000.0,510,MALE,20K,344,03:08:58,2023,FR
2025,7127,trail des passerelles du monteynard - maratrail,40000.0,2150,MALE,50K,485,06:39:26,2025,FR
2025,7127,trail alsace grand est by UTMB - trail des pèlerins,34600.0,1370,MALE,20K,583,04:31:30,2025,FR
2025,7127,hivernale des templiers - marathon de l'orchis 35k,34800.0,1410,MALE,20K,447,05:04:07,2024,FR
2025,7127,ultra trail haut-koenigsbourg ® - thk 25 km,25000.0,920,MALE,20K,365,03:03:17,2024,FR
2025,7127,maxi-race du lac d'annecy - demi-tour du lac d'annecy : marathon expérience,29400.0,1607,MALE,20K,1114,04:47:44,2024,FR
2025,7127,trail des forts de besançon - 30km,30000.0,900,MALE,20K,284,03:09:44,2023,FR
2025,7127,marathon du mont-blanc - 23 km du mont-blanc,24400.0,1657,MALE,20K,677,04:07:03,2022,FR
2025,7128,les crêtes vosgiennes - les crêtes vosgiennes,32700.000000000004,1280,MALE,20K,238,03:55:12,2025,FR
2025,7128,foulées du souvenir - foulées du souvenir,27800.0,1232,MALE,20K,290,03:26:35,2024,FR
2025,7128,trail du val d’argent - trail du val d argent ,43000.0,2000,MALE,50K,94,05:59:03,2024,FR
2025,7128,les vosgirunners trails nature - grand dÉfi des vosges,42800.0,1500,MALE,50K,226,05:36:08,2024,FR
2025,7128,marathon du grand ballon - 42km,42000.0,2210,MALE,50K,168,05:33:06,2023,FR
2025,7128,tschirgant skyrun - ts26,26600.0,1920,MALE,20K,81,04:18:56,2023,AT
2025,7128,les vosgirunners trails nature - grand dÉfi des vosges,42800.0,1500,MALE,50K,166,05:14:51,2023,FR
2025,7128,les crêtes vosgiennes - les crêtes vosgiennes,33000.0,1220,MALE,20K,317,04:20:37,2022,FR
2025,7128,la champduf 2022 - trail du banc du centenaire,35000.0,1260,MALE,20K,39,05:08:52,2022,FR
2025,7128,les vosgirunners trails nature - la mac vi,25100.0,1310,MALE,20K,108,02:52:35,2022,FR
2025,7130,trail des combrailles - les 2 barrages,37000.0,1440,MALE,50K,91,04:58:36,2023,FR
2025,7130,grands trails d'auvergne  (sommet national du trail) - trail des druides,48900.0,1890,MALE,50K,142,06:27:20,2023,FR
2025,7131,le grand raid de la réunion - la diagonale des fous,167300.0,9710,MALE,100M,1810,61:00:34,2023,FR
2025,7131,le grand raid de la réunion - zembrocal trail relais2,38100.0,1300,MALE,50K,89,05:46:19,2021,FR
2025,7134,le grand raid de la réunion - metis trail,50000.0,2598,MALE,50K,383,13:37:25,2024,FR
2025,7134,raid 974 - semi-raid 974,57000.0,2800,MALE,50K,208,12:26:10,2024,FR
2025,7134,trail de minuit - trail de minuit,54200.0,3180,MALE,50K,785,13:49:06,2022,FR
2025,7135,raid 974 - semi-raid 974,57000.0,2800,FEMALE,50K,279,13:35:58,2024,FR
2025,7135,le grand raid de la réunion - zembrocal trail relais3,41400.0,2700,FEMALE,50K,133,11:10:36,2023,FR
2025,7137,l'infernal trail des vosges - it 15,14500.0,501,FEMALE,,689,02:14:43,2025,FR
2025,7137,le grand raid de la réunion - metis trail,50000.0,2598,FEMALE,50K,385,13:37:36,2024,FR
2025,7138,entrelacs run and trail - trail des hauts du lac,37000.0,1700,MALE,50K,282,05:25:03,2025,FR
2025,7138,trail des glières - ecureuil fou 41 km,41000.0,2300,MALE,50K,154,07:26:11,2024,FR
2025,7138,maxi-race du lac d'annecy - demi-tour du lac d'annecy : marathon expérience,29400.0,1607,MALE,20K,693,04:19:24,2024,FR
2025,7138,trail du laudon - trail de la bauche,25000.0,1100,MALE,20K,106,03:27:33,2024,FR
2025,7138,entrelacs run and trail - trail des hauts du lac,37000.0,1700,MALE,50K,269,05:29:31,2024,FR
2025,7141,la diagonale des yvelines - trail 20 km,22000.0,349,MALE,20K,186,02:20:12,2025,FR
2025,7144,hivernale des templiers - marathon de l'orchis 35k,34800.0,1410,MALE,20K,391,04:52:48,2024,FR
2025,7144,pibeste integral - integrale des mouflons,24000.0,1750,MALE,20K,262,04:40:17,2024,FR
2025,7144,ecotrail paris® - trail 30 km,30500.0,520,MALE,20K,398,02:49:27,2022,FR
2025,7146,le grand raid de la réunion - metis trail,50000.0,2598,MALE,50K,297,12:44:08,2024,FR
2025,7147,le grand raid de la réunion - la mascareignes,72000.0,4007,MALE,100K,672,18:08:18,2023,FR
2025,7147,le grand raid de la réunion - la diagonale des fous,160200.0,9377,MALE,100M,356,41:14:46,2021,FR
2025,7147,caldeira trail - ultra caldeira trail,71200.0,1880,MALE,50K,88,13:23:56,2020,FR
2025,7148,raid 974 - semi-raid 974,57000.0,2800,MALE,50K,369,15:45:38,2024,FR
2025,7148,caldeira trail - ultra caldeira trail,71200.0,1880,MALE,50K,321,19:18:40,2020,FR
2025,7149,senpereko trail - senpereko trail 21km,20900.0,1070,MALE,20K,657,03:23:46,2025,FR
2025,7150,ecotrail paris® - trail 30 km,31600.0,420,MALE,20K,1666,03:28:33,2025,FR
2025,7150,volvic volcanic expérience - ultra-trail terra volcana,80000.0,2700,MALE,100K,252,12:01:26,2023,FR
