checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Massebiau,96100,3975,3969,,96.1,3975,3969,5.5,36.0,420.0,90.6,6.545454545454546,76.36363636363636,0.0460244546523757,0.00836808266406831,2022
P7,8400,520,55,,8.4,520,55,8.4,520.0,55.0,0.0,61.904761904761905,6.5476190476190474,0.06920681416387427,0.00823890644808027,2022
Champignon,51000,2353,1919,,51.0,2353,1919,12.5,627.0,378.0,38.5,50.16,30.24,0.1254983763471879,0.010039870107775033,2022
la pouncho,102400,4534,4057,,102.4,4534,4057,3.1000000000000085,81.0,79.0,99.3,26.129032258064445,25.483870967741865,0.03374534910384722,0.010885596485111977,2022
Cresse,16900,603,535,21-07:15,16.9,603,535,8.499999999999998,83.0,480.0,8.4,9.764705882352944,56.47058823529413,0.03975175495047673,0.0046766770529972634,2022
Truel,38500,1726,1541,21-12:10,38.5,1726,1541,11.100000000000001,667.0,518.0,27.4,60.09009009009008,46.66666666666666,0.11348556465392892,0.010223924743597198,2022
St Andrée,60500,2648,2139,21-17:00,60.5,2648,2139,9.5,295.0,220.0,51.0,31.05263157894737,23.157894736842106,0.07573101361797192,0.007971685643997044,2022
Arrivée,105200,4547,4512,,105.2,4547,4512,2.799999999999997,13.0,455.0,102.4,4.642857142857148,162.50000000000017,0.03762140410832238,0.013436215752972294,2022
La Salvage,82000,3491,3120,21-21:15,82.0,3491,3120,10.5,589.0,258.0,71.5,56.095238095238095,24.571428571428573,0.11233162461442867,0.01069824996327892,2022
La Roque,71500,2902,2862,21-19:15,71.5,2902,2862,11.0,254.0,723.0,60.5,23.09090909090909,65.72727272727273,0.11033442069990902,0.010030401881809911,2022
Rozier,27400,1059,1023,21-09:40,27.4,1059,1023,10.5,456.0,488.0,16.9,43.42857142857143,46.476190476190474,0.08901611817529531,0.008477725540504315,2022
Cade,99300,4453,3978,22-01:30,99.3,4453,3978,3.200000000000003,478.0,9.0,96.1,149.37499999999986,2.8124999999999973,0.054360931732611424,0.016987791166441054,2022
Mas de Bru,90600,3939,3549,21-23:20,90.6,3939,3549,8.599999999999994,448.0,429.0,82.0,52.09302325581399,49.88372093023259,0.09289217317977053,0.010801415486019835,2022
