checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Massebiau,90400,3683,3677,,90.4,3683,3677,5.400000000000006,24.0,407.0,85.0,4.44444444444444,75.3703703703703,0.045284218654191195,0.008385966417442806,2024
Roquesalte,64400,2766,2287,,64.4,2766,2287,7.500000000000007,257.0,287.0,56.9,34.26666666666664,38.26666666666663,0.07846387936320484,0.010461850581760636,2024
Cresse,17100,601,534,3.131666666666667,17.1,601,534,8.8,81.0,481.0,8.3,9.204545454545453,54.65909090909091,0.06383848477278403,0.007254373269634549,2024
MASSABIAU,45100,2253,1716,,45.1,2253,1716,5.899999999999999,466.0,114.0,39.2,78.98305084745765,19.32203389830509,0.0967002021211364,0.01638986476629431,2024
Truel,39200,1787,1602,8.131666666666666,39.2,1787,1602,11.500000000000004,753.0,604.0,27.7,65.47826086956519,52.52173913043477,0.0955419798787273,0.00830799825032411,2024
St Andrée,56900,2509,2000,12.215,56.9,2509,2000,11.799999999999997,256.0,284.0,45.1,21.694915254237294,24.0677966101695,0.09662071628097106,0.008188196294997549,2024
la pouncho,96800,4249,3772,,96.8,4249,3772,3.0999999999999943,75.0,73.0,93.7,24.19354838709682,23.54838709677424,0.031226580064951295,0.010073090343532693,2024
Arrivée,99600,4262,4227,,99.6,4262,4227,2.799999999999997,13.0,455.0,96.8,4.642857142857148,162.50000000000017,0.03488292871255656,0.01245818882591307,2024
La Salvage,76700,3269,2897,16.715,76.7,3269,2897,8.400000000000006,499.0,167.0,68.3,59.40476190476186,19.88095238095237,0.09161310835055533,0.010906322422685152,2024
La Roque,68300,2770,2730,14.798333333333334,68.3,2770,2730,3.8999999999999915,4.0,443.0,64.4,1.025641025641028,113.58974358974383,0.036586196716099265,0.009381076081051114,2024
Rozier,27700,1034,998,5.298333333333333,27.7,1034,998,10.599999999999998,433.0,464.0,17.1,40.84905660377359,43.773584905660385,0.09597347443962481,0.009054101362228758,2024
P10,8300,520,53,,8.3,520,53,8.3,520.0,53.0,0.0,62.65060240963855,6.385542168674698,0.06967501646492401,0.008394580296978796,2024
Cade,93700,4174,3699,21.29833333333333,93.7,4174,3699,3.299999999999997,491.0,22.0,90.4,148.78787878787892,6.666666666666672,0.0584902232416596,0.017724310073230196,2024
Mas de Bru,85000,3659,3270,18.79833333333333,85.0,3659,3270,8.299999999999997,390.0,373.0,76.7,46.98795180722893,44.93975903614459,0.10510299093861421,0.012663010956459548,2024
