bib,name,segment_time,rank,sex,year,secteur,end_checkpoint,start_checkpoint,filtrer_valeur_aberrante
2290,Aline COQUARD,05:51:40,10,FEMALE,2024,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
2329,Angelique Victoria LESPORT,05:57:30,11,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
921,Marie DOHIN,05:58:16,12,FEMALE,2025,Départ → Nez de Bœuf,Nez boeuf,St Pierre,False
1551,Yannick NOËL,01:53:18,1,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2728,Baptiste CHASSAGNE,01:57:54,2,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2893,Jean - Philippe TSCHUMI,02:01:16,3,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1820,Jean - Philippe TSCHUMI,02:01:54,4,MALE,2022,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1328,Aurélien DUNAND-PALLAZ,02:02:10,5,MALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
317,Mathieu BLANCHARD,02:04:25,6,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2125,Jean-Marie THEVENARD,02:05:10,7,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
926,Ben DHIMAN,02:05:18,8,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2845,Martin KERN,02:07:56,9,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1989,Maxime CAZAJOUS,02:08:19,10,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2199,Vincent ESMIOL,02:08:53,11,MALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2605,Aurelien DUNAND-PALLAZ,02:09:28,12,MALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1950,Courtney DAUWALTER,02:09:39,1,FEMALE,2022,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
299,Blandine L HIRONDEL,02:15:07,2,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2628,Katie SCHIDE,02:17:03,3,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2460,Camille BRUYAS,02:18:48,4,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2220,Anne-Lise ROUSSET SEGURET,02:22:02,5,FEMALE,2022,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2693,Emilie MAROTEAUX,02:27:48,6,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2428,Sarah VIEUILLE,02:30:27,7,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2085,Manon BOHARD,02:31:11,8,FEMALE,2024,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
111,Eva SPERGER,02:32:42,9,FEMALE,2023,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2314,Manon CAMPANO,02:32:42,10,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
2037,Anne CHAMPAGNE,02:33:05,11,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1692,Maud COMBARIEU,02:33:35,12,FEMALE,2025,Mare à boue → Croisée Kerveguen,Croisée,Mare Boue,False
1502,Jean-François CAUCHON,00:35:10,1,MALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
299,Blandine L HIRONDEL,00:36:06,1,FEMALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2618,Diego PAZOS,00:36:11,2,MALE,2024,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1820,Jean - Philippe TSCHUMI,00:36:27,3,MALE,2022,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2847,Beñat MARMISSOLLE,00:36:36,4,MALE,2022,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2605,Aurelien DUNAND-PALLAZ,00:36:39,5,MALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1003,Jérôme VANDERSCHAEGHE,00:36:46,6,MALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1989,Maxime CAZAJOUS,00:36:47,7,MALE,2024,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2732,Ludovic POMMERET,00:36:48,8,MALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1328,Aurélien DUNAND-PALLAZ,00:36:55,9,MALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2664,Flo GAY-HUGUES,00:37:01,10,MALE,2022,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
926,Ben DHIMAN,00:37:04,11,MALE,2024,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2893,Jean - Philippe TSCHUMI,00:37:13,12,MALE,2024,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2693,Emilie MAROTEAUX,00:41:51,2,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2220,Anne-Lise ROUSSET SEGURET,00:42:51,3,FEMALE,2022,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2628,Katie SCHIDE,00:44:00,4,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
833,Zélie PIGNON,00:44:53,5,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
111,Eva SPERGER,00:45:10,6,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2460,Camille BRUYAS,00:45:53,7,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1034,Laure DE JACQUELOT,00:46:01,8,FEMALE,2023,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2085,Manon BOHARD,00:46:21,9,FEMALE,2024,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2518,Zélie PIGNON,00:46:50,10,FEMALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
1950,Courtney DAUWALTER,00:47:00,11,FEMALE,2022,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2428,Sarah VIEUILLE,00:47:04,12,FEMALE,2025,Croisée Kerveguen → Le bloc,Le Bloc,Croisée,False
2728,Baptiste CHASSAGNE,01:06:10,1,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
2893,Jean - Philippe TSCHUMI,01:08:12,2,MALE,2024,Taïbit → Marla,Marla,Sentier T,False
317,Mathieu BLANCHARD,01:09:32,3,MALE,2024,Taïbit → Marla,Marla,Sentier T,False
926,Ben DHIMAN,01:12:01,4,MALE,2024,Taïbit → Marla,Marla,Sentier T,False
2605,Aurelien DUNAND-PALLAZ,01:14:54,5,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
1551,Yannick NOËL,01:15:09,6,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
1003,Jérôme VANDERSCHAEGHE,01:15:15,7,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
2732,Ludovic POMMERET,01:19:05,8,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
1961,Fabrice PAYET,01:19:19,9,MALE,2025,Taïbit → Marla,Marla,Sentier T,False
299,Blandine L HIRONDEL,01:19:21,1,FEMALE,2025,Taïbit → Marla,Marla,Sentier T,False
2618,Diego PAZOS,01:19:49,10,MALE,2024,Taïbit → Marla,Marla,Sentier T,False
