cp_id,access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners,cutoff,distCP,D+CP,D-CP,pente_min,pente_max,pente_moy,distCum,D+Cum,R,T1,F,T,T2,T3,S,T4,D1,D2,D3,D4,M1,M2,M3,M4,D-Cum,D1_pct,D2_pct,D3_pct,D4_pct,M1_pct,M2_pct,M3_pct,M4_pct,R_pct,T1_pct,F_pct,T_pct,T2_pct,T3_pct,S_pct,T4_pct
10,[],1955,78730,4845,13,False,True,45.79061,6.93101,Checrouit - Maison Vieille,utmb,['DRINK_SUPPLY'],Checrouit ,SIMPLE,[],2025-08-30T01:47:00.000+02:00,2025-08-30T12:05:00.000+02:00,,4594,19,445,,,,78725,4812,0.0,0.0,325.0,0.0,4279.0,0.0,0.0,0.0,1345.0,611.0,1616.0,716.0,234.0,0.0,82.0,0.0,3909.0,29.27731824118415,13.299956464954288,35.17631693513278,15.585546364823683,5.093600348280366,0.0,1.784936874183718,0.0,0.0,0.0,7.074444928167174,0.0,93.1432303003918,0.0,0.0,0.0
11,[],1191,83650,4862,14,True,True,45.79417,6.96496,Courmayeur - Mountain Sport Center Entrée,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Courmayeur,SIMPLE,[],2025-08-30T02:08:00.000+02:00,2025-08-30T12:55:00.000+02:00,,4930,18,782,,,,83655,4830,1307.0,0.0,1250.0,667.0,1711.0,0.0,0.0,0.0,1030.0,774.0,788.0,1840.0,424.0,0.0,57.0,22.0,4691.0,20.892494929006087,15.699797160243408,15.983772819472616,37.32251521298174,8.600405679513184,0.0,1.156186612576065,0.4462474645030426,26.511156186612578,0.0,25.354969574036513,13.529411764705882,34.705882352941174,0.0,0.0,0.0
12,[],1191,83650,4862,15,False,True,45.79417,6.96496,Courmayeur - Mountain Sport Center Sortie,utmb,[],Courmayeur,SIMPLE,[],2025-08-30T02:08:00.000+02:00,2025-08-30T12:55:00.000+02:00,2025-08-30T13:15:00.000+02:00,0,0,0,,,,83655,4830,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4691.0,,,,,inf,,,,inf,,,,,,,
13,[],1987,89080,5670,18,False,False,45.80916,6.97861,Refuge Bertone,utmb,['DRINK_SUPPLY'],Bertone,SIMPLE,"[{'pointId': 18, 'live': 'x8d2z6h', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T03:10:00.000+02:00,2025-08-30T15:24:00.000+02:00,,5429,857,0,,,,89084,5687,2079.0,0.0,743.0,0.0,2593.0,0.0,30.0,0.0,50.0,0.0,0.0,0.0,159.0,1413.0,2223.0,1600.0,4691.0,0.9209799226376865,0.0,0.0,0.0,2.928716153987843,26.02689261374102,40.94676736047154,29.471357524405967,38.294345183275006,0.0,13.685761650396023,0.0,47.76201878799042,0.0,0.5525879535826119,0.0
14,[],2026,96670,5985,19,False,False,45.84676,7.03325,Refuge Bonatti,utmb,[],Bonatti,SIMPLE,[],2025-08-30T04:02:00.000+02:00,2025-08-30T17:26:00.000+02:00,,7586,274,275,,,,96670,5961,0.0,974.0,0.0,0.0,6613.0,0.0,0.0,11.0,1610.0,1167.0,1082.0,95.0,2047.0,627.0,663.0,307.0,4966.0,21.223306090166094,15.383601370946481,14.263116266807277,1.2523068810967573,26.983917743211176,8.265225415238596,8.73978381228579,4.0469285525968886,0.0,12.8394410756657,0.0,0.0,87.17374110203005,0.0,0.0,0.14500395465330873
15,[],1776,101940,6111,20,False,True,45.8714,7.05398,Arnouvaz,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Arnouvaz,SIMPLE,[],2025-08-30T04:30:00.000+02:00,2025-08-30T18:34:00.000+02:00,2025-08-30T18:15:00.000+02:00,5265,110,366,,,,101935,6071,0.0,0.0,129.0,158.0,4982.0,0.0,0.0,0.0,1134.0,781.0,902.0,660.0,1049.0,485.0,232.0,26.0,5332.0,21.53846153846154,14.833808167141502,17.132003798670464,12.535612535612536,19.92402659069326,9.211775878442545,4.406457739791073,0.49382716049382713,0.0,0.0,2.45014245014245,3.0009496676163345,94.62488129154795,0.0,0.0,0.0
16,[],2537,106540,6879,22,False,False,45.88902,7.07787,Grand Col Ferret,utmb,[],Col Ferret,SIMPLE,"[{'pointId': 22, 'live': 'x5nomga', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T05:26:00.000+02:00,2025-08-30T20:50:00.000+02:00,,4611,754,43,,,,106546,6825,0.0,0.0,0.0,12.0,4602.0,0.0,0.0,0.0,0.0,83.0,302.0,23.0,370.0,769.0,991.0,2076.0,5375.0,0.0,1.8000433745391458,6.549555410973758,0.49880720017349817,8.024289741921493,16.677510301453047,21.49208414660594,45.0227716330514,0.0,0.0,0.0,0.2602472348731295,99.80481457384516,0.0,0.0,0.0
17,[],1602,116520,6960,24,False,True,45.93568,7.09842,La Fouly,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Fouly,SIMPLE,"[{'pointId': 24, 'live': 'x4xs90b', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T06:15:00.000+02:00,2025-08-30T22:51:00.000+02:00,2025-08-30T22:30:00.000+02:00,9979,65,985,,,,116525,6890,1427.0,0.0,1122.0,762.0,6645.0,37.0,0.0,0.0,2490.0,2526.0,2825.0,1563.0,109.0,151.0,299.0,30.0,6360.0,24.95240004008418,25.313157631025152,28.309449844673818,15.662892073354042,1.092293817015733,1.5131776731135385,2.9962922136486623,0.3006313257841467,14.30003006313258,0.0,11.243611584327088,7.636035674917327,66.5898386611885,0.37077863513378095,0.0,0.0
18,[],1479,130340,7483,27,True,True,46.02572,7.12241,Champex-Lac,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Champex,DOUBLE,"[{'pointId': 27, 'live': 'x97fsio', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T07:43:00.000+02:00,2025-08-31T02:30:00.000+02:00,2025-08-31T02:30:00.000+02:00,13820,512,606,,,,130345,7402,2545.0,1014.0,3885.0,0.0,6391.0,0.0,0.0,0.0,4607.0,2334.0,1733.0,500.0,1616.0,681.0,1652.0,712.0,6966.0,33.33574529667149,16.888567293777136,12.539797395079594,3.61794500723589,11.693198263386396,4.927641099855283,11.95369030390738,5.151953690303907,18.415340086830682,7.337192474674385,28.111432706222867,0.0,46.24457308248915,0.0,0.0,0.0
19,[],1883,141690,8280,30,False,False,46.05578,7.03402,La Giète,utmb,[],La Giète,SIMPLE,[],2025-08-30T09:13:00.000+02:00,2025-08-31T06:11:00.000+02:00,,11354,796,425,,,,141699,8198,1429.0,0.0,3741.0,2607.0,3605.0,0.0,0.0,0.0,1091.0,1361.0,1168.0,562.0,2751.0,1652.0,1509.0,1288.0,7391.0,9.608948388233223,11.98696494627444,10.287123480711644,4.94979742821913,24.229346485819974,14.549938347718866,13.29047031883037,11.344019728729963,12.58587282015149,0.0,32.94874053197111,22.961070988197992,31.750924784217016,0.0,0.0,0.0
20,[],1307,146910,8346,31,True,True,46.0556,6.99488,Trient,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Trient,DOUBLE,"[{'pointId': 31, 'live': 'x8d2z6v', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T09:41:00.000+02:00,2025-08-31T07:19:00.000+02:00,2025-08-31T08:00:00.000+02:00,5200,65,619,,,,146899,8263,829.0,0.0,668.0,334.0,3374.0,0.0,16.0,0.0,1029.0,768.0,1481.0,1202.0,397.0,159.0,83.0,102.0,8010.0,19.788461538461537,14.76923076923077,28.480769230769234,23.115384615384617,7.634615384615384,3.057692307692308,1.596153846153846,1.9615384615384615,15.942307692307692,0.0,12.846153846153847,6.423076923076923,64.88461538461539,0.0,0.3076923076923077,0.0
21,[],1943,150910,9001,33,False,False,46.04748,6.97957,Les Tseppes,utmb,[],Tseppes,SIMPLE,[],2025-08-30T10:30:00.000+02:00,2025-08-31T09:13:00.000+02:00,,4013,736,0,,,,150912,8999,403.0,0.0,749.0,0.0,2878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,320.0,856.0,1802.0,8010.0,0.0,0.0,0.0,0.0,26.214801893845003,7.974084226264639,21.330675305257913,44.90406179915276,10.04236232245203,0.0,18.66434089210067,0.0,71.71692000996761,0.0,0.0,0.0
22,[],1265,159060,9175,34,True,True,46.03221,6.93221,Vallorcine Entrée,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Vallorcine,SIMPLE,"[{'pointId': 34, 'live': 'x91cg54', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T11:19:00.000+02:00,2025-08-31T11:05:00.000+02:00,,8142,76,825,,,,159054,9075,479.0,250.0,973.0,876.0,5574.0,0.0,0.0,0.0,1129.0,909.0,1163.0,2241.0,2466.0,85.0,159.0,0.0,8835.0,13.866371898796364,11.164333087693441,14.283959715057726,27.523949889462045,30.287398673544587,1.043969540653402,1.9528371407516583,0.0,5.883075411446819,3.0704986489805948,11.950380741832474,10.759027266028003,68.45983787767133,0.0,0.0,0.0
23,[],1265,159060,9175,35,False,True,46.03221,6.93221,Vallorcine Sortie,utmb,[],Vallorcine,SIMPLE,[],2025-08-30T11:19:00.000+02:00,2025-08-31T11:05:00.000+02:00,2025-08-31T11:15:00.000+02:00,0,0,0,,,,159054,9075,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8835.0,,,,,,inf,,,,,,inf,,,,
24,[],1899,170350,10122,44,False,True,45.96065,6.88669,La Flégère,utmb,"['EMERGENCY', 'DRINK_SUPPLY']",La Flégère,SIMPLE,"[{'pointId': 44, 'live': 'x91cf5s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2025-08-30T12:58:00.000+02:00,2025-08-31T14:59:00.000+02:00,2025-08-31T14:45:00.000+02:00,11299,927,443,,,,170353,10002,689.0,3076.0,1481.0,323.0,5739.0,0.0,0.0,0.0,755.0,373.0,853.0,996.0,1876.0,2929.0,2156.0,1370.0,9278.0,6.682007257279405,3.3011770953181694,7.549340649615011,8.814939375165944,16.60323922471015,25.922648021948845,19.08133463138331,12.124966811222231,6.09788476856359,27.223648110452253,13.107354633153376,2.858660058412249,50.7921054960616,0.0,0.0,0.0
25,[],1044,177440,10131,144,False,True,45.92361,6.86913,Chamonix,utmb,"['AID_STATION', 'EMERGENCY', 'BUS_STOP', 'AID_STATION_WITH_WARM_MEAL']",Chamonix,SIMPLE,"[{'pointId': 144, 'live': 'x3h1emu', 'provider': 'DAILYMOTION', 'view': 'ALTERNATE_A'}, {'pointId': 144, 'live': 'x4xs934', 'provider': 'DAILYMOTION', 'view': 'MAIN'}, {'pointId': 144, 'live': 'x8d9v0p', 'provider': 'DAILYMOTION', 'view': 'ALTERNATE_C'}]",2025-08-30T13:34:00.000+02:00,2025-08-31T16:15:00.000+02:00,2025-08-31T16:30:00.000+02:00,6344,0,725,,,,176697,10002,1196.0,15.0,2159.0,143.0,2847.0,0.0,0.0,0.0,1360.0,1198.0,2857.0,945.0,0.0,0.0,0.0,0.0,10003.0,21.437578814627994,18.883984867591426,45.03467843631778,14.89596469104666,0.0,0.0,0.0,0.0,18.852459016393443,0.23644388398486757,34.03215636822195,2.2540983606557377,44.87704918032787,0.0,0.0,0.0
