lat,lon,altitude_gpx,altitude,dist_2d_m,dist_3d_m,distance_cum_2d,distance_cum_3d,pente,distance_cum_2d_calib,distance
-21.33975,55.45966,2.0,2.3590850849873015,0.0,0.0,0.0,0.0,1.0577045068984163,0.0,0.0
-21.33996,55.45988,3.0,2.7041712575473094,32.62595274099087,32.6277776859513,32.62595274099087,32.6277776859513,0.6673505523753268,32.62206922099069,32.62389394872497
-21.34029,55.46028,3.0,2.9461427032039103,55.342449491849386,55.342978470068026,87.96840223284025,87.97075615601932,0.43913769040521755,87.95793121143691,87.9602848544247
-21.34043,55.46046,3.0,3.0538572967960897,24.287709086910965,24.287947939751728,112.25611131975121,112.25870409577105,0.6058331617027345,112.2427492929956,112.2453417603931
-21.34058,55.46074,3.0,3.295962573077305,33.4542390247115,33.45511506014189,145.7103503444627,145.71381915591294,1.0140846596114328,145.69300620544897,145.69647460400094
-21.34067,55.46096,4.0,3.645480607257345,24.88638420175043,24.88883849225091,170.59673454621316,170.60265764816384,1.0662933921612123,170.57642814057849,170.58235053749277
-21.34074,55.46106,4.0,3.699471734678049,12.955842390584808,12.955954889220417,183.55257693679798,183.55861253738425,-0.18492014633518822,183.53072837625854,183.5367632584175
-21.34074,55.46119,3.0,3.5966246690238712,13.464176845673443,13.464569642230773,197.01675378247143,197.02318217961502,0.1373289953900682,196.99330255915362,196.9997301911147
-21.34087,55.46147,4.0,3.7624604159634307,32.40281657874442,32.40324094486101,229.41957036121585,229.42642312447603,0.5569251243930691,229.39226217815667,229.39911412572135
-21.34102,55.46183,4.0,4.004565692244646,40.84599288470803,40.846710390218966,270.2655632459239,270.273133514695,0.5544022595418281,270.2333930981719,270.24096246584173
-21.34122,55.46232,4.0,4.29609640370192,55.40830235923622,55.4090692981597,325.67386560516013,325.6822028128547,0.770450444129925,325.63510011743153,325.6434363327348
-21.34134,55.46263,5.0,4.699337904053435,34.76910192448764,34.77144018218136,360.4429675296478,360.4536429950361,0.9040304308733814,360.4000634194004,360.41073761407074
-21.34148,55.46295,5.0,4.94144318033465,36.6164128318311,36.61721321504257,397.0593803614789,397.07085621007866,0.3917623605563885,397.0121177403032,397.02359222291415
-21.34163,55.46329,5.0,4.995434307755354,38.96420274374323,38.964240150391326,436.0235831052221,436.03509636047,0.07054661266275737,435.97168251188214,435.9831943966886
-21.3418,55.46367,5.0,4.999732338750771,43.66082518604301,43.66082539759502,479.6844082912651,479.695921758065,0.0,479.6273106791842,479.63882277551755
-21.34209,55.4643,5.0,4.995434307755354,72.78229383168271,72.78229395858907,552.4667021229478,552.4782157166541,-0.05304248270964929,552.4009411165441,552.4124533397686
-21.34222,55.46463,5.0,4.94144318033465,37.10916568990867,37.109204966462634,589.5758678128565,589.5874206831166,-0.3581093648877551,589.5056896423537,589.517241137457
-21.34239,55.46503,5.0,4.699471734678049,45.53669674657654,45.537339632110566,635.112564559433,635.1247603152273,-0.76662793093336,635.0369660821591,635.0491603862727
-21.34252,55.46537,4.0,4.300528265321951,38.06512483490338,38.06721535111966,673.1776893943364,673.1919756663469,-0.7666286380288165,673.0975599635979,673.1118445350903
-21.34269,55.46577,4.0,4.05855681966535,45.53661963692368,45.537262523546325,718.7143090312601,718.7292381898933,-0.3030376933184508,718.6287593029289,718.6436866845202
-21.3429,55.46622,4.0,4.004565692244646,52.1286476228456,52.12867558291354,770.8429566541057,770.8579137728068,-0.06831482593162615,770.7512019684133,770.7661573067444
-21.34301,55.46652,4.0,4.000133830624614,33.391571808305734,33.39157210241284,804.2345284624114,804.2494858752196,-0.0057846245385877,804.1387991238412,804.1537547562443
-21.34318,55.46692,4.0,4.0,45.536493689972666,45.53649369016933,849.771022152384,849.785979565389,-0.00015925116559779008,849.6698725312128,849.6848281638127
