dist_total;latitude;longitude;elevation
0.0;45.923645;6.869082;1054.6
0.003978067334164086;45.923629;6.869128;1054.6
0.008252089028086992;45.923616;6.86918;1054.6
0.0145269211496727;45.92359;6.869252;1054.6
0.021799470492842872;45.923558;6.869334;1054.4
0.02867102336221262;45.923526;6.86941;1054.4
0.03496471532652658;45.923501;6.869483;1054.4
0.04034704627003259;45.923482;6.869547;1054.2
0.04584463726743845;45.923462;6.869612;1054.2
0.04997340588423093;45.92344;6.869655;1054.2
0.053857262540840854;45.923418;6.869694;1054.0
0.05826978011690678;45.923382;6.869718;1054.0
0.06267269918436137;45.923344;6.869734;1054.0
0.06769794714205028;45.923299;6.86974;1054.0
0.07305544286032539;45.923251;6.869734;1053.8
0.07780028038839698;45.92321;6.869717;1053.8
0.08231533644562028;45.923174;6.86969;1053.8
0.08644118711842289;45.923142;6.869663;1054.0
0.09112077707146445;45.923104;6.869637;1054.0
0.09569198428456112;45.923069;6.869606;1053.8
0.09962009918433015;45.92304;6.869577;1053.4
0.10472350970780278;45.923002;6.86954;1053.4
0.10954171352811229;45.92297;6.869498;1053.2
0.11437358871056441;45.922947;6.869445;1053.2
0.11878052327389554;45.922928;6.869395;1053.2
0.12270514780112712;45.922922;6.869345;1053.2
0.12682220486030613;45.922906;6.869297;1053.2
0.130662570915524;45.92289;6.869253;1053.0
0.13467674292441104;45.922867;6.869213;1053.0
0.13905585091351869;45.922835;6.86918;1053.2
0.14343495976081763;45.922803;6.869147;1053.2
0.1479269561060686;45.922768;6.869118;1053.2
0.15226143542650053;45.922736;6.869086;1053.2
0.15642254270336947;45.922707;6.869052;1053.4
0.16111963940770133;45.922672;6.869018;1053.6
0.1656424646456658;45.922643;6.868977;1053.6
0.17047331669081683;45.922608;6.86894;1053.6
0.1775223662207788;45.922555;6.86889;1053.6
0.1798700912108042;45.922538;6.868872;1053.4
0.18384289709292773;45.922509;6.868842;1053.6
0.18858374110869122;45.922474;6.868807;1053.6
0.1924404103853981;45.922448;6.868774;1053.6
0.19685614683524863;45.922419;6.868735;1053.6
0.200578300367566;45.922394;6.868703;1053.6
0.20488983239503084;45.922365;6.868666;1053.6
0.20895494378563959;45.922336;6.868634;1053.6
0.21414671097749405;45.922298;6.868595;1053.4
0.21825938055196425;45.922269;6.868562;1053.4
0.2229242981982989;45.922237;6.868523;1053.6
0.22643008668272846;45.922214;6.868492;1053.8
0.23130717565132325;45.922179;6.868454;1053.6
0.23524188113240282;45.922154;6.868418;1053.8
0.24011818802463641;45.922118;6.868382;1053.6
0.24384035048720917;45.922093;6.86835;1053.6
0.24837148381491395;45.922058;6.86832;1053.6
0.2524395663805599;45.922032;6.868283;1053.6
0.25705484821125635;45.922;6.868245;1053.6
0.26147060130224925;45.921971;6.868206;1053.6
0.26555786462999287;45.921939;6.86818;1053.8
0.26980547227430607;45.921904;6.868158;1053.8
0.2737782936444407;45.921875;6.868128;1053.8
0.2779438580764453;45.921843;6.8681;1054.0
0.28191668093796457;45.921814;6.86807;1054.0
0.28556549292520883;45.921792;6.868035;1054.0
0.2900575096830911;45.921757;6.868006;1054.2
0.294628747434302;45.921722;6.867975;1054.2
0.2989632534051836;45.92169;6.867943;1054.2
0.3035146324754574;45.921654;6.867915;1054.4
0.30739774878910625;45.921626;6.867885;1054.4
0.31110493800588956;45.9216;6.867855;1054.4
0.3156360818932131;45.921565;6.867825;1054.4
0.319520578020305;45.921536;6.867797;1054.2
0.3239916664811727;45.921504;6.867762;1054.2
0.3280101700211345;45.921475;6.867731;1054.2
0.33250219317882;45.92144;6.867702;1054.2
0.33656732969752934;45.921411;6.86767;1054.6
0.3410984776339428;45.921376;6.86764;1054.8
0.3456296263206451;45.921341;6.86761;1054.8
0.3502419200162262;45.921306;6.867578;1054.8
0.3541264217806824;45.921277;6.86755;1054.8
0.3581398348312897;45.921245;6.867526;1055.0
0.36205132182846206;45.921213;6.867505;1054.8
0.36894045374868356;45.921158;6.867464;1055.0
0.37124807748335825;45.921139;6.867452;1054.8
0.37558259830688573;45.921107;6.86742;1054.8
0.3798306724221169;45.921075;6.86739;1054.6
0.38433038767483646;45.921037;6.86737;1054.6
0.3888615436217915;45.921002;6.86734;1054.8
0.3932862374570097;45.92097;6.867306;1055.0
0.3977573426409313;45.920938;6.867271;1055.0
0.40191850378543764;45.920909;6.867237;1055.2
0.4060796657988504;45.92088;6.867203;1055.0
0.4102452504264936;45.920848;6.867175;1055.2
0.41421809759591544;45.920819;6.867145;1055.0
0.4185296835548059;45.92079;6.867108;1055.2
0.4227067903844548;45.920762;6.867072;1055.2
0.42753938077049486;45.920726;6.867037;1055.2
0.43239779747339374;45.920688;6.867006;1055.2
0.43619822367466005;45.920659;6.86698;1055.0
0.44089537473502344;45.920624;6.866946;1055.0
0.445387415074813;45.920589;6.866917;1055.0
0.450311563217525;45.920554;6.866878;1055.0
0.45452205274309115;45.920525;6.866843;1055.0
0.4591763372074066;45.92049;6.86681;1054.8
0.46313716125331594;45.920464;6.866775;1054.8
0.46796807989172273;45.920429;6.866738;1054.6
0.4720808028369323;45.9204;6.866705;1054.8
0.4765519248626066;45.920368;6.86667;1054.6
0.4804086582700864;45.920342;6.866637;1054.4
0.48483337069978616;45.92031;6.866603;1054.4
0.4893254173799161;45.920275;6.866574;1054.4
0.4934865983876439;45.920246;6.86654;1054.6
0.49777743756034654;45.920214;6.866509;1054.6
0.5022021535969576;45.920182;6.866475;1054.6
0.5067686217132558;45.92015;6.866438;1054.8
0.5109457499576089;45.920122;6.866402;1054.6
