checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m
,0,0,0
Plomodiern,12475,338,352
Kergaoc,26457,783,646
Menez Hom,29228,959,646
Tregarvan,38628,1024,1017
Landévenne,53472,1344,1350
Espace Nau,75214,1785,1793
Espace Nau,75214,1785,1793
Roscanvel,91365,2121,2080
Camaret,112634,2537,2509
Pointe du ,114304,2593,2556
Plage de G,126879,2866,2869
Cap de la ,139910,3288,3208
Port de Mo,149955,3705,3714
Estuaire d,158178,3943,3954
Arrivée,166076,4365,4366
