access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],92,0,0,0,False,True,48.23174,-4.35674,Départ,grandr,[],,SIMPLE,[],2024-09-13T17:02:45.000+02:00,2024-09-13T17:02:45.000+02:00
[],11,2300,0,2,False,True,48.21726,-4.37408,Le Ped,grandr,[],Le Ped,SIMPLE,[],2024-09-13T17:09:45.000+02:00,2024-09-13T17:17:45.000+02:00
[],19,3380,11,4,False,True,48.2093,-4.3689,Pen Trez,grandr,[],Pen Trez,SIMPLE,[],2024-09-13T17:13:45.000+02:00,2024-09-13T17:25:45.000+02:00
[],13,10800,146,6,False,True,48.19653,-4.30415,Route des Falaises,grandr,[],Route des ,SIMPLE,[],2024-09-13T17:40:45.000+02:00,2024-09-13T18:22:45.000+02:00
[],114,15980,287,8,False,True,48.21927,-4.26073,Coaterel,grandr,[],Coaterel,SIMPLE,[],2024-09-13T18:00:45.000+02:00,2024-09-13T19:06:45.000+02:00
[],152,25040,522,10,False,True,48.20683,-4.22672,Kergoac,grandr,[],Kergoac,SIMPLE,[],2024-09-13T18:40:45.000+02:00,2024-09-13T20:28:45.000+02:00
[],326,27820,693,12,False,True,48.22001,-4.23397,Menez Hom,grandr,[],Menez Hom,SIMPLE,[],2024-09-13T18:57:45.000+02:00,2024-09-13T21:01:45.000+02:00
[],35,32430,693,14,False,True,48.22511,-4.19815,Cosquer,grandr,[],Cosquer,SIMPLE,[],2024-09-13T19:14:45.000+02:00,2024-09-13T21:39:45.000+02:00
[],14,36940,747,16,False,True,48.25052,-4.22748,Tregarvan,grandr,[],Tregarvan,SIMPLE,[],2024-09-13T19:33:45.000+02:00,2024-09-13T22:20:45.000+02:00
[],12,44240,884,18,False,True,48.26778,-4.26492,Argol,grandr,[],Argol,SIMPLE,[],2024-09-13T20:07:45.000+02:00,2024-09-13T23:37:45.000+02:00
[],10,51950,1057,20,False,True,48.2943,-4.26883,Landévennec,grandr,[],Landévenne,SIMPLE,[],2024-09-13T20:44:45.000+02:00,2024-09-14T00:59:45.000+02:00
[],71,60410,1268,22,False,True,48.27944,-4.35072,Lomergat,grandr,[],Lomergat,SIMPLE,[],2024-09-13T21:31:45.000+02:00,2024-09-14T02:30:45.000+02:00
[],57,70130,1442,24,False,True,48.2707,-4.45344,Kergoff,grandr,[],Kergoff,SIMPLE,[],2024-09-13T22:24:45.000+02:00,2024-09-14T04:12:45.000+02:00
[],13,73850,1496,26,False,True,48.29223,-4.45244,Espace Nautique - Lanvéoc,grandr,[],Espace Nau,SIMPLE,[],2024-09-13T22:45:45.000+02:00,2024-09-14T04:55:45.000+02:00
[],60,88880,1758,30,False,True,48.31301,-4.5582,Roscanvel,grandr,[],Roscanvel,SIMPLE,[],2024-09-14T00:05:45.000+02:00,2024-09-14T07:51:45.000+02:00
[],67,93280,1791,32,False,True,48.34098,-4.53393,Pointe des Espagnols,grandr,[],Pointe des,SIMPLE,[],2024-09-14T00:30:45.000+02:00,2024-09-14T08:44:45.000+02:00
[],14,107950,2042,34,False,True,48.28226,-4.60102,Fort du Petit Gouin,grandr,[],Fort du Pe,SIMPLE,[],2024-09-14T01:48:45.000+02:00,2024-09-14T11:40:45.000+02:00
[],41,110030,2095,36,False,True,48.27823,-4.60576,Camaret,grandr,[],Camaret,SIMPLE,[],2024-09-14T02:00:45.000+02:00,2024-09-14T12:06:45.000+02:00
[],51,111750,2147,38,False,True,48.27885,-4.62218,Pointe du Toulinguet,grandr,[],Pointe du ,SIMPLE,[],2024-09-14T02:10:45.000+02:00,2024-09-14T12:29:45.000+02:00
[],58,114920,2208,40,False,True,48.25621,-4.62176,Pointe de Pen Hir,grandr,[],Pointe de ,SIMPLE,[],2024-09-14T02:28:45.000+02:00,2024-09-14T13:09:45.000+02:00
[],6,124280,2326,42,False,True,48.24036,-4.54544,Plage de Goulien,grandr,[],Plage de G,SIMPLE,[],2024-09-14T03:17:45.000+02:00,2024-09-14T15:01:45.000+02:00
[],58,126960,2415,44,False,True,48.2326,-4.57033,Pointe de Dinan,grandr,[],Pointe de ,SIMPLE,[],2024-09-14T03:34:45.000+02:00,2024-09-14T15:39:45.000+02:00
[],94,137300,2692,48,False,True,48.1713,-4.551,Cap de la Chèvre,grandr,[],Cap de la ,SIMPLE,[],2024-09-14T03:49:45.000+02:00,2024-09-14T16:12:45.000+02:00
[],6,147240,2987,52,False,True,48.22357,-4.50009,Port de Morgat,grandr,[],Port de Mo,SIMPLE,[],2024-09-14T04:15:45.000+02:00,2024-09-14T17:06:45.000+02:00
[],11,162250,3363,56,False,True,48.21726,-4.37408,Le Ped Retour,grandr,[],Le Ped Ret,SIMPLE,[],2024-09-14T05:47:45.000+02:00,2024-09-14T20:23:45.000+02:00
[],92,164550,3447,60,False,True,48.23171,-4.35674,Arrivée,grandr,[],Arrivée,SIMPLE,[],2024-09-14T06:04:45.000+02:00,2024-09-14T20:52:45.000+02:00
