bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Roche plat,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
5687,Bruno GRONDIN,FINISHER,M2 H,MALE,FR,2023-10-20T20:10:04.000+00:00,2023-10-20T21:19:03.000+00:00,2023-10-21T00:11:34.000+00:00,2023-10-21T02:47:39.000+00:00,2023-10-21T04:21:58.000+00:00,2023-10-21T05:12:45.000+00:00,2023-10-21T08:50:45.000+00:00,2023-10-21T11:12:25.000+00:00,2023-10-21T13:02:04.000+00:00,2023-10-21T16:27:31.000+00:00,2023-10-21T18:49:16.000+00:00,2023-10-21T21:08:10.000+00:00,2023-10-21T22:05:10.000+00:00,2023-10-22T01:37:57.000+00:00,2023-10-22T02:37:20.000+00:00,2023-10-22T05:32:10.000+00:00,2023-10-22T07:44:38.000+00:00,2023-10-22T11:01:18.000+00:00,2023-10-22T13:19:36.000+00:00
5166,Thierry MANTA,FINISHER,M4 H,MALE,CH,2023-10-20T20:10:04.000+00:00,2023-10-20T21:21:59.000+00:00,2023-10-21T00:22:26.000+00:00,2023-10-21T03:14:56.000+00:00,2023-10-21T04:38:02.000+00:00,2023-10-21T05:28:14.000+00:00,2023-10-21T09:19:22.000+00:00,2023-10-21T11:20:47.000+00:00,2023-10-21T13:24:20.000+00:00,2023-10-21T16:36:23.000+00:00,2023-10-21T18:45:33.000+00:00,2023-10-21T21:01:59.000+00:00,2023-10-21T21:52:20.000+00:00,2023-10-22T01:33:19.000+00:00,2023-10-22T02:27:35.000+00:00,2023-10-22T05:30:53.000+00:00,2023-10-22T07:42:19.000+00:00,2023-10-22T10:48:52.000+00:00,2023-10-22T13:19:39.000+00:00
5563,Vanessa EGLI,FINISHER,M2 F,FEMALE,CH,2023-10-20T20:10:04.000+00:00,2023-10-20T21:21:57.000+00:00,2023-10-21T00:22:23.000+00:00,2023-10-21T03:15:32.000+00:00,2023-10-21T04:44:15.000+00:00,2023-10-21T05:28:16.000+00:00,2023-10-21T09:07:34.000+00:00,2023-10-21T11:21:00.000+00:00,2023-10-21T13:24:16.000+00:00,2023-10-21T16:36:13.000+00:00,2023-10-21T18:44:49.000+00:00,2023-10-21T21:01:55.000+00:00,2023-10-21T21:52:10.000+00:00,2023-10-22T01:32:11.000+00:00,2023-10-22T02:27:16.000+00:00,2023-10-22T05:51:53.000+00:00,2023-10-22T07:45:11.000+00:00,2023-10-22T11:18:52.000+00:00,2023-10-22T13:19:40.000+00:00
5200,Catherine EGLI,FINISHER,M4 F,FEMALE,CH,2023-10-20T20:10:04.000+00:00,2023-10-20T21:21:56.000+00:00,2023-10-21T00:22:20.000+00:00,2023-10-21T03:15:26.000+00:00,2023-10-21T04:46:27.000+00:00,2023-10-21T05:28:20.000+00:00,2023-10-21T09:07:32.000+00:00,2023-10-21T11:20:56.000+00:00,2023-10-21T13:24:13.000+00:00,2023-10-21T16:36:19.000+00:00,2023-10-21T18:44:55.000+00:00,2023-10-21T21:01:57.000+00:00,2023-10-21T21:52:12.000+00:00,2023-10-22T01:32:25.000+00:00,2023-10-22T02:27:19.000+00:00,2023-10-22T05:22:43.000+00:00,2023-10-22T07:45:10.000+00:00,2023-10-22T11:21:45.000+00:00,2023-10-22T13:19:41.000+00:00
6194,Lucie LE BRAS,FINISHER,SE F,FEMALE,FR,2023-10-20T20:10:04.000+00:00,2023-10-20T21:13:43.000+00:00,2023-10-20T23:51:20.000+00:00,2023-10-21T02:15:53.000+00:00,2023-10-21T03:28:39.000+00:00,2023-10-21T04:02:37.000+00:00,2023-10-21T07:05:30.000+00:00,2023-10-21T08:36:55.000+00:00,2023-10-21T09:53:03.000+00:00,2023-10-21T13:28:54.000+00:00,2023-10-21T16:17:20.000+00:00,2023-10-21T18:51:52.000+00:00,2023-10-21T19:46:45.000+00:00,2023-10-21T23:18:58.000+00:00,2023-10-22T00:11:58.000+00:00,2023-10-22T03:33:41.000+00:00,2023-10-22T06:54:08.000+00:00,2023-10-22T10:52:15.000+00:00,2023-10-22T13:19:58.000+00:00
6503,Thibault MALLET,FINISHER,SE H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:34:50.000+00:00,2023-10-21T00:40:18.000+00:00,2023-10-21T03:03:41.000+00:00,2023-10-21T04:41:29.000+00:00,2023-10-21T05:36:04.000+00:00,2023-10-21T09:32:08.000+00:00,2023-10-21T11:34:00.000+00:00,2023-10-21T13:14:45.000+00:00,2023-10-21T16:04:21.000+00:00,2023-10-21T19:21:43.000+00:00,2023-10-21T21:38:16.000+00:00,2023-10-21T22:20:36.000+00:00,2023-10-22T01:34:53.000+00:00,2023-10-22T02:26:35.000+00:00,2023-10-22T05:30:49.000+00:00,2023-10-22T08:01:32.000+00:00,2023-10-22T11:02:07.000+00:00,2023-10-22T13:21:20.000+00:00
6408,Dominique EDMOND,FINISHER,M0 F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:29:04.000+00:00,2023-10-21T00:30:13.000+00:00,2023-10-21T03:24:14.000+00:00,2023-10-21T04:27:52.000+00:00,2023-10-21T05:24:36.000+00:00,2023-10-21T09:16:09.000+00:00,2023-10-21T11:20:09.000+00:00,2023-10-21T13:12:26.000+00:00,2023-10-21T16:50:50.000+00:00,2023-10-21T19:06:21.000+00:00,2023-10-21T21:05:57.000+00:00,2023-10-21T21:55:26.000+00:00,2023-10-22T01:15:52.000+00:00,2023-10-22T02:03:05.000+00:00,2023-10-22T04:58:30.000+00:00,2023-10-22T07:44:54.000+00:00,2023-10-22T11:19:34.000+00:00,2023-10-22T13:29:13.000+00:00
6406,Jean Emmanuel EDMOND,FINISHER,M0 H,MALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:29:04.000+00:00,2023-10-21T00:30:18.000+00:00,2023-10-21T03:24:21.000+00:00,2023-10-21T04:28:04.000+00:00,2023-10-21T05:24:34.000+00:00,2023-10-21T09:16:06.000+00:00,2023-10-21T11:20:00.000+00:00,2023-10-21T13:11:48.000+00:00,2023-10-21T16:50:53.000+00:00,2023-10-21T19:06:24.000+00:00,2023-10-21T21:06:00.000+00:00,2023-10-21T21:55:29.000+00:00,2023-10-22T01:15:54.000+00:00,2023-10-22T02:03:04.000+00:00,2023-10-22T04:58:26.000+00:00,2023-10-22T07:46:08.000+00:00,2023-10-22T10:49:12.000+00:00,2023-10-22T13:29:12.000+00:00
6450,"Marie, Dolène TERGEMINA",FINISHER,M3 F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:41:01.000+00:00,2023-10-21T00:57:51.000+00:00,2023-10-21T03:38:31.000+00:00,2023-10-21T04:55:25.000+00:00,2023-10-21T05:41:55.000+00:00,2023-10-21T09:29:17.000+00:00,2023-10-21T11:28:28.000+00:00,2023-10-21T13:14:36.000+00:00,2023-10-21T16:40:28.000+00:00,2023-10-21T18:49:00.000+00:00,2023-10-21T20:59:18.000+00:00,2023-10-21T21:53:56.000+00:00,2023-10-22T01:34:51.000+00:00,2023-10-22T02:26:26.000+00:00,2023-10-22T05:31:01.000+00:00,2023-10-22T07:48:43.000+00:00,2023-10-22T11:25:16.000+00:00,2023-10-22T13:30:30.000+00:00
5141,Véronique DEUNINCK,FINISHER,M3 F,FEMALE,FR,2023-10-20T20:21:53.000+00:00,2023-10-20T21:31:49.000+00:00,2023-10-21T00:36:25.000+00:00,2023-10-21T03:34:18.000+00:00,2023-10-21T04:55:23.000+00:00,2023-10-21T05:36:13.000+00:00,2023-10-21T09:25:35.000+00:00,2023-10-21T11:23:20.000+00:00,2023-10-21T13:20:30.000+00:00,2023-10-21T16:37:56.000+00:00,2023-10-21T19:02:54.000+00:00,2023-10-21T21:05:15.000+00:00,2023-10-21T21:55:10.000+00:00,2023-10-22T01:34:15.000+00:00,2023-10-22T02:26:30.000+00:00,2023-10-22T05:11:13.000+00:00,2023-10-22T07:48:45.000+00:00,2023-10-22T11:26:14.000+00:00,2023-10-22T13:31:33.000+00:00
