bib,name,status,category,sex,country,Cilaos,Mare Josep,Cav Dufour,Bélouve,Hell-Bourg,Bras Marro,Merles,Nouvelle,Marla,Plat. Cerf,orangers,Pass Oussy,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
6300,Hugo SMETS,FINISHER,SE H,MALE,BE,2022-10-21T20:45:00.000+00:00,2022-10-21T21:25:52.000+00:00,2022-10-21T22:49:53.000+00:00,2022-10-22T00:08:13.000+00:00,2022-10-22T00:45:08.000+00:00,2022-10-22T01:09:23.000+00:00,2022-10-22T03:04:54.000+00:00,2022-10-22T03:58:49.000+00:00,2022-10-22T04:54:05.000+00:00,2022-10-22T06:16:00.000+00:00,2022-10-22T07:14:57.000+00:00,2022-10-22T08:13:05.000+00:00,2022-10-22T08:50:13.000+00:00,2022-10-22T10:06:40.000+00:00,2022-10-22T10:29:10.000+00:00,2022-10-22T12:04:48.000+00:00,2022-10-22T13:21:43.000+00:00,2022-10-22T15:10:57.000+00:00,2022-10-22T15:55:02.000+00:00
5088,William SEYCHELLES,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:28:02.000+00:00,2022-10-21T22:53:43.000+00:00,2022-10-22T00:14:26.000+00:00,2022-10-22T00:45:27.000+00:00,2022-10-22T01:06:44.000+00:00,2022-10-22T03:05:46.000+00:00,2022-10-22T04:04:03.000+00:00,2022-10-22T04:58:08.000+00:00,2022-10-22T06:20:10.000+00:00,2022-10-22T07:25:51.000+00:00,2022-10-22T08:27:59.000+00:00,2022-10-22T08:54:43.000+00:00,2022-10-22T10:12:44.000+00:00,2022-10-22T10:36:24.000+00:00,2022-10-22T11:57:51.000+00:00,2022-10-22T13:25:13.000+00:00,2022-10-22T15:19:09.000+00:00,2022-10-22T16:37:53.000+00:00
5538,Gregory FILAIN,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:25:03.000+00:00,2022-10-21T22:49:33.000+00:00,2022-10-22T00:07:35.000+00:00,2022-10-22T00:41:02.000+00:00,2022-10-22T01:03:34.000+00:00,2022-10-22T03:09:32.000+00:00,2022-10-22T04:06:53.000+00:00,2022-10-22T04:59:46.000+00:00,2022-10-22T06:26:45.000+00:00,2022-10-22T07:29:09.000+00:00,2022-10-22T08:29:19.000+00:00,2022-10-22T08:55:00.000+00:00,2022-10-22T10:26:57.000+00:00,2022-10-22T10:53:49.000+00:00,2022-10-22T12:20:46.000+00:00,2022-10-22T13:46:42.000+00:00,2022-10-22T15:51:18.000+00:00,2022-10-22T16:43:35.000+00:00
5236,Adrien ASTIÉ,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:28:37.000+00:00,2022-10-21T22:55:23.000+00:00,2022-10-22T00:18:13.000+00:00,2022-10-22T00:49:22.000+00:00,2022-10-22T01:18:55.000+00:00,2022-10-22T03:23:54.000+00:00,2022-10-22T04:20:11.000+00:00,2022-10-22T05:11:48.000+00:00,2022-10-22T06:57:26.000+00:00,2022-10-22T08:01:47.000+00:00,2022-10-22T09:03:00.000+00:00,2022-10-22T09:27:18.000+00:00,2022-10-22T10:51:44.000+00:00,2022-10-22T11:13:51.000+00:00,2022-10-22T12:38:07.000+00:00,2022-10-22T14:18:17.000+00:00,2022-10-22T16:00:57.000+00:00,2022-10-22T16:46:53.000+00:00
5406,Paméla LÉGER,FINISHER,M0 F,FEMALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:52.000+00:00,2022-10-21T23:07:25.000+00:00,2022-10-22T00:34:28.000+00:00,2022-10-22T01:12:01.000+00:00,2022-10-22T01:35:35.000+00:00,2022-10-22T03:42:41.000+00:00,2022-10-22T04:45:30.000+00:00,2022-10-22T05:43:24.000+00:00,2022-10-22T07:09:24.000+00:00,2022-10-22T08:13:40.000+00:00,2022-10-22T09:18:34.000+00:00,2022-10-22T09:51:51.000+00:00,2022-10-22T11:17:03.000+00:00,2022-10-22T11:45:26.000+00:00,2022-10-22T13:12:54.000+00:00,2022-10-22T14:31:02.000+00:00,2022-10-22T16:13:04.000+00:00,2022-10-22T17:16:51.000+00:00
6253,Clément COMBEMORELLE,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:32:27.000+00:00,2022-10-21T23:09:49.000+00:00,2022-10-22T00:35:19.000+00:00,2022-10-22T01:11:35.000+00:00,2022-10-22T01:35:38.000+00:00,2022-10-22T03:35:05.000+00:00,2022-10-22T04:33:05.000+00:00,2022-10-22T05:28:26.000+00:00,2022-10-22T06:57:24.000+00:00,2022-10-22T08:01:38.000+00:00,2022-10-22T09:02:58.000+00:00,2022-10-22T09:27:13.000+00:00,2022-10-22T10:51:40.000+00:00,2022-10-22T11:13:57.000+00:00,2022-10-22T12:36:49.000+00:00,2022-10-22T14:17:50.000+00:00,2022-10-22T16:14:25.000+00:00,2022-10-23T01:17:09.000+00:00
5062,Theo MAINVILLE,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:37.000+00:00,2022-10-21T23:02:28.000+00:00,2022-10-22T00:32:32.000+00:00,2022-10-22T01:12:47.000+00:00,2022-10-22T01:37:44.000+00:00,2022-10-22T03:45:37.000+00:00,2022-10-22T04:51:42.000+00:00,2022-10-22T05:46:11.000+00:00,2022-10-22T07:18:45.000+00:00,2022-10-22T08:20:33.000+00:00,2022-10-22T09:20:30.000+00:00,2022-10-22T09:45:43.000+00:00,2022-10-22T11:24:24.000+00:00,2022-10-22T11:47:26.000+00:00,2022-10-22T13:08:53.000+00:00,2022-10-22T14:34:05.000+00:00,2022-10-22T16:18:47.000+00:00,2022-10-22T16:59:21.000+00:00
5311,Roberto ALBERIO,FINISHER,M0 H,MALE,IT,2022-10-21T20:45:00.000+00:00,2022-10-21T21:30:02.000+00:00,2022-10-21T23:00:54.000+00:00,2022-10-22T00:26:50.000+00:00,2022-10-22T01:02:29.000+00:00,2022-10-22T01:22:40.000+00:00,2022-10-22T03:13:05.000+00:00,2022-10-22T04:08:39.000+00:00,2022-10-22T05:04:59.000+00:00,2022-10-22T06:26:53.000+00:00,2022-10-22T07:34:40.000+00:00,2022-10-22T08:35:32.000+00:00,2022-10-22T09:13:52.000+00:00,2022-10-22T10:33:02.000+00:00,2022-10-22T10:57:41.000+00:00,2022-10-22T12:31:33.000+00:00,2022-10-22T14:16:32.000+00:00,2022-10-22T16:15:37.000+00:00,2022-10-22T17:04:10.000+00:00
5745,Hadrien PAVY,FINISHER,SE H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:27:36.000+00:00,2022-10-21T22:50:56.000+00:00,2022-10-22T00:18:36.000+00:00,2022-10-22T00:52:02.000+00:00,2022-10-22T01:12:24.000+00:00,2022-10-22T03:10:24.000+00:00,2022-10-22T04:12:12.000+00:00,2022-10-22T05:06:52.000+00:00,2022-10-22T06:29:02.000+00:00,2022-10-22T07:24:12.000+00:00,2022-10-22T08:19:21.000+00:00,2022-10-22T08:50:50.000+00:00,2022-10-22T10:13:09.000+00:00,2022-10-22T10:34:50.000+00:00,2022-10-22T12:02:21.000+00:00,2022-10-22T13:52:32.000+00:00,2022-10-22T16:01:44.000+00:00,2022-10-22T17:06:28.000+00:00
5872,Edgar DIAS,FINISHER,M0 H,MALE,FR,2022-10-21T20:45:00.000+00:00,2022-10-21T21:27:41.000+00:00,2022-10-21T22:49:54.000+00:00,2022-10-22T00:15:39.000+00:00,2022-10-22T00:53:33.000+00:00,2022-10-22T01:13:30.000+00:00,2022-10-22T03:14:39.000+00:00,2022-10-22T04:19:59.000+00:00,2022-10-22T05:14:41.000+00:00,2022-10-22T06:40:55.000+00:00,2022-10-22T07:45:15.000+00:00,2022-10-22T08:47:21.000+00:00,2022-10-22T09:11:25.000+00:00,2022-10-22T10:38:07.000+00:00,2022-10-22T11:00:20.000+00:00,2022-10-22T12:19:57.000+00:00,2022-10-22T13:39:48.000+00:00,2022-10-22T16:03:02.000+00:00,2022-10-22T17:07:02.000+00:00
