distance_cum,altitude,lon,lat
4264,451.0,3.23666,44.18969
4294,451.0,3.23704,44.18973
4319,452.0,3.23734,44.18976
4357,452.0,3.23779,44.18988
4382,454.0,3.23809,44.18995
4382,,3.23826,44.18998
4382,,3.2385,44.18999
4382,,3.23858,44.19001
4438,458.0,3.23879,44.18997
4438,,3.23894,44.18992
4474,457.0,3.23922,44.18989
4500,457.0,3.23954,44.18987
4500,,3.23961,44.18989
4539,458.0,3.2398,44.19017
4539,,3.2399,44.19019
4563,464.0,3.24008,44.19026
4563,,3.24075,44.19032
4647,483.0,3.24109,44.19034
4647,,3.2413,44.19043
4647,,3.24193,44.1905
4735,499.0,3.24213,44.19056
4735,,3.24239,44.19052
4796,512.0,3.24287,44.19061
4832,530.0,3.24326,44.19059
4879,540.0,3.24383,44.19067
4925,540.0,3.24427,44.19093
4925,,3.24424,44.19088
4959,545.0,3.24405,44.19067
4959,,3.24404,44.1906
4959,,3.2442,44.19059
4998,561.0,3.2445,44.19066
5034,570.0,3.24426,44.1904
5082,576.0,3.24381,44.19012
5082,,3.24383,44.19004
5082,,3.24391,44.19001
5148,598.0,3.24458,44.19003
5177,606.0,3.2443,44.18988
5210,620.0,3.24466,44.1898
5252,635.0,3.24512,44.18969
5252,,3.24563,44.1897
5317,649.0,3.24591,44.1897
5361,654.0,3.24542,44.18953
5361,,3.24533,44.18942
5385,662.0,3.2454,44.18932
5385,,3.24555,44.1893
5427,671.0,3.24591,44.18931
5427,,3.2459,44.18929
5427,,3.24581,44.18927
5427,,3.24582,44.18923
5450,690.0,3.24596,44.1892
5450,,3.24596,44.18918
5475,691.0,3.24568,44.18909
5475,,3.24557,44.18902
5515,696.0,3.24539,44.18881
5566,702.0,3.24482,44.1886
5566,,3.24471,44.1885
5588,703.0,3.24484,44.1884
5588,,3.24494,44.18823
5640,704.0,3.24507,44.18797
5640,,3.2452,44.18788
5667,707.0,3.24531,44.18779
5667,,3.24544,44.18778
5667,,3.24552,44.18778
5691,708.0,3.24558,44.18771
5691,,3.24569,44.18763
5720,718.0,3.24577,44.1875
5720,,3.24594,44.18736
5720,,3.24626,44.18723
5778,725.0,3.24636,44.1872
5778,,3.24643,44.18716
5778,,3.24644,44.18711
5785,726.0,3.24627,44.18718
5785,,3.24602,44.18717
5837,734.0,3.24565,44.18728
5837,,3.24559,44.18732
5859,734.0,3.24537,44.18729
5923,737.0,3.24462,44.18748
5923,,3.24451,44.18749
5923,,3.24446,44.18743
5939,740.0,3.24469,44.18735
5966,743.0,3.24495,44.1872
5966,,3.24508,44.18712
6002,747.0,3.24532,44.18702
6002,,3.24537,44.18696
6002,,3.24528,44.18692
6026,760.0,3.2451,44.18692
6026,,3.2449,44.18702
6026,,3.24449,44.18701
6084,772.0,3.24439,44.18696
6144,780.0,3.245,44.18666
6168,780.0,3.24524,44.18653
6168,,3.24516,44.18649
6168,,3.24503,44.18652
6210,787.0,3.24472,44.18654
6234,792.0,3.24443,44.18652
6234,,3.24428,44.18658
6254,796.0,3.24419,44.18655
6254,,3.24416,44.1865
6303,801.0,3.2447,44.18631
6303,,3.2447,44.18626
6303,,3.24459,44.18622
6332,808.0,3.24437,44.18622
6332,,3.24425,44.18614
6351,810.0,3.24427,44.18606
6351,,3.24443,44.18608
6364,814.0,3.24438,44.18598
6388,815.0,3.2444,44.18577
6388,,3.24462,44.18585
6449,825.0,3.24515,44.18567
6484,828.0,3.24554,44.18554
6510,831.0,3.24575,44.18536
6531,834.0,3.24593,44.18522
6588,841.0,3.2463,44.18479
6616,842.0,3.24651,44.18459
6616,,3.24651,44.18441
6675,842.0,3.24671,44.18408
6675,,3.24673,44.18391
6716,845.0,3.24666,44.18371
6716,,3.24653,44.18361
6768,854.0,3.24648,44.18327
6768,,3.24667,44.1833
6802,862.0,3.24681,44.18309
6802,,3.24684,44.18292
6837,865.0,3.24701,44.18281
6871,869.0,3.24702,44.18251
6900,872.0,3.24718,44.18227
6922,876.0,3.24735,44.18212
6922,,3.24747,44.18203
6947,880.0,3.24761,44.182
6947,,3.24772,44.18192
6979,885.0,3.24784,44.18177
7003,888.0,3.24809,44.18166
7041,892.0,3.24828,44.18135
7068,896.0,3.24845,44.18114
7097,899.0,3.24863,44.18092
7173,899.0,3.24878,44.18024
7202,898.0,3.24881,44.17998
7247,896.0,3.24898,44.17959
7247,,3.24902,44.17951
7271,895.0,3.24888,44.17939
7271,,3.24878,44.17923
7306,892.0,3.24868,44.17911
7306,,3.24863,44.17904
7306,,3.24863,44.17895
7339,890.0,3.24864,44.17882
7339,,3.24869,44.17866
7378,888.0,3.2487,44.17847
7378,,3.24867,44.17833
7405,885.0,3.24862,44.17823
7405,,3.24865,44.17776
7477,881.0,3.24865,44.17759
7477,,3.24853,44.17758
7477,,3.24845,44.17762
7504,877.0,3.24839,44.17775
7504,,3.2483,44.17791
7544,876.0,3.24814,44.17806
7544,,3.24801,44.17815
7582,873.0,3.24777,44.17827
7582,,3.24762,44.17839
7609,873.0,3.24756,44.17846
7609,,3.24755,44.1786
7635,873.0,3.24755,44.17869
7635,,3.24757,44.1788
7656,874.0,3.24753,44.17888
7656,,3.24745,44.17894
7656,,3.24734,44.17898
7690,874.0,3.24717,44.17904
7690,,3.24701,44.17916
7727,874.0,3.24686,44.17929
7754,875.0,3.24672,44.17951
7790,875.0,3.24651,44.1798
7790,,3.24637,44.17993
7837,875.0,3.24615,44.18014
7864,875.0,3.24592,44.18031
7896,873.0,3.24562,44.1805
7896,,3.2455,44.18059
7949,872.0,3.24523,44.18089
7949,,3.24507,44.18102
7986,872.0,3.24485,44.18107
7986,,3.24468,44.18107
7986,,3.24459,44.18105
8022,872.0,3.2444,44.181
8056,869.0,3.24398,44.18097
8056,,3.24379,44.1809
8088,867.0,3.2437,44.18076
8149,864.0,3.24356,44.18023
8201,862.0,3.24343,44.17977
8201,,3.24324,44.1799
8239,860.0,3.2431,44.18002
8293,858.0,3.24276,44.18044
8322,857.0,3.24263,44.18068
8359,852.0,3.24225,44.18049
8359,,3.24216,44.18038
8359,,3.24211,44.18007
8359,,3.24205,44.18006
8413,845.0,3.24175,44.18017
8413,,3.24161,44.18023
8455,843.0,3.24132,44.18039
8455,,3.24119,44.18048
8455,,3.24113,44.18052
8485,840.0,3.24107,44.18059
8485,,3.24096,44.18067
8517,839.0,3.24075,44.18076
8517,,3.2406,44.18084
8545,839.0,3.24045,44.18089
8545,,3.2403,44.18095
8545,,3.24009,44.18109
8595,838.0,3.23996,44.18116
8595,,3.23985,44.18121
8595,,3.23972,44.18123
8595,,3.23952,44.1812
8595,,3.23944,44.18122
8642,837.0,3.23939,44.18128
8642,,3.23936,44.18132
8642,,3.23929,44.18134
8642,,3.23924,44.18136
8642,,3.23919,44.18136
8666,837.0,3.23912,44.18137
8666,,3.23908,44.18133
8689,836.0,3.23905,44.18117
8689,,3.23896,44.18109
8714,835.0,3.23877,44.18106
8745,833.0,3.23846,44.1809
8745,,3.23825,44.18083
8772,833.0,3.23816,44.18078
8772,,3.23808,44.18075
8772,,3.23793,44.18074
8803,834.0,3.2378,44.18069
8803,,3.2377,44.18061
8826,834.0,3.23759,44.18055
8826,,3.23747,44.18051
8826,,3.2374,44.1805
8826,,3.23721,44.18061
8877,838.0,3.23696,44.18064
8877,,3.23684,44.18049
8915,838.0,3.2367,44.18035
8940,839.0,3.23647,44.1802
8940,,3.23641,44.18016
8940,,3.23625,44.18016
8971,839.0,3.23609,44.18014
8971,,3.236,44.1801
8971,,3.23594,44.18004
9002,839.0,3.23585,44.17992
9002,,3.23577,44.17979
9035,839.0,3.23564,44.17967
9060,838.0,3.23538,44.17954
9060,,3.23522,44.17947
9119,836.0,3.23469,44.17936
