access,altitude,cutoff,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],0,2022-10-20T21:40:00.000+00:00,0,0,0,False,True,-21.3391,55.4589,St Pierre Ravine Blanche,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",St Pierre ,SIMPLE,[],2022-10-20T20:59:49.000+00:00,2022-10-20T20:59:49.000+00:00
[],649,2022-10-21T01:40:00.000+00:00,14720,825,2,False,True,-21.3127,55.5459,Domaine Vidot,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",Dom Vidot,SIMPLE,[],2022-10-20T22:22:49.000+00:00,2022-10-21T00:58:49.000+00:00
[],1684,2022-10-21T04:55:00.000+00:00,29150,2035,10,False,True,-21.2456,55.5939,Notre Dame de la Paix,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",Dame paix,SIMPLE,[],2022-10-21T00:13:49.000+00:00,2022-10-21T06:01:49.000+00:00
[],2018,2022-10-21T09:10:00.000+00:00,41520,2689,12,False,True,-21.2007,55.6206,Parking Aire Nez de Boeuf,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",Nez boeuf,SIMPLE,[],2022-10-21T01:37:49.000+00:00,2022-10-21T10:11:49.000+00:00
[],1601,2022-10-21T11:25:00.000+00:00,51870,2770,14,False,True,-21.1612,55.5709,Mare à Boue,GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY']",Mare Boue,SIMPLE,[],2022-10-21T02:30:49.000+00:00,2022-10-21T12:56:49.000+00:00
[],2480,,64220,3776,16,False,True,-21.1114,55.4953,Croisée coteaux Kerveguen,GRR,[],Croisée,SIMPLE,[],2022-10-21T04:23:49.000+00:00,2022-10-21T17:56:49.000+00:00
[],1382,,68990,3777,17,False,False,-21.1234,55.4832,Le Bloc,GRR,['DRINK_SUPPLY'],Le Bloc,SIMPLE,[],2022-10-21T04:52:49.000+00:00,2022-10-21T19:05:49.000+00:00
[],1392,,71260,3922,18,False,True,-21.1257,55.4723,Plateau des chênes,GRR,[],chênes,SIMPLE,[],2022-10-21T05:11:49.000+00:00,2022-10-21T19:57:49.000+00:00
[],1207,2022-10-21T17:55:00.000+00:00,73680,3929,19,False,True,-21.1364,55.4743,Cilaos (Stade),GRR,"['AID_STATION', 'EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Cilaos,SIMPLE,[],2022-10-21T05:25:49.000+00:00,2022-10-21T20:34:49.000+00:00
[],1267,2022-10-21T19:55:00.000+00:00,80470,4443,30,False,True,-21.1177,55.4502, Sentier Taïbit (début),GRR,['DRINK_SUPPLY'],Taibit,SIMPLE,[],2022-10-21T06:29:49.000+00:00,2022-10-21T23:31:49.000+00:00
[],1614,2022-10-21T23:10:00.000+00:00,86410,5279,32,False,False,-21.1035,55.4341,Marla,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",Marla,SIMPLE,[],2022-10-21T07:48:49.000+00:00,2022-10-22T03:26:49.000+00:00
[],1809,2022-10-22T02:10:00.000+00:00,93820,5780,36,False,False,-21.0662,55.4511,Plaine des Merles,GRR,"['EMERGENCY', 'DRINK_SUPPLY']",Merles,SIMPLE,[],2022-10-21T08:59:49.000+00:00,2022-10-22T06:47:49.000+00:00
[],1632,2022-10-22T03:10:00.000+00:00,95940,5796,38,False,True,-21.0549,55.4545,Sentier Scout,GRR,[],Sen. Scout,DOUBLE,[],2022-10-21T09:11:49.000+00:00,2022-10-22T07:24:49.000+00:00
[],889,2022-10-21T04:55:00.000+00:00,103980,6017,42,False,False,-21.0403,55.4263,Ilet à Bourse,GRR,[],Ilet Bours,SIMPLE,[],2022-10-21T10:06:49.000+00:00,2022-10-22T10:08:49.000+00:00
