checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Arrivée,62100,2652,2682,,62.1,2652,2682,2.8999999999999986,18.0,462.0,59.2,6.206896551724141,159.31034482758628,0.0593796840770207,0.020475753130007147,2024
Cade,56200,2556,2146,,56.2,2556,2146,3.3000000000000043,489.0,21.0,52.9,148.181818181818,6.363636363636355,0.09016487951112649,0.027322690760947385,2024
La Roque,30800,1127,1151,,30.8,1127,1151,3.900000000000002,4.0,443.0,26.9,1.025641025641025,113.58974358974353,0.05582458972289477,0.014313997364844806,2024
St Andrée,19300,840,394,,19.3,840,394,19.3,840.0,394.0,0.0,43.523316062176164,20.414507772020723,0.27191667627502975,0.014088946957255427,2024
Mas de Bru,47500,2031,1706,,47.5,2031,1706,8.399999999999999,409.0,393.0,39.1,48.6904761904762,46.78571428571429,0.15173527037933815,0.018063722664206926,2024
la pouncho,59200,2634,2220,,59.2,2634,2220,3.0,78.0,74.0,56.2,26.0,24.666666666666668,0.04823398285868023,0.016077994286226745,2024
Roquesalte,26900,1123,708,,26.9,1123,708,7.599999999999998,283.0,314.0,19.3,37.23684210526317,41.31578947368422,0.1155886083246858,0.015209027411142873,2024
La Salvage,39100,1622,1313,,39.1,1622,1313,8.3,495.0,162.0,30.8,59.63855421686746,19.518072289156624,0.13586225450632228,0.016368946326062922,2024
Massebiau,52900,2067,2125,,52.9,2067,2125,5.399999999999999,36.0,419.0,47.5,6.666666666666669,77.59259259259261,0.07129405434490181,0.013202602656463301,2024
