lat,lon,altitude_gpx,altitude,dist_2d_m,dist_3d_m,distance_cum_2d,distance_cum_3d,pente,distance_cum_2d_calib,distance
44.1146,3.08683,360.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.11487,3.08697,360.0,360.0,32.03548555463792,32.03548555463792,32.03548555463792,32.03548555463792,0.0,32.07375961024167,32.07375961024167
44.11519,3.08716,360.0,360.0,38.68041411650102,38.68041411650102,70.71589967113894,70.71589967113894,0.0,70.80038674006337,70.80038674006337
44.11552,3.08736,360.0,360.0,40.01743056636277,40.01743056636277,110.73333023750172,110.73333023750172,0.0,110.86562770592842,110.86562770592842
44.11577,3.0875,360.0,360.0,29.96130247184025,29.96130247184025,140.69463270934196,140.69463270934196,0.0,140.8627261251974,140.8627261251974
44.11608,3.08769,360.0,360.0,37.65995623312651,37.65995623312651,178.35458894246847,178.35458894246847,0.0,178.56767619044308,178.56767619044308
44.11637,3.08787,360.0,360.0,35.303239369334364,35.303239369334364,213.65782831180283,213.65782831180283,0.0,213.9130937294921,213.9130937294921
44.11661,3.08802,360.0,360.0,29.250162792370165,29.250162792370165,242.907991104173,242.907991104173,0.0,243.19820284272336,243.19820284272336
44.11692,3.08821,360.0,360.0,37.65986939351733,37.65986939351733,280.56786049769033,280.56786049769033,0.0,280.9030659646092,280.9030659646092
44.1171,3.08834,360.0,360.0,22.545551116436965,22.545551116436965,303.1134116141273,303.1134116141273,0.0,303.47555313842463,303.47555313842463
44.11728,3.08849,360.0,360.0,23.323549709229805,23.323549709229805,326.4369613233571,326.4369613233571,0.0,326.82696841057606,326.82696841057606
44.11736,3.08858,360.0,360.0,11.4345837525722,11.4345837525722,337.8715450759293,337.8715450759293,0.0,338.2752135104566,338.2752135104566
44.11743,3.08864,360.0,360.0,9.139280697237645,9.139280697237645,347.01082577316697,347.01082577316697,0.0004115554925637212,347.4254132660924,347.4254132660924
44.11759,3.08883,360.0,360.00013383062463,23.37896460674903,23.37896460713208,370.389790379916,370.3897903802991,0.0074416402570069914,370.8323096421224,370.83230964250595
44.11784,3.08912,360.0,360.00443186162005,36.175938169900036,36.175938425222654,406.5657285498161,406.56572880552176,0.06041967969543863,407.0514686293462,407.05146888535734
44.11819,3.08957,360.0,360.0539911274208,52.9627283500493,52.96275153730159,459.5284568998654,459.52848034282334,0.22832371937822554,460.0774736357252,460.0774971066914
44.11851,3.09003,360.0,360.2421052762812,51.13220112482503,51.13254715738851,510.6606580246904,510.66102750021184,0.5237197887866518,511.270764413949,511.2711343308974
44.1186,3.09018,361.0,360.40350916160077,15.605402010193682,15.606236673649201,526.266060034884,526.267264173861,0.16488496359653643,526.894810812199,526.8960163898082
44.11873,3.09035,360.0,360.300528265322,19.827173384444315,19.82744082028277,546.0932334193284,546.0947049941437,-0.11676250227129756,546.745672501142,546.7471458341058
44.11888,3.09053,360.0,360.3546532233672,22.014973951544647,22.015040485955794,568.1082073708731,568.1097454800995,1.0804858061161626,568.7869486086413,568.7884885555073
44.11898,3.09067,361.0,360.70873694979196,15.76513219693747,15.769108043013508,583.8733395678105,583.878853523113,1.5612992547967248,584.5709160295767,584.5764365726186
44.11914,3.09091,361.0,361.0089975538647,26.145112010707795,26.146836108462818,610.0184515785182,610.0256896315758,1.0638202150355607,610.7472646347527,610.7545113353972
44.11938,3.09127,361.0,361.4040786585433,39.217596736852016,39.219586725176235,649.2360483153702,649.245276356752,1.3465951202454407,650.011716178147,650.0209552446331
44.1197,3.09168,362.0,362.1881141488605,48.345218341589536,48.35157544637033,697.5812666569598,697.5968518031224,2.1489238897533998,698.4146944551003,698.4302982214505
44.1198,3.09184,364.0,362.80688449257684,16.934238074826744,16.945539115447897,714.5155047317866,714.5423909185703,1.5060455256482241,715.3691645307368,715.3960828395062
44.11995,3.09215,362.0,362.8925872421012,29.842109734277386,29.842232797730283,744.357614466064,744.3846237163006,1.2719661336630999,745.2469278081877,745.2739693274386
44.12,3.0923,363.0,363.35438556211807,13.20157319496017,13.209647705758897,757.5591876610241,757.5942714220595,5.002889426212997,758.4642734422969,758.4993991192825
44.12005,3.09242,365.0,364.1071450966496,11.075554502179926,11.101106001096746,768.634742163204,768.6953774231562,5.070842659714507,769.5530603454072,769.6137680486911
44.12011,3.09253,364.0,364.47521299869777,11.027821835724524,11.033962498622186,779.6625639989286,779.7293399217783,1.7503652431159815,780.5940575539665,780.6609132566399
44.12026,3.09272,365.0,364.69477221180887,22.543863700784506,22.54493284105347,802.2064276997131,802.2742727628317,0.40255163582603126,803.1648552961077,803.2327814163938
44.12048,3.09302,365.0,364.70376976567354,34.23314243577611,34.233143618197126,836.4395701354892,836.5074163810289,-0.17809416849923293,837.4388974146698,837.5068247187895
44.12061,3.09321,364.0,364.5964908383993,20.95191737711737,20.952192022454113,857.3914875126067,857.459608403483,0.1359332170460607,858.4158468722072,858.4840491497932
44.1207,3.09336,365.0,364.7534628620988,15.605075464746848,15.605864938434793,872.9965629773535,873.0654733419178,0.6599428293261906,874.0395663348737,874.1085590293632
44.12086,3.09365,365.0,364.89215157578326,29.195886716453344,29.19621611988924,902.1924496938068,902.261689461807,0.0071091213735975135,903.2703345264238,903.3396570179003
44.12105,3.094,365.0,364.7580285543434,35.02713051296162,35.02738729846871,937.2195802067685,937.2890767602757,-0.4940870983590593,938.3393133309809,938.4088929147563
44.12111,3.09414,364.0,364.65477999681536,13.015325919566914,13.015735440503619,950.2349061263353,950.3048122007793,0.7147331407710363,951.3701891727457,951.4401787667285
