bib,name,status,category,sex,country,Hell-Bourg,Merles,Sen. Scout,Aurère,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,St Denis
3759,Alexandre DEPECHE,FINISHER,M0 H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:43:20.000+04:00,2024-10-18T02:54:09.000+04:00,2024-10-18T03:46:57.000+04:00,2024-10-18T04:26:39.000+04:00,2024-10-18T05:25:35.000+04:00,2024-10-18T05:44:28.000+04:00,2024-10-18T06:46:11.000+04:00,2024-10-18T07:39:16.000+04:00,2024-10-18T08:53:47.000+04:00,2024-10-18T09:30:12.000+04:00
4398,Nicolas MARCY,FINISHER,SE H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:51:41.000+04:00,2024-10-18T03:04:31.000+04:00,2024-10-18T04:03:10.000+04:00,2024-10-18T04:43:34.000+04:00,2024-10-18T05:43:34.000+04:00,2024-10-18T06:00:47.000+04:00,2024-10-18T06:56:39.000+04:00,2024-10-18T07:47:20.000+04:00,2024-10-18T08:58:13.000+04:00,2024-10-18T09:39:41.000+04:00
4506,Antoine COMPAROT,FINISHER,SE H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:52:05.000+04:00,2024-10-18T03:05:05.000+04:00,2024-10-18T04:05:35.000+04:00,2024-10-18T04:46:18.000+04:00,2024-10-18T05:45:50.000+04:00,2024-10-18T06:02:30.000+04:00,2024-10-18T06:59:57.000+04:00,2024-10-18T07:49:31.000+04:00,2024-10-18T09:02:35.000+04:00,2024-10-18T09:36:34.000+04:00
4457,Matis FUGIER,FINISHER,SE H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:46:10.000+04:00,2024-10-18T02:58:45.000+04:00,2024-10-18T03:56:49.000+04:00,2024-10-18T04:36:45.000+04:00,2024-10-18T05:32:24.000+04:00,2024-10-18T05:50:25.000+04:00,2024-10-18T06:46:55.000+04:00,2024-10-18T07:39:08.000+04:00,2024-10-18T08:57:41.000+04:00,2024-10-18T09:50:28.000+04:00
3172,Jean Charles BRETON,FINISHER,M0 H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:52:58.000+04:00,2024-10-18T03:06:25.000+04:00,2024-10-18T04:05:42.000+04:00,2024-10-18T04:45:46.000+04:00,2024-10-18T05:52:10.000+04:00,2024-10-18T06:08:04.000+04:00,2024-10-18T07:04:06.000+04:00,2024-10-18T07:58:28.000+04:00,2024-10-18T09:11:53.000+04:00,2024-10-18T10:14:05.000+04:00
4160,Rivosoa Hobilalaina ANDRIANIRINA,FINISHER,M0 H,MALE,MG,2024-10-18T00:59:52.000+04:00,2024-10-18T02:43:41.000+04:00,2024-10-18T02:54:43.000+04:00,2024-10-18T03:50:37.000+04:00,2024-10-18T04:27:57.000+04:00,2024-10-18T05:31:11.000+04:00,2024-10-18T05:56:58.000+04:00,2024-10-18T06:50:21.000+04:00,2024-10-18T07:44:27.000+04:00,2024-10-18T09:10:56.000+04:00,2024-10-18T09:51:48.000+04:00
4609,Ludovic JASMIN,FINISHER,M1 H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:48:52.000+04:00,2024-10-18T03:03:21.000+04:00,2024-10-18T04:02:47.000+04:00,2024-10-18T04:44:46.000+04:00,2024-10-18T05:50:31.000+04:00,2024-10-18T06:08:41.000+04:00,2024-10-18T07:06:22.000+04:00,2024-10-18T08:01:29.000+04:00,2024-10-18T09:20:18.000+04:00,2024-10-18T09:58:45.000+04:00
4204,Paolo VELLE,FINISHER,SE H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:51:43.000+04:00,2024-10-18T03:04:29.000+04:00,2024-10-18T04:03:53.000+04:00,2024-10-18T04:43:43.000+04:00,2024-10-18T05:44:59.000+04:00,2024-10-18T06:01:11.000+04:00,2024-10-18T06:58:16.000+04:00,2024-10-18T07:56:09.000+04:00,2024-10-18T09:22:58.000+04:00,2024-10-18T10:48:28.000+04:00
3865,Nicolas COURT,FINISHER,SE H,MALE,FR,2024-10-18T00:59:52.000+04:00,2024-10-18T02:54:21.000+04:00,2024-10-18T03:06:36.000+04:00,2024-10-18T04:07:53.000+04:00,2024-10-18T04:49:31.000+04:00,2024-10-18T05:55:31.000+04:00,2024-10-18T06:12:30.000+04:00,2024-10-18T07:16:08.000+04:00,2024-10-18T08:18:08.000+04:00,2024-10-18T09:40:56.000+04:00,2024-10-18T10:28:36.000+04:00
4139,Adrien Karim CHOUCHOU,FINISHER,M0 H,MALE,DZ,2024-10-18T00:59:52.000+04:00,2024-10-18T02:48:56.000+04:00,2024-10-18T03:03:20.000+04:00,2024-10-18T04:04:28.000+04:00,2024-10-18T04:48:22.000+04:00,2024-10-18T05:54:44.000+04:00,2024-10-18T06:14:32.000+04:00,2024-10-18T07:25:06.000+04:00,2024-10-18T08:32:16.000+04:00,2024-10-18T09:55:45.000+04:00,2024-10-18T10:39:52.000+04:00
