checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,dist_total,dplus_total,dmoins_total,dist_secteur,dplus_secteur,dmoins_secteur,dist_depart_secteur,dp_secteur,dm_secteur,temps_ref_norm,vitesse_ref_norm,year
Arrivée,57084,1198,1112,57.084,1198,1112,2.2560000000000002,78.0,0.0,54.828,34.57446808510638,0.0,0.10521823945379183,0.04663929053802829,2024
Le Ped Ret,54828,1120,1112,54.828,1120,1112,14.998000000000005,310.0,305.0,39.83,20.669422589678618,20.336044805974122,0.40807120214581794,0.027208374593000254,2024
Plage de G,16917,215,213,16.917,215,213,9.360000000000001,83.0,136.0,7.557,8.867521367521366,14.529914529914528,0.17977322604242868,0.019206541243849216,2024
Port de Mo,39830,810,807,39.83,810,807,9.911999999999999,272.0,358.0,29.918,27.441485068603715,36.11783696529459,0.3069373323579614,0.030966236113595783,2024
