lat,lon,altitude_gpx,altitude,dist_2d_m,dist_3d_m,distance_cum_2d,distance_cum_3d,pente,distance_cum_2d_calib,distance
-21.1363,55.47418,1207.0,1207.06312251191,0.0,0.0,0.0,0.0,0.5901737825287628,0.0,0.0
-21.13604,55.47445,1207.0,1207.3006620959468,40.24909121156878,40.24979215363935,40.24909121156878,40.24979215363935,0.6497032048543884,40.35192401222741,40.35262674514179
-21.13567,55.47484,1208.0,1207.699471734678,57.695511495215605,57.6968898279838,97.9446027067844,97.94668198162316,0.9964895763924048,98.1948423395948,98.19692692679338
-21.13565,55.4749,1208.0,1207.9414431803348,6.6083306691755075,6.612759213344978,104.5529333759599,104.55944119496813,1.3979678752866727,104.82005669806449,104.82658114396378
-21.13564,55.47504,1208.0,1207.9954343077554,14.562583077096402,14.562683163454963,119.1155164530563,119.1221243584231,0.19295557678349098,119.41984586249265,119.42647065046214
-21.13566,55.47519,1208.0,1207.9998661693753,15.715364839429096,15.715365464339724,134.8308812924854,134.83748982276282,0.01184890369652605,135.1753620427636,135.1819874572403
-21.13566,55.47541,1208.0,1208.0,22.817248485019753,22.817248485412236,157.64812977750515,157.65473830817507,0.00042910100042974634,158.05090654129344,158.05753195616364
-21.13567,55.47549,1208.0,1208.0,8.37135852282063,8.37135852282063,166.01948830032578,166.0260968309957,-0.0009205968829367289,166.44365313068417,166.45027854555437
-21.13564,55.47554,1208.0,1207.9998661693753,6.166016866049,6.166016867501367,172.18550516637478,172.19211369849705,-0.011762903805752756,172.62542361412324,172.63204903044948
-21.13547,55.47581,1208.0,1207.995300477131,33.78604723851109,33.78604754700449,205.97155240488587,205.97816124550155,-0.10590485104026941,206.4977911584136,206.50441688402145
-21.13532,55.476,1208.0,1207.9367436574653,25.816993878105762,25.817060285851287,231.78854628299163,231.79522153135284,-0.8149217280254101,232.38074512916137,232.38743743218055
-21.1352,55.47612,1208.0,1207.6362153921436,18.24675760111987,18.249232317888964,250.0353038841115,250.0444538492418,-3.3632778823207374,250.67412155149137,250.68329489395794
-21.13512,55.47619,1207.0,1206.93687748809,11.482161755534012,11.503439141591269,261.51746563964554,261.5478929908331,-8.059233626805545,262.18561919549876,262.21612428582637
-21.13505,55.47623,1206.0,1206.0,8.82020777376559,8.869825511253575,270.33767341341115,270.41771850208664,-8.620492111789824,271.0283618052188,271.10861140188194
-21.13494,55.47627,1205.0,1205.06312251191,12.915848032344432,12.949782616797291,283.2535214457556,283.3675011188839,-8.483501243538619,283.97720866526515,284.09147954618606
-21.13489,55.4763,1204.0,1204.3637846078564,6.371181522697424,6.409448299128969,289.62470296845305,289.7769494180129,-2.4226579876797985,290.3646679825602,290.51730340807774
-21.13467,55.47654,1204.0,1204.0632563425347,34.90027216412236,34.90156607328777,324.52497513257543,324.6785154913007,-0.5315907721999652,325.35410719672905,325.50803983723324
-21.13448,55.47678,1204.0,1204.0046995228695,32.64888477492961,32.648937286652384,357.17385990750506,357.32745277795306,-0.13629622058119695,358.0864069298285,358.24039221621814
-21.1344,55.47688,1204.0,1204.0001338306247,13.663853495328631,13.66385425812754,370.8377134028337,370.99130703608057,-0.006958799153187126,371.7851703394041,371.9391563905415
-21.13406,55.47725,1204.0,1204.0,53.869678742549645,53.869678742715884,424.7073921453833,424.8609857787965,0.0001532607019441651,425.7924812562197,425.9464673075238
-21.13384,55.47747,1204.0,1204.0002676612494,33.4525264888353,33.452526489906106,458.1599186342186,458.3135122687026,0.021082515969819502,459.33047593537685,459.48446198775457
-21.13378,55.47754,1204.0,1204.0091313844894,9.860067237818335,9.860071221846633,468.01998587203695,468.1735834905492,0.722918856726952,469.21573475636455,469.36972480294935
-21.13377,55.4776,1204.0,1204.1172474699554,6.32152874871095,6.322453227088005,474.3415146207479,474.49603671763725,3.3519896226332926,475.55341444131045,475.70833132823134
-21.13371,55.47769,1204.0,1204.6056222228885,11.473599087352586,11.483988240876975,485.81511370810045,485.9800249585142,7.323029307487308,487.0563275402909,487.22166012408707
-21.13367,55.47774,1206.0,1205.4577679502709,6.831946664661538,6.884885443453352,492.647060372762,492.86491040196756,11.615952256015962,493.90572921296206,494.1241358293588
-21.13363,55.47779,1206.0,1206.19281367173,6.831947726944489,6.871375550523873,499.47900809970645,499.7362859524914,10.455059857920096,500.75513195063013,501.0130671251422
-21.1336,55.47784,1207.0,1206.8167192046335,6.166076893002428,6.19756100126543,505.64508499270886,505.93384695375687,11.92895928592586,506.93696261438606,507.2264623362203
-21.13357,55.47789,1207.0,1207.6639113813048,6.166077776269974,6.224005922813988,511.8111627689788,512.1578528765708,13.917005773988873,513.1187941636662,513.4663700332381
-21.13354,55.47798,1209.0,1209.0543926192945,9.91262083893977,10.00966982321516,521.7237836079186,522.167522699786,15.234224057315737,523.0567408554898,523.5016136607456
-21.13354,55.47807,1211.0,1210.5960551720814,9.33446243714266,9.460914988366222,531.0582460450612,531.6284376881522,16.18219602825412,532.4150520029054,532.9867004342569
-21.13355,55.47814,1212.0,1211.7534628620988,7.344795669060612,7.435429777838196,538.4030417141219,539.0638674659904,15.93928376209747,539.7786129629623,540.4411270650709
-21.13358,55.4782,1212.0,1212.8921857502273,7.060685859576054,7.1519210442764996,545.463727573698,546.2157885102669,13.185334455809627,546.8573382385762,547.6113206230597
-21.13365,55.4783,1215.0,1214.3942439464868,12.967483264525445,13.05418710761791,558.4312108382234,559.2699756178848,9.6085466213605,559.8579522541681,560.6988600022493
-21.13373,55.47841,1216.0,1215.528233137302,14.466919574449712,14.5112953749306,572.898130412673,573.7812709928154,6.1827911468481505,574.3618335043218,575.2472304290548
-21.13377,55.47851,1216.0,1215.9864367538908,11.285087400841045,11.294385693736345,584.183217813514,585.0756566865517,3.8836950498976357,585.675753286421,586.5704722603496
-21.13379,55.47859,1216.0,1216.300126773448,8.590150645109048,8.595876309838179,592.773368458623,593.6715329963899,2.456697305549386,594.2878509922542,595.1883102594694
-21.13379,55.47881,1217.0,1216.7580285543436,22.8175363625614,22.822130481130788,615.5909048211845,616.4936634775207,3.378678045121086,617.1636841038269,618.0687492271704
-21.13379,55.47886,1217.0,1217.246269476652,5.18580371804462,5.208736833465676,620.7767085392292,621.7024003109864,8.573408501615814,622.3627370830087,623.2907939138162
-21.13378,55.47892,1218.0,1217.7445991388586,6.3215283346512825,6.341139719169881,627.0982368738804,628.0435400301562,6.864581847293295,628.700416352837,629.6481346734831
-21.13376,55.47898,1218.0,1218.1338553601906,6.608405393046308,6.619859684667738,633.7066422669267,634.663399714824,3.6507479635071762,635.3257056260902,636.2849075030406
-21.13373,55.47903,1219.0,1218.2109631511203,6.1660730679009275,6.166555172064482,639.8727153348276,640.8299548868885,0.08136175846065483,641.5075324549719,642.4672176678185
-21.13369,55.47906,1217.0,1218.1432885803733,5.4280964303675745,5.428518278950066,645.3008117651951,646.2584731658385,2.315120356467963,646.9494971825202,647.9096053217345
-21.13363,55.47909,1219.0,1218.5070595548223,7.361580049076111,7.370562403291011,652.6623918142712,653.6290355691295,5.375641681205342,654.3298854051708,655.2989988477054
-21.13358,55.47909,1219.0,1218.8378927871133,5.559746332637838,5.569580766167957,658.2221381469091,659.1986163352975,1.9664845593819769,659.9038363886249,660.8828093907812
