checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m
Départ Cam,0,0,0
Pointe de ,7557,132,77
Plage de G,16917,215,213
Cap de la ,29918,538,449
Port de Mo,39830,810,807
Le Ped Ret,54828,1120,1112
Arrivée,57084,1198,1112
