checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m
Départ Cam,0,0,0
Pointe du ,4365,101,53
Plage de G,16927,374,372
Cap de la ,29886,782,691
Port de Mo,39746,1142,1140
Estuaire d,47965,1385,1385
Arrivée,55856,1762,1751
