access,altitude,distance,elevationGain,pointId,isAssistance,isMeet,lat,lon,name,raceId,services,shortName,type,livecams,dateFirstRunners,dateLastRunners
[],424,0,0,0,False,False,44.18847,3.20713,Peyreleau,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Peyreleau,SIMPLE,[],2024-10-18T06:50:06.000+02:00,2024-10-18T06:50:06.000+02:00
[],870,19280,840,22,True,False,44.15274,3.25883,St Andrée de Vezines,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",St Andrée ,SIMPLE,"[{'pointId': 22, 'live': 'x8d2z4s', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T08:31:06.000+02:00,2024-10-18T12:09:06.000+02:00
[],839,26910,1123,24,False,False,44.13925,3.22871,Roquesaltes,integra,['EMERGENCY'],Roquesalte,SIMPLE,[],2024-10-18T09:12:06.000+02:00,2024-10-18T14:18:06.000+02:00
[],400,30820,1127,26,False,False,44.12331,3.22218,La Roque Ste Marguerite,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",La Roque,SIMPLE,[],2024-10-18T09:28:06.000+02:00,2024-10-18T15:08:06.000+02:00
[],733,39140,1622,32,True,False,44.0959,3.18914,La Salvage,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",La Salvage,SIMPLE,"[{'pointId': 32, 'live': 'x4xs8rq', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T10:23:06.000+02:00,2024-10-18T18:01:06.000+02:00
[],749,47510,2031,36,False,False,44.08653,3.14643,Mas de Bru (P82),integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Mas de Bru,SIMPLE,[],2024-10-18T11:17:06.000+02:00,2024-10-18T20:52:06.000+02:00
[],366,52920,2067,40,False,False,44.10188,3.12712,Massebiau,integra,"['EMERGENCY', 'DRINK_SUPPLY', 'BUS_STOP']",Massebiau,SIMPLE,"[{'pointId': 40, 'live': 'x91cg54', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T11:42:06.000+02:00,2024-10-18T22:12:06.000+02:00
[],834,56160,2556,54,True,False,44.121,3.11863,Le Cade,integra,"['AID_STATION', 'EMERGENCY', 'BUS_STOP']",Cade,SIMPLE,"[{'pointId': 54, 'live': 'x4clciw', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T12:19:06.000+02:00,2024-10-19T00:08:06.000+02:00
[],838,59250,2634,66,False,False,44.11027,3.10255,la pouncho,integra,[],la pouncho,SIMPLE,[],2024-10-18T12:37:06.000+02:00,2024-10-19T01:05:06.000+02:00
[],394,62110,2652,100,False,False,44.1144,3.08949,Arrivée Millau,integra,"['AID_STATION', 'EMERGENCY']",Arrivée,SIMPLE,"[{'pointId': 100, 'live': 'x8d2z5w', 'provider': 'DAILYMOTION', 'view': 'MAIN'}]",2024-10-18T12:51:06.000+02:00,2024-10-19T01:49:06.000+02:00
