checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Peyreleau,0,0,0,
St Andrée,18200,841,395,
La Roque,29700,1116,1134,
La Salvage,39500,1648,1340,
Mas de Bru,48000,2062,1736,
Massebiau,53400,2088,2146,
Cade,56700,2569,2159,
la pouncho,59800,2644,2232,
Arrivée,62900,2675,2709,
