checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Peyreleau,0,0,0,
St Andrée,19300,840,394,
Roquesalte,26900,1123,708,
La Roque,30800,1127,1151,
La Salvage,39100,1622,1313,
Mas de Bru,47500,2031,1706,
Massebiau,52900,2067,2125,
Cade,56200,2556,2146,
la pouncho,59200,2634,2220,
Arrivée,62100,2652,2682,
