checkpoint,distance_cum_m,dplus_cum_m,dmoins_cum_m,barriere_horaire
Peyreleau,0,0,0,
Champignon,12300,677,313,
St Andrée,21800,982,536,
La Roque,32600,1225,1249,
La Salvage,43100,1808,1500,
Mas de Bru,51800,2253,1927,
Massebiau,57200,2278,2336,
Cade,60400,2757,2349,
la pouncho,63500,2840,2427,
Arrivée,66700,2859,2890,
